"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/liberasure_rs_vand/microbench-encode-16MB-8.csv",,,,"Date:","05 Apr 2016 04:30:36 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 04:30:36,7.840,3.438,88.117,0.604,0.0,0.001,93059.561,160827.415,451211264.0,219906048.0,2805891072.0,3664568320.0,0.0,0.0
05-04 04:30:37,6.394,4.859,85.166,3.581,0.0,0.0,0.0,720896.0,479563776.0,219934720.0,2805960704.0,3636117504.0,166.0,168.0
05-04 04:30:38,1.126,11.389,87.484,0.0,0.0,0.0,0.0,0.0,496898048.0,219934720.0,2806173696.0,3618570240.0,372.0,250.0
05-04 04:30:39,4.255,8.260,87.484,0.0,0.0,0.0,0.0,0.0,526770176.0,219934720.0,2806194176.0,3588677632.0,292.0,90.0
05-04 04:30:40,9.762,2.753,87.484,0.0,0.0,0.0,0.0,0.0,525983744.0,219934720.0,2806198272.0,3589459968.0,230.0,0.0
05-04 04:30:41,10.138,2.378,87.484,0.0,0.0,0.0,0.0,0.0,526229504.0,219934720.0,2806198272.0,3589214208.0,0.0,0.0
05-04 04:30:42,10.0,2.500,87.500,0.0,0.0,0.0,0.0,0.0,526077952.0,219934720.0,2806198272.0,3589365760.0,64.0,70.0
05-04 04:30:43,10.013,2.503,87.109,0.375,0.0,0.0,0.0,139264.0,526053376.0,219934720.0,2806198272.0,3589390336.0,126.0,0.0
05-04 04:30:44,9.988,2.622,87.391,0.0,0.0,0.0,0.0,0.0,526180352.0,219934720.0,2806198272.0,3589263360.0,64.0,0.0
