[7l----system---- ----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total-
     time     |usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send
03-04 13:04:47|  3   2  92   2   0   0| 490k  831k| 437M  200M 2668M 3506M|   0     0 
03-04 13:04:48|  5   5  85   5   0   0|   0   660k| 455M  200M 2668M 3488M| 166B  258B
03-04 13:04:49|  6   7  83   4   0   0|   0     0 | 474M  200M 2668M 3469M| 372B  160B
03-04 13:04:50| 10   3  86   1   0   0|   0   388k| 474M  200M 2668M 3468M| 292B   90B
03-04 13:04:51| 10   3  87   0   0   0|   0     0 | 474M  200M 2668M 3468M| 230B    0 
03-04 13:04:52| 10   3  87   0   0   0|   0     0 | 479M  200M 2668M 3464M|   0     0 
03-04 13:04:53| 10   3  87   0   0   0|   0     0 | 471M  200M 2668M 3471M|  64B   70B
03-04 13:04:54| 10   3  87   0   0   0|   0   140k| 474M  200M 2668M 3468M| 126B    0 
03-04 13:04:55| 10   3  87   0   0   0|   0   252k| 475M  200M 2668M 3468M|  64B    0 
03-04 13:04:56| 10   3  88   0   0   0|   0     0 | 475M  200M 2668M 3468M|   0     0 
03-04 13:04:57|  8   3  88   1   0   0|   0    96k| 441M  200M 2668M 3502M| 712B  648B
