"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/pylonghair/microbench-encode-16MB-1.csv",,,,"Date:","05 Apr 2016 08:03:59 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 08:03:59,8.957,2.786,87.837,0.419,0.0,0.001,58658.633,105352.181,471138304.0,263618560.0,2819145728.0,3587674112.0,0.0,0.0
05-04 08:04:00,4.108,5.263,84.467,6.162,0.0,0.0,0.0,643072.0,489615360.0,263634944.0,2819256320.0,3569070080.0,396.0,180.0
05-04 08:04:01,2.628,9.887,87.484,0.0,0.0,0.0,0.0,0.0,516648960.0,263634944.0,2819366912.0,3541925888.0,142.0,78.0
05-04 08:04:02,2.375,10.250,87.375,0.0,0.0,0.0,0.0,0.0,534065152.0,263634944.0,2819403776.0,3524472832.0,522.0,250.0
05-04 08:04:03,8.511,4.005,87.484,0.0,0.0,0.0,0.0,0.0,529993728.0,263634944.0,2819420160.0,3528527872.0,0.0,0.0
05-04 08:04:04,9.363,3.246,87.391,0.0,0.0,0.0,0.0,0.0,532238336.0,263634944.0,2819420160.0,3526283264.0,64.0,0.0
05-04 08:04:05,9.136,3.379,87.109,0.375,0.0,0.0,0.0,131072.0,529707008.0,263639040.0,2819416064.0,3528814592.0,0.0,0.0
05-04 08:04:06,9.512,3.004,87.484,0.0,0.0,0.0,0.0,0.0,531861504.0,263639040.0,2819420160.0,3526656000.0,126.0,70.0
05-04 08:04:07,8.625,3.875,87.500,0.0,0.0,0.0,0.0,0.0,529760256.0,263639040.0,2819420160.0,3528757248.0,64.0,0.0
05-04 08:04:08,9.637,2.879,87.484,0.0,0.0,0.0,0.0,0.0,531480576.0,263639040.0,2819420160.0,3527036928.0,0.0,0.0
05-04 08:04:09,9.262,3.129,87.610,0.0,0.0,0.0,0.0,0.0,529702912.0,263639040.0,2819420160.0,3528814592.0,64.0,0.0
05-04 08:04:10,9.125,3.500,87.375,0.0,0.0,0.0,0.0,0.0,531607552.0,263639040.0,2819420160.0,3526909952.0,126.0,70.0
05-04 08:04:11,9.011,3.504,87.109,0.375,0.0,0.0,0.0,12288.0,529829888.0,263639040.0,2819420160.0,3528687616.0,64.0,0.0
05-04 08:04:12,9.387,3.129,87.484,0.0,0.0,0.0,0.0,0.0,531394560.0,263639040.0,2819420160.0,3527122944.0,0.0,0.0
05-04 08:04:13,9.250,3.250,87.500,0.0,0.0,0.0,0.0,0.0,530272256.0,263639040.0,2819420160.0,3528245248.0,64.0,0.0
05-04 08:04:14,9.273,3.133,87.594,0.0,0.0,0.0,0.0,0.0,530558976.0,263639040.0,2819420160.0,3527958528.0,0.0,0.0
05-04 08:04:15,8.750,3.750,87.500,0.0,0.0,0.0,0.0,0.0,529797120.0,263639040.0,2819420160.0,3528720384.0,64.0,0.0
05-04 08:04:16,9.262,3.254,87.484,0.0,0.0,0.0,0.0,4096.0,530178048.0,263639040.0,2819420160.0,3528339456.0,0.0,0.0
05-04 08:04:17,9.250,3.250,87.375,0.125,0.0,0.0,0.0,20480.0,529833984.0,263643136.0,2819420160.0,3528679424.0,64.0,0.0
05-04 08:04:18,9.750,2.750,87.500,0.0,0.0,0.0,0.0,0.0,530079744.0,263643136.0,2819420160.0,3528433664.0,0.0,0.0
05-04 08:04:19,8.886,3.630,87.484,0.0,0.0,0.0,0.0,0.0,529190912.0,263643136.0,2819420160.0,3529322496.0,64.0,0.0
05-04 08:04:20,9.625,2.875,87.500,0.0,0.0,0.0,0.0,0.0,529756160.0,263643136.0,2819420160.0,3528757248.0,0.0,0.0
05-04 08:04:21,9.148,3.258,87.594,0.0,0.0,0.0,0.0,0.0,555413504.0,263643136.0,2819420160.0,3503099904.0,64.0,0.0
05-04 08:04:22,9.250,3.250,87.500,0.0,0.0,0.0,0.0,0.0,531804160.0,263643136.0,2819420160.0,3526709248.0,0.0,0.0
05-04 08:04:23,9.023,3.383,87.469,0.125,0.0,0.0,0.0,12288.0,553758720.0,263647232.0,2819420160.0,3504750592.0,64.0,0.0
05-04 08:04:24,9.488,3.121,87.391,0.0,0.0,0.0,0.0,0.0,531791872.0,263647232.0,2819420160.0,3526717440.0,0.0,0.0
05-04 08:04:25,9.512,2.879,87.610,0.0,0.0,0.0,0.0,0.0,553504768.0,263647232.0,2819420160.0,3505004544.0,64.0,0.0
