[7l----system---- ----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total-
     time     |usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send
04-04 18:00:41|  0   0 100   0   0   0|  18k   34k| 452M  277M 2687M 3395M|   0     0 
04-04 18:00:42|  7   6  83   4   0   0|   0   676k| 479M  277M 2687M 3368M| 230B  180B
04-04 18:00:43|  6   7  87   0   0   0|   0     0 | 526M  277M 2688M 3320M| 308B   78B
04-04 18:00:44| 11   1  88   0   0   0|   0     0 | 513M  277M 2688M 3333M| 522B  250B
04-04 18:00:45| 11   1  87   0   0   0|   0     0 | 520M  277M 2688M 3327M|   0     0 
04-04 18:00:46| 11   1  87   0   0   0|   0     0 | 532M  277M 2688M 3314M|  64B    0 
04-04 18:00:47| 11   1  86   2   0   0|   0   476k| 517M  277M 2688M 3329M|   0     0 
04-04 18:00:48| 11   1  87   0   0   0|   0   136k| 528M  277M 2688M 3318M| 190B   70B
04-04 18:00:49| 11   1  87   0   0   0|   0     0 | 516M  277M 2688M 3330M|   0     0 
04-04 18:00:50| 11   1  88   0   0   0|   0     0 | 528M  277M 2688M 3318M|  64B    0 
04-04 18:00:51| 12   1  88   0   0   0|   0     0 | 513M  277M 2688M 3334M|   0     0 
04-04 18:00:52| 11   2  87   0   0   0|   0     0 | 520M  277M 2688M 3326M| 190B   70B
04-04 18:00:53| 11   1  87   0   0   0|   0     0 | 533M  277M 2688M 3313M|   0     0 
04-04 18:00:54| 11   1  87   0   0   0|   0    16k| 518M  277M 2688M 3328M|  64B    0 
04-04 18:00:55| 11   2  87   0   0   0|   0     0 | 528M  277M 2688M 3318M|   0     0 
04-04 18:00:56| 11   1  88   0   0   0|   0     0 | 516M  277M 2688M 3330M|  64B    0 
04-04 18:00:57| 11   1  88   0   0   0|   0     0 | 528M  277M 2688M 3318M|   0     0 
04-04 18:00:58| 12   1  88   0   0   0|   0     0 | 513M  277M 2688M 3333M|  64B    0 
04-04 18:00:59| 11   1  88   0   0   0|   0     0 | 524M  277M 2688M 3322M|   0     0 
04-04 18:01:00| 11   2  87   0   0   0|   0    20k| 536M  277M 2688M 3310M|  64B    0 
04-04 18:01:01| 12   1  88   0   0   0|   0     0 | 519M  277M 2688M 3328M|   0     0 
04-04 18:01:02| 11   1  88   0   0   0|   0  8192B| 528M  277M 2688M 3318M|  64B    0 
04-04 18:01:03| 11   1  88   0   0   0|   0     0 | 517M  277M 2688M 3329M|   0     0 
04-04 18:01:04| 11   1  88   0   0   0|   0     0 | 528M  277M 2688M 3318M| 736B  424B
04-04 18:01:05| 11   1  88   0   0   0|   0     0 | 513M  277M 2688M 3333M| 840B  510B
04-04 18:01:06| 11   1  87   0   0   0|   0    12k| 528M  277M 2688M 3318M| 232B  102B
04-04 18:01:07| 12   1  87   0   0   0|   0     0 | 536M  277M 2688M 3310M| 870B  746B
04-04 18:01:08| 11   1  88   0   0   0|   0     0 | 518M  277M 2688M 3328M|  64B    0 
04-04 18:01:09| 12   1  88   0   0   0|   0     0 | 528M  277M 2688M 3318M|   0     0 
04-04 18:01:10| 12   1  87   0   0   0|   0     0 | 517M  277M 2688M 3329M|  64B    0 
04-04 18:01:11| 12   1  88   0   0   0|   0     0 | 528M  277M 2688M 3318M|   0     0 
04-04 18:01:12| 11   1  87   0   0   0|   0   156k| 513M  277M 2688M 3334M|  64B    0 
