"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/signed_hashed_xor_driver/microbench-encode-4MB-7.csv",,,,"Date:","05 Apr 2016 17:11:26 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 17:11:26,10.289,1.327,88.171,0.212,0.0,0.000,28883.937,51547.438,458465280.0,274251776.0,2815352832.0,3593506816.0,0.0,0.0
05-04 17:11:27,6.195,5.436,84.703,3.666,0.0,0.0,0.0,716800.0,488013824.0,274280448.0,2815389696.0,3563892736.0,538.0,168.0
05-04 17:11:28,6.117,6.492,87.391,0.0,0.0,0.0,0.0,0.0,541863936.0,274280448.0,2815610880.0,3509821440.0,292.0,250.0
05-04 17:11:29,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,525422592.0,274280448.0,2815614976.0,3526258688.0,230.0,90.0
05-04 17:11:30,11.125,1.500,87.375,0.0,0.0,0.0,0.0,0.0,537325568.0,274280448.0,2815614976.0,3514355712.0,0.0,0.0
05-04 17:11:31,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,541204480.0,274280448.0,2815619072.0,3510472704.0,64.0,0.0
05-04 17:11:32,10.902,1.504,87.594,0.0,0.0,0.0,0.0,0.0,521588736.0,274280448.0,2815619072.0,3530088448.0,126.0,70.0
05-04 17:11:33,11.125,1.375,87.500,0.0,0.0,0.0,0.0,131072.0,528097280.0,274288640.0,2815619072.0,3523571712.0,64.0,0.0
05-04 17:11:34,11.0,1.625,87.375,0.0,0.0,0.0,0.0,454656.0,537751552.0,274288640.0,2815619072.0,3513917440.0,0.0,0.0
05-04 17:11:35,11.139,1.252,87.610,0.0,0.0,0.0,0.0,0.0,546263040.0,274288640.0,2815619072.0,3505405952.0,64.0,0.0
05-04 17:11:36,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,525303808.0,274288640.0,2815619072.0,3526365184.0,126.0,70.0
05-04 17:11:37,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,536227840.0,274288640.0,2815619072.0,3515441152.0,64.0,0.0
05-04 17:11:38,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,541245440.0,274288640.0,2815619072.0,3510423552.0,0.0,0.0
05-04 17:11:39,10.750,1.750,87.375,0.125,0.0,0.0,0.0,253952.0,520966144.0,274292736.0,2815614976.0,3530702848.0,64.0,0.0
05-04 17:11:40,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,527462400.0,274292736.0,2815614976.0,3524206592.0,0.0,0.0
05-04 17:11:41,11.389,1.001,87.610,0.0,0.0,0.0,0.0,0.0,536735744.0,274292736.0,2815614976.0,3514933248.0,64.0,0.0
05-04 17:11:42,11.111,1.498,87.391,0.0,0.0,0.0,0.0,0.0,520892416.0,274292736.0,2815619072.0,3530772480.0,0.0,0.0
05-04 17:11:43,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,526503936.0,274292736.0,2815619072.0,3525160960.0,64.0,0.0
05-04 17:11:44,11.139,1.252,86.984,0.626,0.0,0.0,0.0,69632.0,536883200.0,274292736.0,2815623168.0,3514777600.0,0.0,0.0
05-04 17:11:45,11.0,1.625,87.375,0.0,0.0,0.0,0.0,0.0,545394688.0,274292736.0,2815623168.0,3506266112.0,64.0,0.0
05-04 17:11:46,11.486,1.124,87.391,0.0,0.0,0.0,0.0,0.0,524951552.0,274292736.0,2815623168.0,3526709248.0,0.0,0.0
05-04 17:11:47,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,535867392.0,274292736.0,2815623168.0,3515793408.0,64.0,0.0
05-04 17:11:48,11.041,1.255,87.704,0.0,0.0,0.0,0.0,0.0,541138944.0,274292736.0,2815623168.0,3510521856.0,0.0,0.0
05-04 17:11:49,11.111,1.498,86.767,0.624,0.0,0.0,0.0,12288.0,520876032.0,274296832.0,2815623168.0,3530780672.0,64.0,0.0
05-04 17:11:50,11.153,1.253,87.594,0.0,0.0,0.0,0.0,0.0,527970304.0,274296832.0,2815623168.0,3523686400.0,0.0,0.0
05-04 17:11:51,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,536879104.0,274296832.0,2815623168.0,3514777600.0,64.0,0.0
