"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/signed_xor_driver/microbench-encode-16MB-9.csv",,,,"Date:","05 Apr 2016 19:25:58 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 19:25:58,8.335,2.282,89.109,0.274,0.0,0.001,26458.138,73259.599,521588736.0,297275392.0,2850402304.0,3472310272.0,0.0,0.0
05-04 19:25:59,7.858,6.717,82.256,3.169,0.0,0.0,0.0,684032.0,549978112.0,297291776.0,2850488320.0,3443818496.0,308.0,90.0
05-04 19:26:00,0.876,11.514,87.610,0.0,0.0,0.0,0.0,0.0,565178368.0,297291776.0,2850652160.0,3428454400.0,522.0,168.0
05-04 19:26:01,4.500,8.125,87.375,0.0,0.0,0.0,0.0,0.0,614137856.0,297291776.0,2850656256.0,3379490816.0,166.0,250.0
05-04 19:26:02,10.875,1.750,87.375,0.0,0.0,0.0,0.0,380928.0,632901632.0,297291776.0,2850615296.0,3360768000.0,64.0,0.0
05-04 19:26:03,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,663654400.0,297291776.0,2850689024.0,3329941504.0,0.0,0.0
05-04 19:26:04,11.264,1.126,87.484,0.125,0.0,0.0,0.0,131072.0,617254912.0,297299968.0,2850689024.0,3376332800.0,190.0,0.0
05-04 19:26:05,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,663629824.0,297299968.0,2850689024.0,3329957888.0,0.0,70.0
05-04 19:26:06,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,680468480.0,297299968.0,2850689024.0,3313119232.0,64.0,0.0
05-04 19:26:07,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,620404736.0,297299968.0,2850689024.0,3373182976.0,0.0,0.0
05-04 19:26:08,11.514,1.001,87.484,0.0,0.0,0.0,0.0,0.0,663478272.0,297299968.0,2850689024.0,3330109440.0,190.0,0.0
05-04 19:26:09,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,596955136.0,297299968.0,2850689024.0,3396632576.0,0.0,70.0
05-04 19:26:10,11.500,1.0,87.125,0.375,0.0,0.0,0.0,12288.0,624467968.0,297299968.0,2850689024.0,3369119744.0,64.0,0.0
05-04 19:26:11,11.389,1.001,87.610,0.0,0.0,0.0,0.0,0.0,663605248.0,297299968.0,2850689024.0,3329982464.0,0.0,0.0
05-04 19:26:12,11.640,0.876,87.484,0.0,0.0,0.0,0.0,0.0,599822336.0,297299968.0,2850689024.0,3393765376.0,64.0,0.0
05-04 19:26:13,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,628785152.0,297299968.0,2850689024.0,3364802560.0,0.0,0.0
05-04 19:26:14,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,663732224.0,297299968.0,2850689024.0,3329855488.0,64.0,0.0
05-04 19:26:15,11.264,1.252,86.859,0.626,0.0,0.0,0.0,20480.0,615833600.0,297304064.0,2850684928.0,3377754112.0,0.0,0.0
05-04 19:26:16,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,653910016.0,297304064.0,2850689024.0,3339673600.0,64.0,0.0
05-04 19:26:17,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,680407040.0,297304064.0,2850689024.0,3313176576.0,0.0,0.0
05-04 19:26:18,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,619479040.0,297304064.0,2850689024.0,3374104576.0,64.0,0.0
05-04 19:26:19,11.264,1.126,87.610,0.0,0.0,0.0,0.0,0.0,663568384.0,297304064.0,2850689024.0,3330015232.0,0.0,0.0
05-04 19:26:20,11.389,1.126,86.859,0.626,0.0,0.0,0.0,12288.0,597045248.0,297304064.0,2850689024.0,3396538368.0,64.0,0.0
05-04 19:26:21,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,623542272.0,297304064.0,2850689024.0,3370041344.0,0.0,0.0
05-04 19:26:22,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,663695360.0,297304064.0,2850689024.0,3329888256.0,64.0,0.0
05-04 19:26:23,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,597045248.0,297304064.0,2850689024.0,3396538368.0,0.0,0.0
05-04 19:26:24,11.529,0.877,87.594,0.0,0.0,0.0,0.0,0.0,627605504.0,297304064.0,2850689024.0,3365978112.0,64.0,0.0
05-04 19:26:25,11.500,1.0,86.875,0.625,0.0,0.0,0.0,12288.0,663822336.0,297308160.0,2850684928.0,3329761280.0,0.0,0.0
05-04 19:26:26,11.236,1.373,87.391,0.0,0.0,0.0,0.0,0.0,615161856.0,297308160.0,2850684928.0,3378421760.0,64.0,0.0
05-04 19:26:27,11.139,1.252,87.610,0.0,0.0,0.0,0.0,65536.0,649711616.0,297308160.0,2850689024.0,3343867904.0,0.0,0.0
05-04 19:26:28,11.640,0.876,87.484,0.0,0.0,0.0,0.0,0.0,679641088.0,297308160.0,2850689024.0,3313938432.0,64.0,0.0
05-04 19:26:29,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,619474944.0,297308160.0,2850689024.0,3374104576.0,0.0,0.0
05-04 19:26:30,11.375,1.125,86.875,0.625,0.0,0.0,0.0,40960.0,663564288.0,297316352.0,2850680832.0,3330015232.0,64.0,0.0
05-04 19:26:31,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,597241856.0,297316352.0,2850680832.0,3396337664.0,0.0,0.0
05-04 19:26:32,11.389,1.001,87.610,0.0,0.0,0.0,0.0,159744.0,623652864.0,297316352.0,2850693120.0,3369914368.0,64.0,0.0
05-04 19:26:33,11.375,1.250,87.375,0.0,0.0,0.0,0.0,0.0,663678976.0,297316352.0,2850693120.0,3329888256.0,0.0,0.0
05-04 19:26:34,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,597028864.0,297316352.0,2850693120.0,3396538368.0,64.0,0.0
05-04 19:26:35,11.404,1.003,87.093,0.501,0.0,0.0,0.0,57344.0,626827264.0,297320448.0,2850689024.0,3366739968.0,0.0,0.0
05-04 19:26:36,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,663801856.0,297320448.0,2850693120.0,3329761280.0,0.0,0.0
05-04 19:26:37,11.250,1.250,87.500,0.0,0.0,0.0,0.0,139264.0,614125568.0,297320448.0,2850693120.0,3379437568.0,64.0,0.0
