"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/striping/microbench-encode-64MB-2.csv",,,,"Date:","05 Apr 2016 17:04:16 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 17:04:16,8.024,2.292,89.372,0.312,0.000,0.000,29878.769,76046.218,506388480.0,287821824.0,2824740864.0,3522625536.0,0.0,0.0
05-04 17:04:17,4.598,6.258,85.057,4.087,0.0,0.0,0.0,663552.0,534351872.0,287834112.0,2824900608.0,3494490112.0,230.0,258.0
05-04 17:04:18,1.625,11.0,87.375,0.0,0.0,0.0,0.0,0.0,552714240.0,287834112.0,2825113600.0,3475914752.0,308.0,160.0
05-04 17:04:19,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,563474432.0,287834112.0,2825084928.0,3465183232.0,522.0,90.0
05-04 17:04:20,0.0,12.531,87.469,0.0,0.0,0.0,0.0,0.0,575545344.0,287834112.0,2825084928.0,3453112320.0,0.0,0.0
05-04 17:04:21,0.0,12.500,87.500,0.0,0.0,0.0,0.0,163840.0,585998336.0,287834112.0,2825084928.0,3442659328.0,64.0,0.0
05-04 17:04:22,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,598708224.0,287834112.0,2825084928.0,3429949440.0,0.0,70.0
05-04 17:04:23,1.001,11.514,87.484,0.0,0.0,0.0,0.0,159744.0,609247232.0,287838208.0,2825080832.0,3419410432.0,190.0,0.0
05-04 17:04:24,5.764,6.767,87.469,0.0,0.0,0.0,0.0,0.0,617377792.0,287838208.0,2825084928.0,3411275776.0,0.0,0.0
05-04 17:04:25,6.133,6.383,87.484,0.0,0.0,0.0,0.0,0.0,628559872.0,287838208.0,2825084928.0,3400093696.0,64.0,0.0
05-04 17:04:26,6.508,6.008,87.484,0.0,0.0,0.0,0.0,397312.0,639291392.0,287838208.0,2825089024.0,3389358080.0,0.0,70.0
05-04 17:04:27,6.258,6.258,87.484,0.0,0.0,0.0,0.0,0.0,655851520.0,287838208.0,2825089024.0,3372797952.0,190.0,0.0
05-04 17:04:28,6.250,6.250,87.125,0.375,0.0,0.0,0.0,16384.0,669319168.0,287838208.0,2825089024.0,3359330304.0,0.0,0.0
05-04 17:04:29,6.750,5.875,87.375,0.0,0.0,0.0,0.0,0.0,611663872.0,287838208.0,2825089024.0,3416985600.0,64.0,0.0
05-04 17:04:30,5.882,6.633,87.484,0.0,0.0,0.0,0.0,0.0,620113920.0,287838208.0,2825089024.0,3408535552.0,0.0,0.0
05-04 17:04:31,5.750,6.875,87.375,0.0,0.0,0.0,0.0,118784.0,628563968.0,287838208.0,2825089024.0,3400085504.0,64.0,0.0
05-04 17:04:32,6.758,5.757,87.484,0.0,0.0,0.0,0.0,0.0,644001792.0,287838208.0,2825089024.0,3384647680.0,0.0,0.0
05-04 17:04:33,5.786,4.780,89.057,0.377,0.0,0.0,0.0,110592.0,518762496.0,287838208.0,2825080832.0,3509895168.0,712.0,648.0
