"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/xor/microbench-encode-4MB-3.csv",,,,"Date:","05 Apr 2016 19:13:18 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 19:13:18,7.225,2.097,90.382,0.296,0.000,0.000,26800.422,72636.810,571387904.0,290209792.0,2848407552.0,3431571456.0,0.0,0.0
05-04 19:13:19,6.574,5.057,84.829,3.540,0.0,0.0,0.0,622592.0,597979136.0,290217984.0,2848440320.0,3404939264.0,538.0,90.0
05-04 19:13:20,6.758,5.757,87.484,0.0,0.0,0.0,0.0,0.0,620597248.0,290217984.0,2848628736.0,3382132736.0,292.0,168.0
05-04 19:13:21,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,611917824.0,290217984.0,2848710656.0,3390730240.0,230.0,250.0
05-04 19:13:22,10.513,2.128,87.359,0.0,0.0,0.0,0.0,0.0,608186368.0,290217984.0,2848710656.0,3394461696.0,0.0,0.0
05-04 19:13:23,10.889,1.627,87.484,0.0,0.0,0.0,0.0,0.0,619950080.0,290217984.0,2848694272.0,3382714368.0,64.0,0.0
05-04 19:13:24,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,612200448.0,290217984.0,2848694272.0,3390464000.0,126.0,0.0
05-04 19:13:25,10.737,1.873,87.016,0.375,0.0,0.0,0.0,122880.0,609566720.0,290217984.0,2848694272.0,3393097728.0,64.0,70.0
05-04 19:13:26,10.777,1.629,87.594,0.0,0.0,0.0,0.0,0.0,620929024.0,290217984.0,2848694272.0,3381735424.0,0.0,0.0
05-04 19:13:27,10.763,1.627,87.610,0.0,0.0,0.0,0.0,499712.0,616673280.0,290217984.0,2848694272.0,3385991168.0,64.0,0.0
05-04 19:13:28,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,610017280.0,290217984.0,2848694272.0,3392647168.0,126.0,0.0
05-04 19:13:29,10.889,1.627,87.484,0.0,0.0,0.0,0.0,0.0,621056000.0,290217984.0,2848694272.0,3381608448.0,64.0,70.0
05-04 19:13:30,10.861,1.748,87.391,0.0,0.0,0.0,0.0,0.0,620802048.0,290217984.0,2848694272.0,3381862400.0,0.0,0.0
05-04 19:13:31,10.250,2.250,87.125,0.375,0.0,0.0,0.0,12288.0,611155968.0,290222080.0,2848690176.0,3391508480.0,64.0,0.0
05-04 19:13:32,11.014,1.502,87.484,0.0,0.0,0.0,0.0,229376.0,626073600.0,290222080.0,2848690176.0,3376590848.0,0.0,0.0
05-04 19:13:33,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,620802048.0,290222080.0,2848690176.0,3381862400.0,64.0,0.0
05-04 19:13:34,10.875,1.625,87.500,0.0,0.0,0.0,0.0,0.0,611049472.0,290222080.0,2848694272.0,3391610880.0,0.0,0.0
05-04 19:13:35,10.750,1.875,87.375,0.0,0.0,0.0,0.0,0.0,608776192.0,290222080.0,2848694272.0,3393884160.0,64.0,0.0
05-04 19:13:36,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,621084672.0,290222080.0,2848694272.0,3381575680.0,0.0,0.0
05-04 19:13:37,10.526,1.880,87.343,0.251,0.0,0.0,0.0,86016.0,612089856.0,290222080.0,2848694272.0,3390570496.0,64.0,0.0
