Percentage served,Time in ms
0,3266.716
1,3266.716
2,3266.716
3,3266.716
4,3266.716
5,4269.346
6,4269.346
7,4269.346
8,4269.346
9,4269.346
10,4269.346
11,4269.346
12,4269.346
13,4269.346
14,4269.346
15,5284.219
16,5284.219
17,5284.219
18,5284.219
19,5284.219
20,5284.219
21,5284.219
22,5284.219
23,5284.219
24,5284.219
25,5779.311
26,5779.311
27,5779.311
28,5779.311
29,5779.311
30,5779.311
31,5779.311
32,5779.311
33,5779.311
34,5779.311
35,5804.959
36,5804.959
37,5804.959
38,5804.959
39,5804.959
40,5804.959
41,5804.959
42,5804.959
43,5804.959
44,5804.959
45,5897.840
46,5897.840
47,5897.840
48,5897.840
49,5897.840
50,5897.840
51,5897.840
52,5897.840
53,5897.840
54,5897.840
55,6105.785
56,6105.785
57,6105.785
58,6105.785
59,6105.785
60,6105.785
61,6105.785
62,6105.785
63,6105.785
64,6105.785
65,6258.375
66,6258.375
67,6258.375
68,6258.375
69,6258.375
70,6258.375
71,6258.375
72,6258.375
73,6258.375
74,6258.375
75,6441.558
76,6441.558
77,6441.558
78,6441.558
79,6441.558
80,6441.558
81,6441.558
82,6441.558
83,6441.558
84,6441.558
85,6621.746
86,6621.746
87,6621.746
88,6621.746
89,6621.746
90,6621.746
91,6621.746
92,6621.746
93,6621.746
94,6621.746
95,139675481997.569
96,139675481997.569
97,139675481997.569
98,139675481997.569
99,139675481997.569
