starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 22 04:24:00 2016	1461291840	0	3267	3267	3265
Fri Apr 22 04:24:01 2016	1461291841	0	4269	4269	4267
Fri Apr 22 04:23:55 2016	1461291835	0	5284	5284	5282
Fri Apr 22 04:23:55 2016	1461291835	0	5779	5779	5777
Fri Apr 22 04:23:55 2016	1461291835	0	5805	5805	5804
Fri Apr 22 04:23:55 2016	1461291835	0	5898	5898	5895
Fri Apr 22 04:23:49 2016	1461291829	1	6105	6106	6103
Fri Apr 22 04:23:49 2016	1461291829	0	6258	6258	6257
Fri Apr 22 04:23:49 2016	1461291829	2	6440	6442	6439
Fri Apr 22 04:23:49 2016	1461291829	2	6620	6622	6618
