[7l----system---- ----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total-
     time     |usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send
03-04 12:54:10|  2   2  93   2   0   0| 586k  918k| 428M  190M 2664M 3529M|   0     0 
03-04 12:54:11|  6   5  86   3   0   0|   0   688k| 451M  190M 2664M 3507M| 372B  168B
03-04 12:54:12|  7   6  87   0   0   0|   0     0 | 470M  190M 2664M 3487M| 458B  250B
03-04 12:54:13| 11   2  87   0   0   0|   0     0 | 465M  190M 2664M 3492M| 230B   90B
03-04 12:54:14| 11   2  87   0   0   0|   0   116k| 463M  190M 2664M 3493M|   0     0 
03-04 12:54:15| 11   2  87   0   0   0|   0     0 | 462M  190M 2664M 3495M|  64B    0 
03-04 12:54:16| 11   2  88   0   0   0|   0   172k| 482M  190M 2664M 3475M| 126B   70B
03-04 12:54:17| 11   2  88   0   0   0|   0     0 | 482M  190M 2664M 3475M|  64B    0 
03-04 12:54:18| 11   1  87   0   0   0|   0     0 | 474M  190M 2664M 3483M|   0     0 
03-04 12:54:19| 11   2  88   0   0   0|   0   168k| 473M  190M 2664M 3484M|  64B    0 
03-04 12:54:20| 11   2  87   0   0   0|   0   588k| 473M  190M 2664M 3484M| 126B   70B
03-04 12:54:21| 11   2  87   0   0   0|   0     0 | 469M  190M 2664M 3488M|  64B    0 
03-04 12:54:22| 11   2  87   0   0   0|   0    64k| 464M  190M 2664M 3493M|   0     0 
03-04 12:54:23| 11   2  87   0   0   0|   0     0 | 464M  190M 2664M 3493M|  64B    0 
03-04 12:54:24| 11   2  88   0   0   0|   0     0 | 462M  190M 2664M 3495M|   0     0 
03-04 12:54:25| 11   2  87   0   0   0|   0   304k| 482M  190M 2664M 3475M|  64B    0 
03-04 12:54:26| 11   2  88   0   0   0|   0     0 | 482M  190M 2664M 3475M|   0     0 
03-04 12:54:27| 11   2  87   1   0   0|   0    80k| 474M  190M 2664M 3483M|  64B    0 
03-04 12:54:28| 11   1  88   0   0   0|   0     0 | 474M  190M 2664M 3483M|   0     0 
03-04 12:54:29| 11   2  87   0   0   0|   0     0 | 473M  190M 2664M 3483M|  64B    0 
03-04 12:54:30| 11   2  88   0   0   0|   0     0 | 470M  190M 2664M 3487M|   0     0 
03-04 12:54:31| 11   2  87   0   0   0|   0     0 | 464M  190M 2664M 3493M|  64B    0 
03-04 12:54:32| 11   2  87   0   0   0|   0    12k| 458M  190M 2664M 3499M|   0     0 
