[7l----system---- ----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total-
     time     |usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send
03-04 13:05:01|  3   2  92   2   0   0| 488k  830k| 432M  200M 2668M 3510M|   0     0 
03-04 13:05:02|  6   6  84   4   0   0|   0   680k| 461M  200M 2668M 3481M| 492B  258B
03-04 13:05:03|  6   7  88   0   0   0|   0     0 | 475M  200M 2668M 3468M| 638B  160B
03-04 13:05:04| 10   2  87   0   0   0|   0     0 | 478M  200M 2668M 3464M| 350B   90B
03-04 13:05:05| 10   3  87   0   0   0|   0     0 | 474M  200M 2668M 3469M| 180B    0 
03-04 13:05:06| 10   3  87   0   0   0|   0     0 | 474M  200M 2668M 3469M| 184B    0 
03-04 13:05:07| 10   3  87   0   0   0|   0   124k| 474M  200M 2668M 3468M| 306B   70B
03-04 13:05:08| 10   3  88   0   0   0|   0     0 | 480M  200M 2668M 3462M| 184B    0 
03-04 13:05:09| 10   3  87   0   0   0|   0     0 | 475M  200M 2668M 3467M|  60B    0 
03-04 13:05:10| 10   3  86   1   0   0|   0   764k| 475M  200M 2668M 3468M|   0     0 
03-04 13:05:11|  7   3  87   2   0   0|   0   256k| 443M  200M 2668M 3499M|  16E   16E
