[7l----system---- ----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total-
     time     |usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send
04-04 18:03:39|  0   0 100   0   0   0|  18k   34k| 456M  277M 2688M 3390M|   0     0 
04-04 18:03:40|  7   6  83   4   0   0|   0   692k| 483M  277M 2688M 3363M| 308B  168B
04-04 18:03:41|  6   7  87   0   0   0|   0     0 | 535M  277M 2688M 3310M|1194B  658B
04-04 18:03:42| 11   1  87   0   0   0|   0     0 | 518M  277M 2688M 3327M| 670B  396B
04-04 18:03:43| 12   1  87   0   0   0|   0   132k| 524M  277M 2688M 3321M| 970B  612B
04-04 18:03:44| 11   2  87   0   0   0|   0     0 | 532M  277M 2688M 3314M| 966B 1076B
04-04 18:03:45| 11   2  87   0   0   0|   0   180k| 516M  277M 2688M 3329M| 190B   70B
04-04 18:03:46| 11   2  88   0   0   0|   0     0 | 522M  277M 2688M 3323M|   0     0 
04-04 18:03:47| 11   2  88   0   0   0|   0     0 | 531M  277M 2688M 3314M|  64B    0 
04-04 18:03:48| 11   2  88   0   0   0|   0     0 | 539M  277M 2688M 3306M|   0     0 
04-04 18:03:49| 11   2  87   0   0   0|   0     0 | 519M  277M 2688M 3326M| 190B   70B
04-04 18:03:50| 11   2  88   0   0   0|   0     0 | 523M  277M 2688M 3322M| 102B  102B
04-04 18:03:51| 11   2  87   0   0   0|   0    12k| 531M  277M 2688M 3314M| 400B  234B
04-04 18:03:52| 11   1  88   0   0   0|   0     0 | 516M  277M 2688M 3329M| 438B  306B
04-04 18:03:53| 11   1  87   0   0   0|   0   512k| 524M  277M 2688M 3322M| 400B  234B
04-04 18:03:54| 11   4  85   0   0   0|   0     0 | 525M  277M 2688M 3321M| 660B  606B
04-04 18:03:55| 11   2  88   0   0   0|   0     0 | 529M  277M 2688M 3317M|  64B    0 
04-04 18:03:56| 11   2  87   1   0   0|   0    40k| 513M  277M 2688M 3332M|   0     0 
04-04 18:03:57| 11   1  88   0   0   0|   0     0 | 519M  277M 2688M 3327M|  64B    0 
04-04 18:03:58| 11   1  87   0   0   0|   0    12k| 529M  277M 2688M 3317M|   0     0 
04-04 18:03:59| 11   2  88   0   0   0|   0     0 | 537M  277M 2688M 3309M|  64B    0 
04-04 18:04:00| 11   1  88   0   0   0|   0     0 | 517M  277M 2688M 3329M|   0     0 
04-04 18:04:01| 11   1  88   0   0   0|   0     0 | 524M  277M 2688M 3321M|  64B    0 
04-04 18:04:02| 11   2  87   0   0   0|   0    28k| 529M  277M 2688M 3317M|   0     0 
04-04 18:04:03| 11   1  88   0   0   0|   0     0 | 513M  277M 2688M 3332M|  64B    0 
04-04 18:04:04| 11   1  88   0   0   0|   0     0 | 519M  277M 2688M 3327M|   0     0 
