starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 11:59:17 2016	1460894357	1	735	736	348
Sun Apr 17 11:58:19 2016	1460894299	362	753	1116	376
Sun Apr 17 11:58:19 2016	1460894299	0	1115	1116	753
Sun Apr 17 11:58:14 2016	1460894294	372	745	1117	377
Sun Apr 17 11:58:14 2016	1460894294	2	1115	1117	744
Sun Apr 17 11:59:04 2016	1460894344	364	755	1119	376
Sun Apr 17 11:59:04 2016	1460894344	2	1118	1119	755
Sun Apr 17 11:58:28 2016	1460894308	371	751	1122	375
Sun Apr 17 11:58:12 2016	1460894292	374	748	1122	370
Sun Apr 17 11:58:12 2016	1460894292	2	1120	1122	748
Sun Apr 17 11:58:28 2016	1460894308	2	1120	1122	751
Sun Apr 17 11:58:30 2016	1460894310	372	753	1124	378
Sun Apr 17 11:58:30 2016	1460894310	2	1123	1124	752
Sun Apr 17 11:58:43 2016	1460894323	375	750	1125	372
Sun Apr 17 11:58:43 2016	1460894323	2	1123	1125	749
Sun Apr 17 11:58:22 2016	1460894302	374	752	1126	378
Sun Apr 17 11:58:45 2016	1460894325	376	750	1126	379
Sun Apr 17 11:58:22 2016	1460894302	2	1124	1126	751
Sun Apr 17 11:58:45 2016	1460894325	2	1124	1126	749
Sun Apr 17 11:59:11 2016	1460894351	2	1124	1126	751
Sun Apr 17 11:59:11 2016	1460894351	375	751	1126	376
Sun Apr 17 11:59:13 2016	1460894353	373	753	1126	380
Sun Apr 17 11:59:13 2016	1460894353	2	1125	1127	753
Sun Apr 17 11:58:58 2016	1460894338	379	748	1127	374
Sun Apr 17 11:58:58 2016	1460894338	2	1125	1127	748
Sun Apr 17 11:58:23 2016	1460894303	374	754	1127	381
Sun Apr 17 11:58:23 2016	1460894303	2	1125	1127	753
Sun Apr 17 11:59:09 2016	1460894349	380	748	1128	371
Sun Apr 17 11:59:09 2016	1460894349	2	1126	1128	748
Sun Apr 17 11:58:50 2016	1460894330	375	753	1128	379
Sun Apr 17 11:58:50 2016	1460894330	2	1126	1128	753
Sun Apr 17 11:59:16 2016	1460894356	376	752	1129	378
Sun Apr 17 11:59:16 2016	1460894356	2	1127	1129	752
Sun Apr 17 11:59:01 2016	1460894341	371	758	1129	389
Sun Apr 17 11:59:01 2016	1460894341	2	1127	1129	758
Sun Apr 17 11:58:34 2016	1460894314	383	746	1129	375
Sun Apr 17 11:58:34 2016	1460894314	1	1129	1129	746
Sun Apr 17 11:59:08 2016	1460894348	380	750	1130	378
Sun Apr 17 11:59:08 2016	1460894348	2	1128	1130	750
Sun Apr 17 11:58:48 2016	1460894328	374	757	1130	382
Sun Apr 17 11:58:48 2016	1460894328	2	1129	1130	756
Sun Apr 17 11:58:17 2016	1460894297	382	749	1131	373
Sun Apr 17 11:58:17 2016	1460894297	2	1129	1131	749
Sun Apr 17 11:58:38 2016	1460894318	370	761	1131	380
Sun Apr 17 11:58:38 2016	1460894318	2	1130	1131	761
Sun Apr 17 11:59:10 2016	1460894350	380	753	1133	378
Sun Apr 17 11:59:10 2016	1460894350	2	1131	1133	753
Sun Apr 17 11:59:12 2016	1460894352	380	753	1133	379
Sun Apr 17 11:58:24 2016	1460894304	379	754	1133	380
Sun Apr 17 11:58:24 2016	1460894304	2	1132	1133	754
Sun Apr 17 11:59:12 2016	1460894352	1	1132	1133	753
Sun Apr 17 11:58:20 2016	1460894300	378	756	1135	379
Sun Apr 17 11:58:20 2016	1460894300	2	1133	1135	756
Sun Apr 17 11:58:40 2016	1460894320	2	1135	1137	757
Sun Apr 17 11:58:40 2016	1460894320	379	757	1137	383
Sun Apr 17 11:58:44 2016	1460894324	376	761	1137	377
Sun Apr 17 11:58:44 2016	1460894324	2	1135	1137	760
Sun Apr 17 11:58:15 2016	1460894295	2	1135	1137	760
Sun Apr 17 11:59:00 2016	1460894340	382	755	1137	379
Sun Apr 17 11:58:15 2016	1460894295	377	760	1137	382
Sun Apr 17 11:59:00 2016	1460894340	2	1135	1137	755
Sun Apr 17 11:58:51 2016	1460894331	389	748	1137	373
Sun Apr 17 11:58:51 2016	1460894331	2	1136	1137	748
Sun Apr 17 11:58:46 2016	1460894326	370	768	1139	389
Sun Apr 17 11:58:46 2016	1460894326	2	1137	1139	768
Sun Apr 17 11:58:54 2016	1460894334	381	758	1140	382
Sun Apr 17 11:58:53 2016	1460894333	377	762	1140	383
Sun Apr 17 11:58:54 2016	1460894334	2	1138	1140	758
Sun Apr 17 11:58:53 2016	1460894333	2	1138	1140	762
Sun Apr 17 11:59:06 2016	1460894346	388	752	1140	376
Sun Apr 17 11:59:06 2016	1460894346	2	1138	1140	752
Sun Apr 17 11:58:55 2016	1460894335	380	761	1141	386
Sun Apr 17 11:58:55 2016	1460894335	2	1140	1141	761
Sun Apr 17 11:58:37 2016	1460894317	2	1140	1142	763
Sun Apr 17 11:59:15 2016	1460894355	381	761	1142	386
Sun Apr 17 11:58:37 2016	1460894317	378	763	1142	378
Sun Apr 17 11:58:29 2016	1460894309	376	766	1142	392
Sun Apr 17 11:59:15 2016	1460894355	2	1141	1142	760
Sun Apr 17 11:58:29 2016	1460894309	2	1141	1142	765
Sun Apr 17 11:58:27 2016	1460894307	389	753	1142	377
Sun Apr 17 11:58:27 2016	1460894307	1	1141	1143	753
Sun Apr 17 11:58:59 2016	1460894339	385	758	1143	380
Sun Apr 17 11:58:59 2016	1460894339	2	1142	1143	758
Sun Apr 17 11:58:52 2016	1460894332	2	1144	1145	764
Sun Apr 17 11:58:52 2016	1460894332	381	764	1145	383
Sun Apr 17 11:58:35 2016	1460894315	0	1145	1146	757
Sun Apr 17 11:58:35 2016	1460894315	377	769	1146	395
Sun Apr 17 11:59:02 2016	1460894342	377	769	1147	383
Sun Apr 17 11:59:02 2016	1460894342	2	1145	1147	769
Sun Apr 17 11:58:42 2016	1460894322	381	767	1148	384
Sun Apr 17 11:58:42 2016	1460894322	2	1146	1148	767
Sun Apr 17 11:58:47 2016	1460894327	382	768	1150	377
Sun Apr 17 11:58:47 2016	1460894327	2	1148	1150	768
Sun Apr 17 11:58:18 2016	1460894298	2	1149	1150	763
Sun Apr 17 11:58:18 2016	1460894298	378	773	1150	386
Sun Apr 17 11:58:36 2016	1460894316	360	791	1151	409
Sun Apr 17 11:58:39 2016	1460894319	393	758	1151	381
Sun Apr 17 11:58:39 2016	1460894319	2	1149	1151	757
Sun Apr 17 11:58:21 2016	1460894301	376	778	1154	379
Sun Apr 17 11:58:26 2016	1460894306	364	791	1154	376
Sun Apr 17 11:58:21 2016	1460894301	2	1152	1154	778
Sun Apr 17 11:58:26 2016	1460894306	2	1153	1154	791
Sun Apr 17 11:59:03 2016	1460894343	377	780	1157	392
Sun Apr 17 11:59:03 2016	1460894343	2	1156	1157	780
Sun Apr 17 11:58:31 2016	1460894311	384	774	1158	381
Sun Apr 17 11:58:31 2016	1460894311	2	1156	1158	774
Sun Apr 17 11:58:13 2016	1460894293	2	1157	1158	767
Sun Apr 17 11:58:13 2016	1460894293	391	767	1158	379
Sun Apr 17 11:58:11 2016	1460894291	377	782	1159	378
Sun Apr 17 11:58:11 2016	1460894291	2	1158	1160	782
Sun Apr 17 11:59:07 2016	1460894347	381	782	1163	393
Sun Apr 17 11:59:07 2016	1460894347	2	1161	1163	782
Sun Apr 17 11:58:36 2016	1460894316	13	1150	1163	791
Sun Apr 17 11:58:32 2016	1460894312	395	772	1167	374
Sun Apr 17 11:58:32 2016	1460894312	2	1165	1167	771
Sun Apr 17 11:56:07 2016	1460894167	392	777	1168	387
Sun Apr 17 11:56:07 2016	1460894167	2	1167	1169	777
Sun Apr 17 11:57:26 2016	1460894246	399	776	1175	384
Sun Apr 17 11:57:26 2016	1460894246	2	1173	1175	776
Sun Apr 17 11:58:06 2016	1460894286	384	794	1179	397
Sun Apr 17 11:58:06 2016	1460894286	0	1179	1179	793
Sun Apr 17 11:56:04 2016	1460894164	404	777	1181	392
Sun Apr 17 11:56:04 2016	1460894164	2	1179	1181	776
Sun Apr 17 11:56:52 2016	1460894212	394	787	1181	395
Sun Apr 17 11:56:52 2016	1460894212	2	1180	1181	787
Sun Apr 17 11:56:09 2016	1460894169	392	790	1182	396
Sun Apr 17 11:56:09 2016	1460894169	3	1179	1182	790
Sun Apr 17 11:56:14 2016	1460894174	394	788	1182	393
Sun Apr 17 11:56:14 2016	1460894174	1	1181	1182	788
Sun Apr 17 11:56:22 2016	1460894182	2	1181	1182	789
Sun Apr 17 11:56:22 2016	1460894182	393	789	1182	396
Sun Apr 17 11:57:54 2016	1460894274	396	787	1183	395
Sun Apr 17 11:57:54 2016	1460894274	2	1181	1183	787
Sun Apr 17 11:56:15 2016	1460894175	394	789	1183	396
Sun Apr 17 11:56:15 2016	1460894175	2	1182	1184	789
Sun Apr 17 11:57:21 2016	1460894241	2	1182	1184	787
Sun Apr 17 11:57:21 2016	1460894241	396	788	1184	395
Sun Apr 17 11:57:11 2016	1460894231	397	788	1185	391
Sun Apr 17 11:57:11 2016	1460894231	2	1183	1185	788
Sun Apr 17 11:56:16 2016	1460894176	399	786	1185	390
Sun Apr 17 11:57:20 2016	1460894240	394	791	1185	397
Sun Apr 17 11:57:20 2016	1460894240	1	1185	1185	791
Sun Apr 17 11:56:16 2016	1460894176	2	1184	1185	786
Sun Apr 17 11:57:25 2016	1460894245	395	790	1186	394
Sun Apr 17 11:57:25 2016	1460894245	2	1184	1186	790
Sun Apr 17 11:57:31 2016	1460894251	395	791	1186	395
Sun Apr 17 11:56:36 2016	1460894196	393	793	1186	397
Sun Apr 17 11:57:41 2016	1460894261	400	786	1186	392
Sun Apr 17 11:57:31 2016	1460894251	2	1184	1186	791
Sun Apr 17 11:56:36 2016	1460894196	2	1184	1186	793
Sun Apr 17 11:57:41 2016	1460894261	2	1185	1186	786
Sun Apr 17 11:56:20 2016	1460894180	398	789	1187	394
Sun Apr 17 11:56:20 2016	1460894180	2	1185	1187	788
