Percentage served,Time in ms
0,512.397
1,705.935
2,707.913
3,710.093
4,711.213
5,712.315
6,712.985
7,714.686
8,715.276
9,715.948
10,716.342
11,717.180
12,718.507
13,718.689
14,718.836
15,719.619
16,719.746
17,720.334
18,721.398
19,722.162
20,722.975
21,723.610
22,724.511
23,724.930
24,725.209
25,725.522
26,725.621
27,725.813
28,726.078
29,726.931
30,727.175
31,728.570
32,728.871
33,729.028
34,729.615
35,729.981
36,730.397
37,730.594
38,731.026
39,732.013
40,732.644
41,733.624
42,734.276
43,735.738
44,737.652
45,738.249
46,739.125
47,739.450
48,741.105
49,743.789
50,744.546
51,746.954
52,747.563
53,751.328
54,752.363
55,754.583
56,756.502
57,761.785
58,764.466
59,765.320
60,767.098
61,772.735
62,777.144
63,805.089
64,817.079
65,855.268
66,906.148
67,1419.478
68,1434.537
69,1437.086
70,1438.893
71,1441.464
72,1443.263
73,1445.394
74,1447.364
75,1448.328
76,1450.313
77,1451.439
78,1453.618
79,1454.554
80,1456.615
81,1458.652
82,1460.994
83,1462.827
84,1465.704
85,1469.270
86,1472.437
87,1473.887
88,1476.981
89,1478.755
90,1481.240
91,1484.106
92,1487.947
93,1490.853
94,1495.019
95,1498.221
96,1513.784
97,1534.401
98,1566.457
99,1588.671
100,1653.105
