starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 11:46:47 2016	1460893607	2	847	848	413
Sun Apr 17 11:44:27 2016	1460893467	434	837	1270	409
Sun Apr 17 11:44:27 2016	1460893467	2	1269	1270	836
Sun Apr 17 11:44:25 2016	1460893465	416	857	1273	431
Sun Apr 17 11:44:25 2016	1460893465	2	1271	1273	857
Sun Apr 17 11:46:00 2016	1460893560	415	859	1273	430
Sun Apr 17 11:46:00 2016	1460893560	2	1272	1274	859
Sun Apr 17 11:46:10 2016	1460893570	420	858	1277	432
Sun Apr 17 11:46:10 2016	1460893570	2	1275	1277	857
Sun Apr 17 11:44:14 2016	1460893454	415	862	1277	436
Sun Apr 17 11:44:14 2016	1460893454	2	1276	1277	862
Sun Apr 17 11:43:17 2016	1460893397	416	862	1278	442
Sun Apr 17 11:43:17 2016	1460893397	2	1276	1278	862
Sun Apr 17 11:44:31 2016	1460893471	2	1277	1279	854
Sun Apr 17 11:44:31 2016	1460893471	425	854	1279	433
Sun Apr 17 11:44:48 2016	1460893488	2	1279	1281	854
Sun Apr 17 11:44:48 2016	1460893488	427	854	1281	412
Sun Apr 17 11:46:05 2016	1460893565	425	856	1281	430
Sun Apr 17 11:46:05 2016	1460893565	2	1279	1281	856
Sun Apr 17 11:43:58 2016	1460893438	2	1280	1282	853
Sun Apr 17 11:43:58 2016	1460893438	428	853	1282	431
Sun Apr 17 11:44:00 2016	1460893440	431	851	1282	433
Sun Apr 17 11:44:00 2016	1460893440	2	1280	1282	850
Sun Apr 17 11:43:23 2016	1460893403	433	850	1283	416
Sun Apr 17 11:43:23 2016	1460893403	2	1281	1283	849
Sun Apr 17 11:44:10 2016	1460893450	428	855	1283	437
Sun Apr 17 11:44:10 2016	1460893450	2	1281	1283	855
Sun Apr 17 11:44:04 2016	1460893444	420	865	1284	436
Sun Apr 17 11:44:04 2016	1460893444	2	1283	1284	864
Sun Apr 17 11:44:52 2016	1460893492	420	864	1285	435
Sun Apr 17 11:44:52 2016	1460893492	2	1283	1285	864
Sun Apr 17 11:45:41 2016	1460893541	427	858	1285	417
Sun Apr 17 11:45:41 2016	1460893541	2	1283	1285	858
Sun Apr 17 11:45:13 2016	1460893513	437	849	1286	434
Sun Apr 17 11:45:13 2016	1460893513	2	1285	1286	849
Sun Apr 17 11:45:03 2016	1460893503	435	852	1287	438
Sun Apr 17 11:45:03 2016	1460893503	2	1285	1287	852
Sun Apr 17 11:45:20 2016	1460893520	428	859	1287	430
Sun Apr 17 11:45:20 2016	1460893520	2	1285	1287	859
Sun Apr 17 11:45:28 2016	1460893528	2	1288	1290	871
Sun Apr 17 11:45:28 2016	1460893528	419	871	1290	435
Sun Apr 17 11:45:31 2016	1460893531	441	849	1290	419
Sun Apr 17 11:45:31 2016	1460893531	2	1289	1290	849
Sun Apr 17 11:46:30 2016	1460893590	428	862	1291	430
Sun Apr 17 11:46:30 2016	1460893590	2	1289	1291	862
Sun Apr 17 11:46:09 2016	1460893569	428	863	1292	437
Sun Apr 17 11:44:36 2016	1460893476	2	1290	1292	856
Sun Apr 17 11:44:36 2016	1460893476	435	856	1292	422
Sun Apr 17 11:46:09 2016	1460893569	2	1290	1292	863
Sun Apr 17 11:43:53 2016	1460893433	421	871	1292	439
Sun Apr 17 11:43:53 2016	1460893433	2	1290	1292	871
Sun Apr 17 11:43:49 2016	1460893429	441	851	1293	433
Sun Apr 17 11:43:49 2016	1460893429	2	1291	1293	851
Sun Apr 17 11:45:23 2016	1460893523	429	864	1293	435
Sun Apr 17 11:44:21 2016	1460893461	439	854	1293	430
Sun Apr 17 11:44:21 2016	1460893461	2	1291	1293	854
Sun Apr 17 11:45:23 2016	1460893523	2	1291	1293	864
Sun Apr 17 11:45:43 2016	1460893543	428	865	1293	436
Sun Apr 17 11:45:43 2016	1460893543	2	1292	1293	865
Sun Apr 17 11:45:45 2016	1460893545	2	1292	1294	868
Sun Apr 17 11:45:45 2016	1460893545	426	868	1294	433
Sun Apr 17 11:43:48 2016	1460893428	435	859	1294	433
Sun Apr 17 11:43:48 2016	1460893428	2	1293	1294	859
Sun Apr 17 11:44:13 2016	1460893453	427	868	1295	430
Sun Apr 17 11:44:13 2016	1460893453	2	1293	1295	868
Sun Apr 17 11:44:40 2016	1460893480	430	865	1295	435
Sun Apr 17 11:44:40 2016	1460893480	2	1294	1295	865
Sun Apr 17 11:44:55 2016	1460893495	435	862	1297	425
Sun Apr 17 11:44:55 2016	1460893495	1	1296	1297	862
Sun Apr 17 11:46:04 2016	1460893564	431	866	1297	431
Sun Apr 17 11:46:04 2016	1460893564	2	1295	1297	866
Sun Apr 17 11:43:14 2016	1460893394	444	854	1298	432
Sun Apr 17 11:43:14 2016	1460893394	2	1296	1298	853
Sun Apr 17 11:44:06 2016	1460893446	425	872	1298	417
Sun Apr 17 11:43:54 2016	1460893434	429	869	1298	435
Sun Apr 17 11:44:06 2016	1460893446	2	1296	1298	872
Sun Apr 17 11:43:54 2016	1460893434	1	1296	1298	869
Sun Apr 17 11:46:07 2016	1460893567	2	1296	1298	844
Sun Apr 17 11:46:07 2016	1460893567	454	844	1298	429
Sun Apr 17 11:44:46 2016	1460893486	419	879	1298	444
Sun Apr 17 11:44:46 2016	1460893486	2	1296	1298	879
Sun Apr 17 11:43:20 2016	1460893400	427	871	1298	440
Sun Apr 17 11:43:20 2016	1460893400	2	1296	1298	870
