starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 12:28:46 2016	1460896126	3	2553	2556	1248
Sun Apr 17 12:28:06 2016	1460896086	1290	2596	3887	1279
Sun Apr 17 12:28:06 2016	1460896086	3	3883	3887	2596
Sun Apr 17 12:27:03 2016	1460896023	1311	2594	3905	1276
Sun Apr 17 12:27:03 2016	1460896023	3	3902	3905	2594
Sun Apr 17 12:24:02 2016	1460895842	1319	2597	3915	1310
Sun Apr 17 12:24:02 2016	1460895842	3	3912	3915	2596
Sun Apr 17 12:23:50 2016	1460895830	1305	2614	3920	1289
Sun Apr 17 12:23:50 2016	1460895830	3	3917	3920	2614
Sun Apr 17 12:25:18 2016	1460895918	1296	2626	3922	1319
Sun Apr 17 12:25:18 2016	1460895918	3	3919	3922	2626
Sun Apr 17 12:26:23 2016	1460895983	1286	2638	3923	1332
Sun Apr 17 12:26:23 2016	1460895983	3	3921	3923	2637
Sun Apr 17 12:26:43 2016	1460896003	1312	2615	3926	1327
Sun Apr 17 12:26:43 2016	1460896003	3	3923	3926	2614
Sun Apr 17 12:23:30 2016	1460895810	3	3924	3928	2613
Sun Apr 17 12:23:30 2016	1460895810	1315	2613	3928	1315
Sun Apr 17 12:28:10 2016	1460896090	1299	2635	3935	1314
Sun Apr 17 12:28:10 2016	1460896090	3	3932	3935	2635
Sun Apr 17 12:23:10 2016	1460895790	1299	2642	3941	1332
Sun Apr 17 12:23:10 2016	1460895790	3	3938	3941	2642
Sun Apr 17 12:28:42 2016	1460896122	4	3939	3942	2638
Sun Apr 17 12:28:42 2016	1460896122	1303	2639	3942	1316
Sun Apr 17 12:28:34 2016	1460896114	1318	2638	3956	1326
Sun Apr 17 12:28:34 2016	1460896114	4	3952	3956	2637
Sun Apr 17 12:28:02 2016	1460896082	1320	2636	3956	1329
Sun Apr 17 12:28:02 2016	1460896082	4	3952	3956	2636
Sun Apr 17 12:27:15 2016	1460896035	1346	2611	3957	1303
Sun Apr 17 12:27:15 2016	1460896035	3	3954	3957	2611
Sun Apr 17 12:27:47 2016	1460896067	3	3957	3960	2613
Sun Apr 17 12:27:47 2016	1460896067	1347	2614	3960	1294
Sun Apr 17 12:27:27 2016	1460896047	1322	2639	3962	1333
Sun Apr 17 12:27:27 2016	1460896047	3	3958	3962	2639
Sun Apr 17 12:28:18 2016	1460896098	1351	2617	3967	1306
Sun Apr 17 12:28:18 2016	1460896098	3	3965	3967	2616
Sun Apr 17 12:27:43 2016	1460896063	1315	2655	3970	1335
Sun Apr 17 12:27:43 2016	1460896063	3	3967	3970	2655
Sun Apr 17 12:26:55 2016	1460896015	1326	2645	3971	1339
Sun Apr 17 12:26:55 2016	1460896015	3	3968	3971	2645
Sun Apr 17 12:25:26 2016	1460895926	1314	2657	3971	1301
Sun Apr 17 12:25:26 2016	1460895926	2	3969	3971	2657
Sun Apr 17 12:28:38 2016	1460896118	1382	2591	3973	1275
Sun Apr 17 12:28:38 2016	1460896118	2	3971	3973	2591
Sun Apr 17 12:27:51 2016	1460896071	3	3974	3977	2640
Sun Apr 17 12:27:51 2016	1460896071	1337	2640	3977	1317
Sun Apr 17 12:25:58 2016	1460895958	1317	2661	3978	1290
Sun Apr 17 12:25:58 2016	1460895958	3	3975	3978	2661
Sun Apr 17 12:23:42 2016	1460895822	1294	2685	3979	1371
Sun Apr 17 12:23:42 2016	1460895822	3	3976	3979	2685
Sun Apr 17 12:24:34 2016	1460895874	3	3977	3980	2615
Sun Apr 17 12:24:34 2016	1460895874	1364	2616	3980	1320
Sun Apr 17 12:27:11 2016	1460896031	1322	2659	3980	1337
Sun Apr 17 12:27:11 2016	1460896031	4	3977	3980	2658
Sun Apr 17 12:23:18 2016	1460895798	3	3977	3980	2606
Sun Apr 17 12:23:18 2016	1460895798	1374	2606	3981	1282
Sun Apr 17 12:25:06 2016	1460895906	1373	2610	3984	1314
Sun Apr 17 12:25:06 2016	1460895906	3	3981	3984	2610
Sun Apr 17 12:27:35 2016	1460896055	1360	2624	3984	1281
Sun Apr 17 12:27:35 2016	1460896055	3	3981	3984	2624
Sun Apr 17 12:22:25 2016	1460895745	3	3982	3985	2653
Sun Apr 17 12:22:25 2016	1460895745	1332	2653	3985	1355
Sun Apr 17 12:27:07 2016	1460896027	1308	2678	3986	1344
Sun Apr 17 12:27:07 2016	1460896027	4	3983	3986	2678
Sun Apr 17 12:26:31 2016	1460895991	3	3986	3988	2688
Sun Apr 17 12:26:31 2016	1460895991	1301	2688	3988	1329
Sun Apr 17 12:24:14 2016	1460895854	3	3986	3989	2700
Sun Apr 17 12:27:54 2016	1460896074	1356	2633	3989	1315
Sun Apr 17 12:24:14 2016	1460895854	1289	2700	3989	1384
Sun Apr 17 12:27:54 2016	1460896074	3	3986	3989	2633
Sun Apr 17 12:26:59 2016	1460896019	1353	2637	3990	1318
Sun Apr 17 12:26:59 2016	1460896019	3	3987	3990	2637
Sun Apr 17 12:26:11 2016	1460895971	1335	2657	3993	1368
Sun Apr 17 12:26:11 2016	1460895971	3	3989	3993	2657
Sun Apr 17 12:22:13 2016	1460895733	1359	2636	3995	1296
Sun Apr 17 12:26:51 2016	1460896011	1364	2631	3995	1316
Sun Apr 17 12:22:13 2016	1460895733	3	3991	3995	2635
Sun Apr 17 12:26:51 2016	1460896011	3	3992	3995	2630
Sun Apr 17 12:26:27 2016	1460895987	1336	2660	3996	1334
Sun Apr 17 12:26:27 2016	1460895987	3	3993	3996	2659
Sun Apr 17 12:25:38 2016	1460895938	1364	2634	3997	1323
Sun Apr 17 12:25:38 2016	1460895938	3	3995	3997	2633
Sun Apr 17 12:27:58 2016	1460896078	1275	2724	3999	1424
Sun Apr 17 12:27:58 2016	1460896078	3	3996	3999	2724
Sun Apr 17 12:24:22 2016	1460895862	1315	2685	4000	1322
Sun Apr 17 12:22:58 2016	1460895778	3	3997	4000	2627
Sun Apr 17 12:24:22 2016	1460895862	3	3996	4000	2685
Sun Apr 17 12:22:58 2016	1460895778	1373	2627	4000	1306
Sun Apr 17 12:22:38 2016	1460895758	1330	2672	4001	1326
Sun Apr 17 12:22:38 2016	1460895758	3	3998	4001	2671
Sun Apr 17 12:23:58 2016	1460895838	4	4001	4005	2679
Sun Apr 17 12:23:58 2016	1460895838	1326	2679	4005	1313
Sun Apr 17 12:22:17 2016	1460895737	3	4003	4006	2689
Sun Apr 17 12:22:17 2016	1460895737	1317	2689	4006	1362
Sun Apr 17 12:23:26 2016	1460895806	3	4003	4006	2641
