Percentage served,Time in ms
0,432.121
1,641.286
2,642.892
3,645.432
4,647.401
5,650.127
6,651.075
7,651.236
8,652.062
9,652.336
10,652.645
11,652.992
12,653.944
13,654.287
14,655.468
15,656.549
16,657.620
17,657.760
18,659.274
19,659.794
20,660.271
21,660.452
22,660.649
23,661.301
24,661.570
25,662.000
26,662.226
27,662.600
28,663.126
29,663.326
30,663.782
31,664.006
32,664.663
33,664.905
34,665.468
35,665.670
36,666.327
37,667.435
38,668.147
39,668.743
40,669.809
41,670.101
42,670.426
43,670.898
44,671.159
45,672.524
46,672.748
47,674.654
48,676.333
49,677.094
50,677.865
51,679.122
52,679.876
53,681.906
54,682.201
55,684.102
56,685.985
57,689.173
58,689.553
59,692.230
60,703.028
61,710.917
62,716.233
63,733.005
64,736.460
65,747.089
66,816.679
67,1237.367
68,1304.959
69,1309.914
70,1312.244
71,1313.343
72,1315.194
73,1317.916
74,1319.356
75,1320.795
76,1322.244
77,1323.515
78,1325.751
79,1326.598
80,1327.819
81,1328.552
82,1331.151
83,1333.977
84,1336.016
85,1337.048
86,1338.977
87,1340.583
88,1342.079
89,1345.997
90,1348.048
91,1350.480
92,1352.545
93,1363.734
94,1367.473
95,1373.909
96,1382.877
97,1389.871
98,1395.649
99,1479.834
100,1587.761
