starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 13:12:14 2016	1460898734	1	816	816	384
Sun Apr 17 13:08:56 2016	1460898536	406	805	1211	396
Sun Apr 17 13:08:56 2016	1460898536	2	1209	1211	805
Sun Apr 17 13:08:52 2016	1460898532	2	1210	1212	809
Sun Apr 17 13:08:52 2016	1460898532	403	810	1212	405
Sun Apr 17 13:09:20 2016	1460898560	411	805	1216	404
Sun Apr 17 13:09:20 2016	1460898560	2	1214	1216	804
Sun Apr 17 13:08:50 2016	1460898530	402	826	1228	411
Sun Apr 17 13:08:50 2016	1460898530	2	1227	1229	826
Sun Apr 17 13:09:06 2016	1460898546	413	815	1229	408
Sun Apr 17 13:09:06 2016	1460898546	2	1227	1229	815
Sun Apr 17 13:09:30 2016	1460898570	2	1230	1231	811
Sun Apr 17 13:09:30 2016	1460898570	420	812	1231	405
Sun Apr 17 13:09:02 2016	1460898542	413	819	1233	410
Sun Apr 17 13:09:02 2016	1460898542	2	1231	1233	819
Sun Apr 17 13:11:05 2016	1460898665	414	821	1235	415
Sun Apr 17 13:11:05 2016	1460898665	1	1234	1235	821
Sun Apr 17 13:09:35 2016	1460898575	3	1233	1235	822
Sun Apr 17 13:09:35 2016	1460898575	413	822	1235	412
Sun Apr 17 13:09:15 2016	1460898555	412	824	1236	412
Sun Apr 17 13:09:15 2016	1460898555	1	1235	1236	824
Sun Apr 17 13:10:21 2016	1460898621	412	825	1237	409
Sun Apr 17 13:10:21 2016	1460898621	1	1237	1237	825
Sun Apr 17 13:08:51 2016	1460898531	408	830	1237	413
Sun Apr 17 13:08:51 2016	1460898531	2	1236	1237	829
Sun Apr 17 13:09:40 2016	1460898580	414	826	1240	418
Sun Apr 17 13:10:47 2016	1460898647	420	821	1240	408
Sun Apr 17 13:09:40 2016	1460898580	2	1238	1240	826
Sun Apr 17 13:09:57 2016	1460898597	409	831	1240	413
Sun Apr 17 13:10:47 2016	1460898647	2	1238	1240	820
Sun Apr 17 13:08:54 2016	1460898534	421	820	1240	408
Sun Apr 17 13:09:57 2016	1460898597	2	1239	1240	831
Sun Apr 17 13:08:54 2016	1460898534	2	1239	1241	819
Sun Apr 17 13:09:53 2016	1460898593	408	832	1241	412
Sun Apr 17 13:09:53 2016	1460898593	2	1239	1241	832
Sun Apr 17 13:09:42 2016	1460898582	410	831	1241	421
