Percentage served,Time in ms
0,1462.999
1,2307.057
2,2312.308
3,2316.300
4,2316.728
5,2317.902
6,2321.446
7,2322.505
8,2323.603
9,2325.846
10,2326.328
11,2328.912
12,2332.471
13,2333.832
14,2336.403
15,2340.830
16,2345.003
17,2346.294
18,2347.890
19,2352.414
20,2355.278
21,2360.863
22,2367.233
23,2545.853
24,2608.074
25,2615.051
26,2617.866
27,2632.179
28,2638.038
29,2644.512
30,2644.861
31,2645.554
32,2653.575
33,2660.246
34,2667.178
35,2669.057
36,2672.399
37,2677.878
38,2680.647
39,2683.604
40,2685.300
41,2686.362
42,2686.933
43,2689.611
44,2691.655
45,2696.378
46,2698.174
47,2701.921
48,2703.976
49,2710.519
50,2713.372
51,2718.230
52,2722.581
53,2728.255
54,2734.948
55,2744.306
56,2749.979
57,2760.959
58,2762.983
59,2766.012
60,2785.195
61,2814.134
62,2827.998
63,2833.767
64,2902.927
65,2987.190
66,3100.239
67,4624.081
68,4642.544
69,4646.784
70,4657.031
71,4662.180
72,4666.323
73,4671.687
74,4673.786
75,4683.967
76,4688.609
77,4700.992
78,4920.906
79,5251.811
80,5276.124
81,5308.013
82,5318.111
83,5339.250
84,5357.816
85,5370.820
86,5380.452
87,5386.995
88,5397.493
89,5413.654
90,5425.196
91,5443.373
92,5452.671
93,5460.816
94,5476.267
95,5491.377
96,5517.155
97,5554.863
98,5597.615
99,5699.398
100,7754.177
