starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 11:16:37 2016	1460891797	3	1460	1463	689
Sun Apr 17 11:15:08 2016	1460891708	757	1542	2299	772
Sun Apr 17 11:15:08 2016	1460891708	3	2297	2300	1542
Sun Apr 17 11:15:10 2016	1460891710	779	1525	2305	757
Sun Apr 17 11:15:10 2016	1460891710	4	2301	2305	1525
Sun Apr 17 11:14:59 2016	1460891699	4	2303	2307	1525
Sun Apr 17 11:14:59 2016	1460891699	782	1525	2307	761
Sun Apr 17 11:16:23 2016	1460891783	771	1540	2311	784
Sun Apr 17 11:16:23 2016	1460891783	3	2308	2311	1540
Sun Apr 17 11:16:18 2016	1460891778	763	1549	2312	783
Sun Apr 17 11:16:18 2016	1460891778	3	2309	2312	1549
Sun Apr 17 11:15:43 2016	1460891743	764	1549	2314	778
Sun Apr 17 11:15:43 2016	1460891743	4	2310	2314	1549
Sun Apr 17 11:14:31 2016	1460891671	785	1531	2316	764
Sun Apr 17 11:14:31 2016	1460891671	3	2313	2316	1531
Sun Apr 17 11:15:36 2016	1460891736	777	1540	2316	780
Sun Apr 17 11:15:36 2016	1460891736	4	2313	2316	1539
Sun Apr 17 11:16:13 2016	1460891773	780	1537	2316	778
Sun Apr 17 11:16:13 2016	1460891773	3	2313	2316	1536
Sun Apr 17 11:15:13 2016	1460891713	760	1557	2317	773
Sun Apr 17 11:15:13 2016	1460891713	3	2314	2317	1556
Sun Apr 17 11:14:47 2016	1460891687	765	1551	2317	782
Sun Apr 17 11:14:47 2016	1460891687	4	2313	2317	1551
Sun Apr 17 11:14:56 2016	1460891696	763	1555	2317	775
Sun Apr 17 11:14:56 2016	1460891696	4	2314	2318	1554
Sun Apr 17 11:15:57 2016	1460891757	784	1534	2318	770
Sun Apr 17 11:15:57 2016	1460891757	4	2314	2318	1533
Sun Apr 17 11:14:35 2016	1460891675	763	1557	2320	769
Sun Apr 17 11:14:35 2016	1460891675	3	2318	2320	1557
Sun Apr 17 11:16:04 2016	1460891764	3	2318	2321	1550
Sun Apr 17 11:15:31 2016	1460891731	765	1557	2321	769
Sun Apr 17 11:16:04 2016	1460891764	771	1550	2321	775
Sun Apr 17 11:15:31 2016	1460891731	3	2318	2321	1557
Sun Apr 17 11:14:37 2016	1460891677	764	1559	2322	787
Sun Apr 17 11:14:37 2016	1460891677	3	2319	2322	1559
Sun Apr 17 11:15:50 2016	1460891750	773	1550	2323	760
Sun Apr 17 11:15:50 2016	1460891750	4	2319	2323	1549
Sun Apr 17 11:14:33 2016	1460891673	774	1548	2323	772
Sun Apr 17 11:14:33 2016	1460891673	3	2319	2323	1548
Sun Apr 17 11:15:17 2016	1460891717	809	1514	2324	765
Sun Apr 17 11:15:17 2016	1460891717	3	2321	2324	1514
Sun Apr 17 11:15:38 2016	1460891738	3	2320	2324	1540
Sun Apr 17 11:15:38 2016	1460891738	783	1540	2324	772
Sun Apr 17 11:15:24 2016	1460891724	766	1558	2324	783
Sun Apr 17 11:15:24 2016	1460891724	4	2320	2324	1558
Sun Apr 17 11:15:29 2016	1460891729	776	1550	2326	770
Sun Apr 17 11:15:29 2016	1460891729	3	2323	2326	1550
Sun Apr 17 11:16:34 2016	1460891794	774	1552	2326	775
Sun Apr 17 11:16:27 2016	1460891787	772	1554	2326	769
Sun Apr 17 11:16:34 2016	1460891794	3	2323	2326	1552
Sun Apr 17 11:16:27 2016	1460891787	3	2323	2326	1554
Sun Apr 17 11:15:15 2016	1460891715	773	1554	2327	779
Sun Apr 17 11:15:15 2016	1460891715	4	2323	2327	1554
Sun Apr 17 11:15:33 2016	1460891733	768	1559	2327	778
Sun Apr 17 11:15:33 2016	1460891733	3	2324	2327	1559
Sun Apr 17 11:15:45 2016	1460891745	775	1554	2329	778
Sun Apr 17 11:15:45 2016	1460891745	4	2325	2329	1554
Sun Apr 17 11:14:42 2016	1460891682	785	1544	2329	781
Sun Apr 17 11:14:42 2016	1460891682	3	2326	2329	1544
Sun Apr 17 11:16:20 2016	1460891780	767	1566	2332	788
Sun Apr 17 11:16:20 2016	1460891780	4	2328	2332	1565
Sun Apr 17 11:15:22 2016	1460891722	773	1560	2334	790
Sun Apr 17 11:15:22 2016	1460891722	4	2330	2334	1560
Sun Apr 17 11:14:26 2016	1460891666	779	1555	2334	782
Sun Apr 17 11:16:11 2016	1460891771	774	1559	2334	787
Sun Apr 17 11:14:26 2016	1460891666	3	2330	2334	1555
Sun Apr 17 11:16:11 2016	1460891771	3	2331	2334	1559
Sun Apr 17 11:16:01 2016	1460891761	774	1561	2335	786
Sun Apr 17 11:16:01 2016	1460891761	3	2332	2335	1561
Sun Apr 17 11:15:47 2016	1460891747	784	1553	2336	765
Sun Apr 17 11:15:47 2016	1460891747	4	2332	2336	1553
Sun Apr 17 11:16:32 2016	1460891792	788	1551	2339	781
Sun Apr 17 11:16:32 2016	1460891792	4	2335	2339	1551
Sun Apr 17 11:14:40 2016	1460891680	779	1561	2340	793
Sun Apr 17 11:14:40 2016	1460891680	3	2337	2340	1561
Sun Apr 17 11:14:54 2016	1460891694	766	1575	2341	786
Sun Apr 17 11:14:54 2016	1460891694	3	2337	2341	1575
Sun Apr 17 11:15:52 2016	1460891752	3	2341	2345	1555
Sun Apr 17 11:15:52 2016	1460891752	789	1556	2345	782
Sun Apr 17 11:14:44 2016	1460891684	786	1559	2345	781
