Percentage served,Time in ms
0,841.312
1,1271.843
2,1276.612
3,1287.220
4,1291.903
5,1295.650
6,1297.604
7,1299.025
8,1300.053
9,1300.704
10,1300.984
11,1301.302
12,1303.933
13,1305.493
14,1306.822
15,1307.346
16,1308.619
17,1309.586
18,1309.760
19,1312.449
20,1313.049
21,1313.537
22,1313.850
23,1314.335
24,1314.696
25,1315.460
26,1315.889
27,1316.538
28,1317.612
29,1318.651
30,1319.161
31,1320.935
32,1322.328
33,1322.963
34,1323.402
35,1324.299
36,1324.742
37,1327.043
38,1327.635
39,1328.924
40,1329.511
41,1331.520
42,1331.745
43,1332.142
44,1332.720
45,1334.441
46,1334.925
47,1335.650
48,1336.528
49,1339.840
50,1341.333
51,1341.840
52,1342.388
53,1343.627
54,1344.490
55,1345.003
56,1346.452
57,1350.033
58,1351.549
59,1364.623
60,1366.387
61,1369.523
62,1384.658
63,1392.603
64,1402.455
65,1411.641
66,1459.017
67,2558.509
68,2587.505
69,2597.258
70,2608.786
71,2612.956
72,2617.865
73,2621.781
74,2623.309
75,2626.160
76,2627.987
77,2629.992
78,2634.073
79,2635.744
80,2639.694
81,2641.979
82,2643.232
83,2647.331
84,2649.791
85,2650.840
86,2654.872
87,2658.038
88,2661.589
89,2664.016
90,2669.301
91,2674.348
92,2675.945
93,2680.895
94,2689.217
95,2694.352
96,2713.051
97,2725.251
98,2742.024
99,2777.455
100,2917.052
