starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 11:20:38 2016	1460892038	1	840	841	409
Sun Apr 17 11:19:13 2016	1460891953	425	833	1258	409
Sun Apr 17 11:19:13 2016	1460891953	2	1256	1258	832
Sun Apr 17 11:20:31 2016	1460892031	427	838	1265	424
Sun Apr 17 11:20:31 2016	1460892031	1	1264	1265	838
Sun Apr 17 11:20:27 2016	1460892027	425	847	1272	416
Sun Apr 17 11:20:27 2016	1460892027	1	1271	1272	847
Sun Apr 17 11:20:25 2016	1460892025	1	1272	1273	860
Sun Apr 17 11:20:25 2016	1460892025	413	860	1273	433
Sun Apr 17 11:20:21 2016	1460892021	1	1276	1277	848
Sun Apr 17 11:20:21 2016	1460892021	428	849	1277	434
Sun Apr 17 11:19:10 2016	1460891950	1	1283	1284	865
Sun Apr 17 11:19:10 2016	1460891950	419	865	1284	438
Sun Apr 17 11:20:22 2016	1460892022	1	1284	1286	851
Sun Apr 17 11:20:22 2016	1460892022	434	852	1286	431
Sun Apr 17 11:20:26 2016	1460892026	1	1286	1287	870
Sun Apr 17 11:20:26 2016	1460892026	417	870	1287	432
Sun Apr 17 11:18:52 2016	1460891932	437	851	1288	416
Sun Apr 17 11:18:52 2016	1460891932	1	1287	1288	850
Sun Apr 17 11:19:02 2016	1460891942	441	851	1292	423
Sun Apr 17 11:19:02 2016	1460891942	1	1291	1292	851
Sun Apr 17 11:19:00 2016	1460891940	1	1291	1292	874
Sun Apr 17 11:19:00 2016	1460891940	418	874	1292	434
Sun Apr 17 11:18:31 2016	1460891911	439	853	1293	419
Sun Apr 17 11:18:31 2016	1460891911	1	1292	1293	853
Sun Apr 17 11:20:17 2016	1460892017	437	859	1296	423
Sun Apr 17 11:20:17 2016	1460892017	2	1294	1296	858
Sun Apr 17 11:18:20 2016	1460891900	437	859	1296	424
Sun Apr 17 11:18:20 2016	1460891900	1	1295	1296	858
Sun Apr 17 11:18:24 2016	1460891904	435	863	1298	446
Sun Apr 17 11:18:24 2016	1460891904	1	1296	1298	863
Sun Apr 17 11:19:04 2016	1460891944	431	867	1299	422
Sun Apr 17 11:19:04 2016	1460891944	1	1298	1299	867
Sun Apr 17 11:20:37 2016	1460892037	422	877	1299	437
Sun Apr 17 11:20:37 2016	1460892037	1	1298	1299	877
Sun Apr 17 11:18:41 2016	1460891921	445	854	1299	420
Sun Apr 17 11:18:41 2016	1460891921	1	1298	1299	854
Sun Apr 17 11:17:52 2016	1460891872	438	862	1300	437
Sun Apr 17 11:17:56 2016	1460891876	419	881	1300	450
Sun Apr 17 11:17:52 2016	1460891872	1	1299	1300	861
Sun Apr 17 11:17:56 2016	1460891876	1	1299	1300	881
Sun Apr 17 11:18:53 2016	1460891933	435	865	1300	425
Sun Apr 17 11:18:53 2016	1460891933	1	1299	1300	865
Sun Apr 17 11:18:11 2016	1460891891	434	866	1300	427
Sun Apr 17 11:18:11 2016	1460891891	1	1300	1301	866
Sun Apr 17 11:18:49 2016	1460891929	1	1299	1301	878
Sun Apr 17 11:18:49 2016	1460891929	422	879	1301	442
Sun Apr 17 11:18:13 2016	1460891893	1	1300	1301	853
Sun Apr 17 11:18:13 2016	1460891893	447	854	1301	434
Sun Apr 17 11:17:15 2016	1460891835	424	876	1301	439
