Percentage served,Time in ms
0,434.470
1,678.457
2,679.960
3,682.095
4,684.856
5,686.820
6,687.332
7,688.614
8,689.600
9,691.037
10,692.462
11,693.663
12,694.035
13,696.363
14,697.609
15,700.761
16,701.235
17,703.765
18,708.595
19,710.901
20,712.213
21,716.604
22,719.946
23,724.964
24,727.601
25,729.487
26,730.412
27,731.816
28,733.030
29,734.419
30,734.656
31,736.137
32,737.721
33,738.517
34,738.736
35,740.061
36,740.231
37,740.570
38,741.349
39,742.326
40,743.343
41,744.758
42,746.208
43,747.532
44,748.807
45,749.587
46,749.742
47,750.731
48,751.395
49,752.595
50,753.415
51,754.273
52,755.850
53,757.291
54,758.188
55,760.730
56,761.780
57,763.100
58,763.494
59,764.387
60,766.445
61,773.531
62,779.046
63,787.070
64,808.458
65,816.683
66,929.577
67,1356.591
68,1366.614
69,1377.709
70,1380.786
71,1386.158
72,1393.418
73,1396.053
74,1401.566
75,1404.149
76,1409.949
77,1430.632
78,1460.045
79,1465.403
80,1469.762
81,1473.599
82,1476.250
83,1480.267
84,1485.237
85,1486.928
86,1488.045
87,1490.175
88,1492.919
89,1495.246
90,1497.733
91,1501.514
92,1503.481
93,1507.809
94,1511.732
95,1517.128
96,1536.478
97,1544.888
98,1565.728
99,1621.140
100,1764.459
