Percentage served,Time in ms
0,516.773
1,741.702
2,747.802
3,752.116
4,753.436
5,753.842
6,754.540
7,755.706
8,757.008
9,758.633
10,759.229
11,759.734
12,760.521
13,761.269
14,762.014
15,764.392
16,765.432
17,766.302
18,768.451
19,768.649
20,769.413
21,770.613
22,771.766
23,772.417
24,772.767
25,773.186
26,773.755
27,774.656
28,774.799
29,774.938
30,776.195
31,776.342
32,776.956
33,777.373
34,779.386
35,779.851
36,780.188
37,782.164
38,782.339
39,782.980
40,783.724
41,784.027
42,784.463
43,784.929
44,786.362
45,786.975
46,787.569
47,788.458
48,789.369
49,790.524
50,791.190
51,791.896
52,792.615
53,794.819
54,796.227
55,798.778
56,801.688
57,804.043
58,805.348
59,810.762
60,816.771
61,821.334
62,825.238
63,843.600
64,875.374
65,910.633
66,946.290
67,1509.008
68,1520.650
69,1526.763
70,1529.687
71,1534.099
72,1537.317
73,1538.932
74,1540.023
75,1543.577
76,1545.010
77,1546.346
78,1549.413
79,1550.614
80,1552.312
81,1553.723
82,1555.818
83,1556.603
84,1558.272
85,1561.512
86,1563.049
87,1566.423
88,1567.815
89,1569.645
90,1572.173
91,1575.756
92,1579.335
93,1582.497
94,1587.686
95,1597.528
96,1607.894
97,1643.256
98,1675.087
99,1726.730
100,1766.205
