starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 13:46:36 2016	1460900796	4	1404	1408	680
Sun Apr 17 13:45:59 2016	1460900759	716	1431	2147	720
Sun Apr 17 13:45:59 2016	1460900759	3	2143	2147	1431
Sun Apr 17 13:44:48 2016	1460900688	724	1450	2173	735
Sun Apr 17 13:44:48 2016	1460900688	3	2170	2173	1449
Sun Apr 17 13:46:10 2016	1460900770	3	2179	2182	1450
Sun Apr 17 13:46:10 2016	1460900770	732	1450	2182	726
Sun Apr 17 13:45:23 2016	1460900723	728	1456	2184	720
Sun Apr 17 13:45:23 2016	1460900723	4	2181	2185	1456
Sun Apr 17 13:45:17 2016	1460900717	730	1458	2188	727
Sun Apr 17 13:45:17 2016	1460900717	4	2185	2188	1458
Sun Apr 17 13:46:30 2016	1460900790	727	1462	2190	730
Sun Apr 17 13:46:30 2016	1460900790	4	2186	2190	1462
Sun Apr 17 13:45:12 2016	1460900712	3	2188	2192	1475
Sun Apr 17 13:45:12 2016	1460900712	717	1475	2192	738
Sun Apr 17 13:45:48 2016	1460900748	728	1464	2192	734
Sun Apr 17 13:45:48 2016	1460900748	3	2189	2192	1464
Sun Apr 17 13:46:34 2016	1460900794	743	1450	2192	727
Sun Apr 17 13:46:34 2016	1460900794	4	2189	2192	1450
Sun Apr 17 13:44:52 2016	1460900692	739	1459	2198	728
Sun Apr 17 13:44:52 2016	1460900692	4	2194	2198	1459
Sun Apr 17 13:45:06 2016	1460900706	1	2197	2198	1462
Sun Apr 17 13:45:06 2016	1460900706	736	1462	2198	723
Sun Apr 17 13:45:52 2016	1460900752	732	1469	2200	722
Sun Apr 17 13:45:52 2016	1460900752	4	2196	2200	1468
Sun Apr 17 13:46:23 2016	1460900783	727	1474	2201	737
Sun Apr 17 13:46:23 2016	1460900783	4	2197	2201	1474
Sun Apr 17 13:45:34 2016	1460900734	734	1469	2203	721
Sun Apr 17 13:45:34 2016	1460900734	4	2199	2203	1468
Sun Apr 17 13:46:05 2016	1460900765	4	2200	2204	1491
Sun Apr 17 13:46:05 2016	1460900765	712	1491	2204	742
Sun Apr 17 13:45:08 2016	1460900708	732	1472	2204	735
Sun Apr 17 13:45:08 2016	1460900708	3	2201	2205	1472
Sun Apr 17 13:46:28 2016	1460900788	737	1468	2205	728
Sun Apr 17 13:46:28 2016	1460900788	4	2201	2205	1468
Sun Apr 17 13:44:59 2016	1460900699	734	1472	2206	712
Sun Apr 17 13:44:59 2016	1460900699	4	2202	2206	1471
Sun Apr 17 13:45:41 2016	1460900741	733	1473	2206	740
