Percentage served,Time in ms
0,1420.275
1,2100.061
2,2103.625
3,2111.720
4,2114.516
5,2117.430
6,2120.390
7,2122.230
8,2124.134
9,2126.897
10,2134.766
11,2143.972
12,2154.744
13,2161.465
14,2167.907
15,2180.350
16,2184.304
17,2192.333
18,2212.136
19,2400.694
20,2407.056
21,2414.728
22,2419.087
23,2422.009
24,2426.376
25,2430.124
26,2434.334
27,2436.797
28,2439.320
29,2440.224
30,2441.897
31,2442.521
32,2444.915
33,2446.667
34,2448.612
35,2450.967
36,2453.125
37,2456.647
38,2458.716
39,2460.697
40,2461.619
41,2462.377
42,2463.141
43,2463.709
44,2465.058
45,2468.063
46,2471.990
47,2472.997
48,2473.466
49,2474.351
50,2476.137
51,2477.562
52,2478.245
53,2478.462
54,2481.579
55,2483.646
56,2489.361
57,2492.013
58,2495.805
59,2496.385
60,2502.507
61,2504.758
62,2506.852
63,2508.028
64,2612.847
65,2649.515
66,2735.436
67,4202.749
68,4240.696
69,4258.602
70,4268.060
71,4275.202
72,4290.258
73,4303.980
74,4312.849
75,4321.911
76,4652.448
77,4876.932
78,4881.293
79,4886.446
80,4892.545
81,4895.612
82,4902.839
83,4906.555
84,4908.451
85,4912.596
86,4917.133
87,4920.361
88,4925.233
89,4929.141
90,4935.168
91,4939.834
92,4941.495
93,4946.617
94,4956.105
95,4964.793
96,4969.761
97,5019.690
98,5106.710
99,5193.669
100,5339.849
