starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 13:50:32 2016	1460901032	1	848	849	424
Sun Apr 17 13:50:24 2016	1460901024	429	806	1234	401
Sun Apr 17 13:50:24 2016	1460901024	1	1234	1235	805
Sun Apr 17 13:49:25 2016	1460900965	408	833	1241	419
Sun Apr 17 13:49:25 2016	1460900965	1	1240	1241	832
Sun Apr 17 13:49:04 2016	1460900944	412	839	1251	432
Sun Apr 17 13:49:04 2016	1460900944	1	1250	1251	839
Sun Apr 17 13:47:10 2016	1460900830	409	846	1255	431
Sun Apr 17 13:47:10 2016	1460900830	1	1254	1255	846
Sun Apr 17 13:50:20 2016	1460901020	422	834	1255	405
Sun Apr 17 13:50:20 2016	1460901020	1	1254	1255	833
Sun Apr 17 13:47:31 2016	1460900851	406	850	1256	436
Sun Apr 17 13:47:31 2016	1460900851	1	1255	1256	850
Sun Apr 17 13:48:13 2016	1460900893	410	851	1261	442
Sun Apr 17 13:47:52 2016	1460900872	416	846	1262	428
Sun Apr 17 13:47:52 2016	1460900872	1	1260	1262	846
Sun Apr 17 13:48:13 2016	1460900893	1	1261	1262	851
Sun Apr 17 13:49:08 2016	1460900948	409	853	1262	428
Sun Apr 17 13:49:08 2016	1460900948	1	1262	1262	853
Sun Apr 17 13:48:40 2016	1460900920	432	831	1262	414
Sun Apr 17 13:48:40 2016	1460900920	1	1261	1262	830
Sun Apr 17 13:47:02 2016	1460900822	1	1261	1263	832
Sun Apr 17 13:47:02 2016	1460900822	430	833	1263	408
Sun Apr 17 13:49:11 2016	1460900951	443	822	1265	413
Sun Apr 17 13:49:11 2016	1460900951	1	1264	1265	822
Sun Apr 17 13:48:44 2016	1460900924	416	849	1266	436
Sun Apr 17 13:48:44 2016	1460900924	1	1265	1266	850
Sun Apr 17 13:48:02 2016	1460900882	415	852	1266	432
Sun Apr 17 13:48:02 2016	1460900882	1	1265	1266	851
Sun Apr 17 13:48:23 2016	1460900903	409	857	1266	439
Sun Apr 17 13:49:21 2016	1460900961	1	1265	1267	822
Sun Apr 17 13:49:21 2016	1460900961	444	823	1267	413
Sun Apr 17 13:48:23 2016	1460900903	1	1265	1267	857
Sun Apr 17 13:47:14 2016	1460900834	413	854	1267	424
Sun Apr 17 13:47:14 2016	1460900834	1	1266	1267	854
Sun Apr 17 13:50:17 2016	1460901017	418	850	1267	429
Sun Apr 17 13:46:59 2016	1460900819	410	857	1267	432
Sun Apr 17 13:46:59 2016	1460900819	1	1266	1267	857
Sun Apr 17 13:50:17 2016	1460901017	1	1266	1268	849
Sun Apr 17 13:49:31 2016	1460900971	438	829	1268	420
Sun Apr 17 13:49:31 2016	1460900971	1	1267	1268	829
Sun Apr 17 13:47:38 2016	1460900858	429	840	1268	417
Sun Apr 17 13:47:38 2016	1460900858	1	1267	1268	839
Sun Apr 17 13:50:19 2016	1460901019	1	1268	1269	853
Sun Apr 17 13:50:19 2016	1460901019	416	853	1269	428
Sun Apr 17 13:49:35 2016	1460900975	1	1269	1270	862
Sun Apr 17 13:49:35 2016	1460900975	408	862	1270	439
Sun Apr 17 13:48:33 2016	1460900913	1	1269	1270	855
Sun Apr 17 13:48:33 2016	1460900913	414	855	1270	434
Sun Apr 17 13:47:42 2016	1460900862	413	857	1270	439
Sun Apr 17 13:47:42 2016	1460900862	1	1269	1270	857
Sun Apr 17 13:48:26 2016	1460900906	430	841	1270	417
Sun Apr 17 13:48:26 2016	1460900906	1	1269	1270	840
Sun Apr 17 13:50:25 2016	1460901025	416	854	1271	430
Sun Apr 17 13:50:25 2016	1460901025	2	1269	1271	854
Sun Apr 17 13:47:59 2016	1460900879	445	827	1272	413
Sun Apr 17 13:47:59 2016	1460900879	1	1270	1272	826
Sun Apr 17 13:48:48 2016	1460900928	407	865	1273	439
Sun Apr 17 13:48:48 2016	1460900928	0	1272	1273	865
Sun Apr 17 13:49:12 2016	1460900952	427	846	1273	426
Sun Apr 17 13:49:12 2016	1460900952	1	1272	1273	846
Sun Apr 17 13:49:15 2016	1460900955	1	1274	1275	864
Sun Apr 17 13:49:15 2016	1460900955	411	864	1275	434
Sun Apr 17 13:48:37 2016	1460900917	413	862	1275	440
Sun Apr 17 13:48:37 2016	1460900917	1	1275	1276	862
Sun Apr 17 13:47:23 2016	1460900843	1	1275	1276	842
Sun Apr 17 13:49:17 2016	1460900957	427	849	1276	419
Sun Apr 17 13:47:23 2016	1460900843	434	842	1276	410
Sun Apr 17 13:49:17 2016	1460900957	1	1275	1276	849
Sun Apr 17 13:48:52 2016	1460900932	1	1275	1276	853
Sun Apr 17 13:48:52 2016	1460900932	423	853	1276	426
Sun Apr 17 13:48:30 2016	1460900910	1	1276	1277	828
Sun Apr 17 13:48:27 2016	1460900907	421	856	1277	426
Sun Apr 17 13:48:30 2016	1460900910	448	829	1277	411
Sun Apr 17 13:48:27 2016	1460900907	1	1276	1277	856
Sun Apr 17 13:47:55 2016	1460900875	1	1276	1277	852
Sun Apr 17 13:47:55 2016	1460900875	425	853	1277	417
Sun Apr 17 13:50:07 2016	1460901007	420	858	1277	432
Sun Apr 17 13:50:07 2016	1460901007	1	1276	1277	857
Sun Apr 17 13:48:06 2016	1460900886	414	864	1278	431
Sun Apr 17 13:47:48 2016	1460900868	1	1277	1278	834
Sun Apr 17 13:48:06 2016	1460900886	1	1277	1278	864
Sun Apr 17 13:47:48 2016	1460900868	444	834	1278	416
Sun Apr 17 13:49:07 2016	1460900947	427	852	1279	424
Sun Apr 17 13:49:07 2016	1460900947	1	1278	1279	852
Sun Apr 17 13:47:50 2016	1460900870	427	852	1279	427
Sun Apr 17 13:47:50 2016	1460900870	1	1278	1279	852
Sun Apr 17 13:46:58 2016	1460900818	430	850	1279	423
Sun Apr 17 13:48:20 2016	1460900900	427	852	1279	427
Sun Apr 17 13:46:58 2016	1460900818	1	1278	1279	849
Sun Apr 17 13:50:22 2016	1460901022	425	854	1279	431
Sun Apr 17 13:50:22 2016	1460901022	1	1279	1279	854
Sun Apr 17 13:48:20 2016	1460900900	1	1279	1279	852
Sun Apr 17 13:48:57 2016	1460900937	2	1278	1280	850
Sun Apr 17 13:48:57 2016	1460900937	429	850	1280	416
Sun Apr 17 13:49:29 2016	1460900969	425	855	1280	422
Sun Apr 17 13:49:29 2016	1460900969	1	1279	1280	855
Sun Apr 17 13:48:19 2016	1460900899	451	829	1280	412
Sun Apr 17 13:48:19 2016	1460900899	1	1279	1281	829
Sun Apr 17 13:49:46 2016	1460900986	423	858	1281	435
Sun Apr 17 13:49:46 2016	1460900986	1	1280	1281	858
Sun Apr 17 13:47:44 2016	1460900864	429	852	1281	419
Sun Apr 17 13:47:44 2016	1460900864	1	1280	1281	851
Sun Apr 17 13:48:50 2016	1460900930	450	831	1281	414
Sun Apr 17 13:48:50 2016	1460900930	1	1280	1281	831
Sun Apr 17 13:47:25 2016	1460900845	1	1281	1283	871
Sun Apr 17 13:47:25 2016	1460900845	411	872	1283	434
Sun Apr 17 13:49:56 2016	1460900996	424	859	1283	433
Sun Apr 17 13:47:03 2016	1460900823	1	1282	1283	870
Sun Apr 17 13:49:56 2016	1460900996	1	1282	1283	859
Sun Apr 17 13:47:03 2016	1460900823	413	871	1283	439
Sun Apr 17 13:47:34 2016	1460900854	442	841	1284	410
Sun Apr 17 13:47:34 2016	1460900854	1	1282	1284	841
Sun Apr 17 13:48:59 2016	1460900939	423	861	1284	421
Sun Apr 17 13:48:59 2016	1460900939	1	1283	1284	860
Sun Apr 17 13:48:10 2016	1460900890	429	855	1284	425
Sun Apr 17 13:48:10 2016	1460900890	1	1283	1284	854
Sun Apr 17 13:49:01 2016	1460900941	450	834	1284	415
Sun Apr 17 13:48:15 2016	1460900895	434	851	1285	418
Sun Apr 17 13:49:01 2016	1460900941	1	1283	1285	834
Sun Apr 17 13:48:15 2016	1460900895	1	1283	1285	851
Sun Apr 17 13:48:41 2016	1460900921	427	858	1285	433
Sun Apr 17 13:48:41 2016	1460900921	1	1284	1285	858
