starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 21 17:27:08 2016	1461259628	0	954	954	945
Thu Apr 21 17:26:51 2016	1461259611	0	968	968	960
Thu Apr 21 17:27:07 2016	1461259627	0	969	970	959
Thu Apr 21 17:26:57 2016	1461259617	0	975	976	964
Thu Apr 21 17:26:06 2016	1461259566	0	978	978	965
Thu Apr 21 17:26:53 2016	1461259613	0	989	990	979
Thu Apr 21 17:26:52 2016	1461259612	0	998	999	992
Thu Apr 21 17:26:42 2016	1461259602	0	999	999	989
Thu Apr 21 17:26:51 2016	1461259611	0	999	1000	990
Thu Apr 21 17:26:11 2016	1461259571	0	999	1000	987
Thu Apr 21 17:26:53 2016	1461259613	0	1004	1004	999
Thu Apr 21 17:26:42 2016	1461259602	0	1006	1007	998
Thu Apr 21 17:26:53 2016	1461259613	0	1009	1009	998
Thu Apr 21 17:26:51 2016	1461259611	0	1009	1010	1000
Thu Apr 21 17:26:08 2016	1461259568	0	1014	1014	1006
Thu Apr 21 17:26:10 2016	1461259570	0	1016	1016	1005
Thu Apr 21 17:26:50 2016	1461259610	0	1016	1016	1011
Thu Apr 21 17:26:06 2016	1461259566	0	1018	1019	1011
Thu Apr 21 17:26:15 2016	1461259575	0	1021	1022	1011
Thu Apr 21 17:26:57 2016	1461259617	0	1022	1023	1016
Thu Apr 21 17:26:23 2016	1461259583	0	1023	1024	1018
Thu Apr 21 17:27:15 2016	1461259635	0	1024	1024	1018
Thu Apr 21 17:26:30 2016	1461259590	0	1024	1024	1013
Thu Apr 21 17:26:57 2016	1461259617	0	1027	1027	1022
Thu Apr 21 17:26:58 2016	1461259618	0	1029	1029	1021
Thu Apr 21 17:26:51 2016	1461259611	0	1031	1031	1020
Thu Apr 21 17:26:09 2016	1461259569	1	1031	1032	1017
Thu Apr 21 17:26:57 2016	1461259617	0	1036	1036	1028
Thu Apr 21 17:26:59 2016	1461259619	0	1037	1037	1027
Thu Apr 21 17:26:05 2016	1461259565	0	1040	1041	1035
Thu Apr 21 17:26:50 2016	1461259610	0	1040	1041	1031
Thu Apr 21 17:26:52 2016	1461259612	0	1041	1041	985
Thu Apr 21 17:26:56 2016	1461259616	0	1042	1043	1030
Thu Apr 21 17:26:47 2016	1461259607	0	1044	1044	1031
Thu Apr 21 17:26:50 2016	1461259610	0	1044	1045	1034
Thu Apr 21 17:26:52 2016	1461259612	0	1045	1046	1040
Thu Apr 21 17:27:16 2016	1461259636	0	1047	1047	1041
Thu Apr 21 17:26:29 2016	1461259589	0	1049	1049	1042
Thu Apr 21 17:26:10 2016	1461259570	0	1050	1051	1041
Thu Apr 21 17:26:44 2016	1461259604	0	1051	1051	1042
Thu Apr 21 17:26:07 2016	1461259567	0	1051	1052	1044
Thu Apr 21 17:26:58 2016	1461259618	0	1051	1052	1043
Thu Apr 21 17:27:15 2016	1461259635	0	1052	1053	1042
Thu Apr 21 17:27:16 2016	1461259636	0	1053	1053	1048
Thu Apr 21 17:26:41 2016	1461259601	0	1054	1054	1046
Thu Apr 21 17:27:15 2016	1461259635	0	1055	1055	1040
Thu Apr 21 17:26:49 2016	1461259609	0	1055	1056	1050
Thu Apr 21 17:26:19 2016	1461259579	0	1055	1056	1047
Thu Apr 21 17:26:49 2016	1461259609	0	1056	1057	1049
