Percentage served,Time in ms
0,1768.030
1,2188.354
2,2542.855
3,3865.999
4,4518.002
5,5234.422
6,7484.670
7,9894.694
8,11305.454
9,11862.394
10,11917.599
11,11950.136
12,12056.483
13,12209.114
14,12231.162
15,12296.534
16,12401.702
17,12508.560
18,12537.271
19,12567.539
20,12585.243
21,12659.306
22,12699.588
23,12825.363
24,12873.979
25,12935.124
26,12971.619
27,13067.367
28,13102.011
29,13109.773
30,13118.470
31,13162.905
32,13183.027
33,13279.750
34,13291.480
35,13324.243
36,13344.225
37,13366.647
38,13381.591
39,13423.520
40,13488.872
41,13494.018
42,13538.497
43,13623.686
44,13643.395
45,13705.279
46,13718.040
47,13748.724
48,13836.115
49,13892.787
50,13910.130
51,14015.115
52,14024.933
53,14106.696
54,14213.271
55,14245.422
56,14274.654
57,14343.895
58,14367.522
59,14509.443
60,14567.174
61,14633.252
62,14647.169
63,14677.911
64,14714.094
65,14770.091
66,14827.554
67,14930.959
68,14984.613
69,15000.266
70,15055.588
71,15156.552
72,15187.649
73,15243.724
74,15259.895
75,15310.571
76,15342.280
77,15404.002
78,15482.831
79,15565.042
80,15623.703
81,15687.205
82,15741.819
83,15839.073
84,15915.835
85,16081.148
86,16114.312
87,16205.905
88,16256.217
89,16370.713
90,16448.222
91,16552.116
92,16576.920
93,16626.258
94,16647.674
95,16816.165
96,16906.115
97,17373.339
98,17576.847
99,17950.269
100,21496.187
