starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 21 17:05:42 2016	1461258342	0	1768	1768	1762
Thu Apr 21 17:03:33 2016	1461258213	0	1780	1780	1773
Thu Apr 21 17:03:33 2016	1461258213	0	1805	1805	1797
Thu Apr 21 17:06:16 2016	1461258376	0	2188	2188	2180
Thu Apr 21 17:03:33 2016	1461258213	0	2374	2374	2364
Thu Apr 21 17:03:31 2016	1461258211	0	2543	2543	2538
Thu Apr 21 17:05:59 2016	1461258359	0	2672	2672	2662
Thu Apr 21 17:03:04 2016	1461258184	0	3382	3382	3375
Thu Apr 21 17:02:25 2016	1461258145	0	3866	3866	3850
Thu Apr 21 16:59:57 2016	1461257997	0	4454	4454	4445
Thu Apr 21 16:54:20 2016	1461257660	0	4518	4518	4508
Thu Apr 21 17:02:56 2016	1461258176	0	4990	4990	4982
Thu Apr 21 17:00:47 2016	1461258047	0	5197	5197	5187
Thu Apr 21 17:05:57 2016	1461258357	0	5234	5234	5225
Thu Apr 21 17:06:02 2016	1461258362	0	5846	5847	5840
Thu Apr 21 17:03:25 2016	1461258205	0	7484	7485	7477
Thu Apr 21 16:57:13 2016	1461257833	0	8330	8330	8322
Thu Apr 21 17:05:23 2016	1461258323	0	8932	8932	8925
Thu Apr 21 17:00:53 2016	1461258053	0	9894	9895	9887
Thu Apr 21 16:55:32 2016	1461257732	0	10045	10046	10040
Thu Apr 21 17:05:32 2016	1461258332	0	11305	11305	11294
Thu Apr 21 16:52:57 2016	1461257577	0	11751	11751	11745
Thu Apr 21 16:56:17 2016	1461257777	0	11857	11858	11851
Thu Apr 21 16:56:23 2016	1461257783	0	11862	11862	11854
Thu Apr 21 16:56:11 2016	1461257771	0	11871	11872	11863
Thu Apr 21 16:59:09 2016	1461257949	0	11917	11918	11912
Thu Apr 21 16:55:22 2016	1461257722	0	11919	11919	11909
Thu Apr 21 16:58:04 2016	1461257884	0	11944	11944	11935
Thu Apr 21 16:59:11 2016	1461257951	0	11950	11950	11942
Thu Apr 21 16:58:20 2016	1461257900	0	11972	11972	11964
Thu Apr 21 16:58:03 2016	1461257883	0	12056	12056	12051
Thu Apr 21 17:03:38 2016	1461258218	0	12072	12072	12065
Thu Apr 21 16:52:43 2016	1461257563	0	12119	12120	12107
Thu Apr 21 16:58:21 2016	1461257901	0	12209	12209	12200
Thu Apr 21 16:54:25 2016	1461257665	0	12228	12229	12222
Thu Apr 21 16:58:46 2016	1461257926	0	12231	12231	12225
Thu Apr 21 16:57:36 2016	1461257856	0	12281	12282	12274
Thu Apr 21 17:00:13 2016	1461258013	0	12288	12288	12279
Thu Apr 21 16:54:27 2016	1461257667	0	12296	12297	12291
Thu Apr 21 17:03:35 2016	1461258215	0	12399	12399	12392
Thu Apr 21 16:53:14 2016	1461257594	0	12401	12402	12386
Thu Apr 21 16:55:27 2016	1461257727	0	12444	12445	12437
Thu Apr 21 17:00:34 2016	1461258034	0	12478	12478	12471
Thu Apr 21 16:58:41 2016	1461257921	0	12508	12509	12498
Thu Apr 21 17:03:35 2016	1461258215	0	12522	12522	12516
Thu Apr 21 16:54:33 2016	1461257673	0	12537	12537	12529
Thu Apr 21 16:53:27 2016	1461257607	0	12547	12548	12542
Thu Apr 21 16:58:15 2016	1461257895	0	12556	12557	12550
Thu Apr 21 16:56:35 2016	1461257795	0	12567	12568	12557
Thu Apr 21 16:58:16 2016	1461257896	0	12582	12582	12576
Thu Apr 21 16:59:14 2016	1461257954	0	12585	12585	12575
Thu Apr 21 17:04:15 2016	1461258255	0	12602	12602	12596
Thu Apr 21 16:54:45 2016	1461257685	0	12651	12652	12644
Thu Apr 21 17:00:26 2016	1461258026	0	12659	12659	12651
Thu Apr 21 16:58:47 2016	1461257927	0	12695	12695	12689
Thu Apr 21 16:53:14 2016	1461257594	0	12699	12700	12690
Thu Apr 21 17:02:35 2016	1461258155	0	12717	12717	12708
Thu Apr 21 17:01:27 2016	1461258087	0	12718	12719	12712
Thu Apr 21 16:56:04 2016	1461257764	0	12825	12825	12815
Thu Apr 21 17:02:41 2016	1461258161	0	12853	12854	12843
Thu Apr 21 16:53:35 2016	1461257615	0	12874	12874	12864
Thu Apr 21 16:59:15 2016	1461257955	0	12881	12881	12871
