Percentage served,Time in ms
0,2080.783
1,3377.647
2,3415.767
3,3534.317
4,3570.694
5,3648.943
6,3650.934
7,3710.310
8,3716.110
9,3766.432
10,3776.201
11,3786.226
12,3823.717
13,3832.523
14,3836.482
15,3862.610
16,3876.178
17,3898.377
18,3919.497
19,3947.007
20,3965.928
21,3980.472
22,3982.910
23,4000.022
24,4006.761
25,4030.581
26,4043.285
27,4062.827
28,4066.885
29,4089.447
30,4116.471
31,4141.697
32,4168.849
33,4183.205
34,4195.294
35,4212.407
36,4217.797
37,4238.876
38,4248.441
39,4250.200
40,4264.019
41,4277.032
42,4290.276
43,4303.994
44,4311.264
45,4323.081
46,4333.452
47,4354.132
48,4359.494
49,4368.785
50,4375.829
51,4384.745
52,4410.585
53,4431.162
54,4441.871
55,4468.240
56,4486.944
57,4510.604
58,4519.607
59,4547.134
60,4548.377
61,4579.707
62,4595.636
63,4621.325
64,4644.709
65,4657.049
66,4669.495
67,4708.401
68,4741.111
69,4778.912
70,4804.035
71,4837.093
72,4855.426
73,4947.930
74,4962.684
75,5000.973
76,5023.986
77,5056.921
78,5082.680
79,5100.281
80,5106.997
81,5120.964
82,5124.876
83,5165.014
84,5181.165
85,5214.166
86,5226.910
87,5296.813
88,5342.806
89,5481.370
90,5541.531
91,5620.125
92,5650.941
93,5687.067
94,5904.364
95,5984.978
96,6033.969
97,6250.043
98,6340.444
99,7069.912
100,7076.014
