starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 01:36:32 2016	1461116192	1	3538	3539	3525
Wed Apr 20 01:36:40 2016	1461116200	0	3621	3621	3611
Wed Apr 20 01:37:19 2016	1461116239	0	3696	3697	3690
Wed Apr 20 01:36:48 2016	1461116208	0	3707	3708	3699
Wed Apr 20 01:36:37 2016	1461116197	0	3754	3755	3747
Wed Apr 20 01:36:49 2016	1461116209	0	3780	3780	3763
Wed Apr 20 01:36:52 2016	1461116212	0	3840	3840	3829
Wed Apr 20 01:37:06 2016	1461116226	0	3877	3877	3871
Wed Apr 20 01:36:53 2016	1461116213	0	3880	3880	3872
Wed Apr 20 01:36:40 2016	1461116200	0	3908	3909	3899
Wed Apr 20 01:37:12 2016	1461116232	0	3926	3926	3918
Wed Apr 20 01:36:52 2016	1461116212	0	3938	3939	3930
Wed Apr 20 01:37:10 2016	1461116230	0	3964	3965	3956
Wed Apr 20 01:37:10 2016	1461116230	0	3979	3980	3974
Wed Apr 20 01:37:11 2016	1461116231	0	3990	3991	3982
Wed Apr 20 01:37:16 2016	1461116236	0	3998	3999	3990
Wed Apr 20 01:36:41 2016	1461116201	0	4008	4009	4002
Wed Apr 20 01:36:31 2016	1461116191	0	4062	4063	4053
Wed Apr 20 01:37:07 2016	1461116227	0	4085	4086	4078
Wed Apr 20 01:37:19 2016	1461116239	0	4126	4126	4117
Wed Apr 20 01:36:48 2016	1461116208	0	4126	4127	4120
Wed Apr 20 01:37:06 2016	1461116226	0	4135	4135	4127
Wed Apr 20 01:37:20 2016	1461116240	0	4180	4180	4171
Wed Apr 20 01:36:40 2016	1461116200	0	4235	4235	4225
Wed Apr 20 01:36:30 2016	1461116190	0	4252	4253	4246
Wed Apr 20 01:36:44 2016	1461116204	0	4323	4323	4311
Wed Apr 20 01:36:44 2016	1461116204	0	4330	4331	4323
Wed Apr 20 01:37:07 2016	1461116227	0	4423	4423	4417
Wed Apr 20 01:36:25 2016	1461116185	13	4424	4437	4406
Wed Apr 20 01:36:44 2016	1461116204	0	4532	4532	4525
Wed Apr 20 01:36:45 2016	1461116205	0	4551	4552	4547
Wed Apr 20 01:37:02 2016	1461116222	0	4653	4653	4648
Wed Apr 20 01:37:15 2016	1461116235	0	4713	4713	4704
Wed Apr 20 01:37:14 2016	1461116234	0	4717	4717	4707
Wed Apr 20 01:36:36 2016	1461116196	0	4804	4804	4797
Wed Apr 20 01:37:02 2016	1461116222	0	4827	4828	4819
Wed Apr 20 01:36:54 2016	1461116214	0	4943	4943	4936
Wed Apr 20 01:37:03 2016	1461116223	0	4944	4944	4936
Wed Apr 20 01:36:49 2016	1461116209	0	5058	5058	5047
Wed Apr 20 01:36:25 2016	1461116185	62	5114	5175	5086
Wed Apr 20 01:37:14 2016	1461116234	0	5200	5200	5192
Wed Apr 20 01:36:35 2016	1461116195	0	5372	5372	5365
Wed Apr 20 01:36:57 2016	1461116217	0	5480	5480	5472
Wed Apr 20 01:36:25 2016	1461116185	1	5553	5554	5541
Wed Apr 20 01:36:34 2016	1461116194	0	5579	5579	5569
Wed Apr 20 01:36:31 2016	1461116191	0	5766	5766	5756
Wed Apr 20 01:36:56 2016	1461116216	0	6097	6097	6091
Wed Apr 20 01:36:56 2016	1461116216	0	6279	6279	6271
Wed Apr 20 01:36:25 2016	1461116185	31	6462	6493	6432
Wed Apr 20 01:36:59 2016	1461116219	0	6757	6758	6750
