starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 01:49:57 2016	1461116997	0	963	963	957
Wed Apr 20 01:49:58 2016	1461116998	0	966	966	958
Wed Apr 20 01:50:09 2016	1461117009	0	972	972	961
Wed Apr 20 01:50:09 2016	1461117009	0	989	990	983
Wed Apr 20 01:50:08 2016	1461117008	0	996	996	989
Wed Apr 20 01:50:09 2016	1461117009	0	1012	1013	1002
Wed Apr 20 01:50:08 2016	1461117008	0	1013	1014	957
Wed Apr 20 01:50:08 2016	1461117008	0	1027	1028	1021
Wed Apr 20 01:50:09 2016	1461117009	0	1036	1037	1031
Wed Apr 20 01:50:08 2016	1461117008	0	1043	1043	1034
Wed Apr 20 01:50:05 2016	1461117005	0	1050	1050	1045
Wed Apr 20 01:50:03 2016	1461117003	0	1055	1055	1044
Wed Apr 20 01:50:07 2016	1461117007	0	1069	1070	1061
Wed Apr 20 01:50:07 2016	1461117007	0	1073	1073	1067
Wed Apr 20 01:50:07 2016	1461117007	0	1082	1082	1074
Wed Apr 20 01:50:06 2016	1461117006	0	1085	1086	1079
Wed Apr 20 01:49:56 2016	1461116996	0	1086	1086	1075
Wed Apr 20 01:49:57 2016	1461116997	0	1099	1099	1090
Wed Apr 20 01:50:04 2016	1461117004	0	1100	1101	1095
Wed Apr 20 01:49:57 2016	1461116997	0	1107	1107	1076
Wed Apr 20 01:49:58 2016	1461116998	0	1113	1113	1107
Wed Apr 20 01:49:59 2016	1461116999	0	1116	1117	1111
Wed Apr 20 01:50:03 2016	1461117003	0	1117	1117	1113
Wed Apr 20 01:49:56 2016	1461116996	0	1134	1134	1119
Wed Apr 20 01:49:55 2016	1461116995	0	1150	1151	1141
Wed Apr 20 01:49:55 2016	1461116995	0	1167	1168	1158
Wed Apr 20 01:49:58 2016	1461116998	0	1204	1204	1193
Wed Apr 20 01:49:56 2016	1461116996	0	1207	1207	1197
Wed Apr 20 01:49:58 2016	1461116998	0	1262	1262	1251
Wed Apr 20 01:49:55 2016	1461116995	0	1267	1268	1256
Wed Apr 20 01:50:05 2016	1461117005	0	1276	1276	1269
Wed Apr 20 01:49:59 2016	1461116999	0	1284	1284	1276
Wed Apr 20 01:50:05 2016	1461117005	0	1299	1299	1289
Wed Apr 20 01:50:06 2016	1461117006	0	1303	1303	1294
Wed Apr 20 01:50:06 2016	1461117006	0	1312	1312	1307
Wed Apr 20 01:50:04 2016	1461117004	0	1345	1345	1335
Wed Apr 20 01:50:01 2016	1461117001	0	1387	1387	1377
Wed Apr 20 01:50:02 2016	1461117002	0	1440	1441	1433
Wed Apr 20 01:50:04 2016	1461117004	0	1502	1503	1493
Wed Apr 20 01:50:02 2016	1461117002	0	1512	1512	1502
Wed Apr 20 01:50:02 2016	1461117002	0	1516	1517	1507
Wed Apr 20 01:50:00 2016	1461117000	0	1685	1685	1677
Wed Apr 20 01:50:03 2016	1461117003	0	1835	1836	1825
Wed Apr 20 01:49:53 2016	1461116993	59	1971	2030	1955
Wed Apr 20 01:50:00 2016	1461117000	0	2188	2188	2180
Wed Apr 20 01:49:59 2016	1461116999	0	2195	2196	2188
Wed Apr 20 01:49:53 2016	1461116993	1	2195	2196	2188
Wed Apr 20 01:49:59 2016	1461116999	0	2199	2199	2194
Wed Apr 20 01:49:53 2016	1461116993	29	2331	2359	2300
Wed Apr 20 01:49:53 2016	1461116993	8	2564	2572	2543
