Percentage served,Time in ms
0,1793.268
1,2654.130
2,3334.584
3,5000.129
4,6462.493
5,8906.564
6,10174.007
7,10954.363
8,11541.632
9,12082.185
10,12200.087
11,12278.903
12,12295.954
13,12371.017
14,12428.951
15,12545.816
16,12547.927
17,12652.774
18,12718.327
19,12789.285
20,12830.251
21,12848.860
22,12866.559
23,12912.115
24,12926.002
25,12947.147
26,12959.000
27,12992.623
28,13034.020
29,13070.453
30,13104.239
31,13170.787
32,13209.981
33,13245.964
34,13250.622
35,13298.899
36,13352.633
37,13395.871
38,13404.216
39,13449.263
40,13460.459
41,13493.322
42,13506.456
43,13581.030
44,13598.463
45,13638.774
46,13660.080
47,13723.487
48,13731.275
49,13807.461
50,13878.452
51,13903.113
52,13930.464
53,13951.601
54,13961.554
55,14015.999
56,14055.849
57,14113.251
58,14168.756
59,14209.363
60,14236.604
61,14239.843
62,14261.737
63,14313.768
64,14382.355
65,14446.020
66,14462.670
67,14487.996
68,14530.037
69,14543.153
70,14576.613
71,14651.444
72,14703.817
73,14793.277
74,14851.955
75,14959.836
76,15001.331
77,15081.664
78,15150.464
79,15198.200
80,15238.935
81,15308.943
82,15327.819
83,15375.440
84,15395.990
85,15522.961
86,15697.846
87,15799.981
88,15848.273
89,15895.532
90,15917.113
91,16279.181
92,16394.305
93,16547.474
94,16624.943
95,16750.539
96,16775.068
97,17732.323
98,18043.555
99,19233.423
100,21014.645
