starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 21 18:25:18 2016	1461263118	0	1793	1793	1782
Thu Apr 21 18:20:14 2016	1461262814	0	1948	1949	1940
Thu Apr 21 18:28:58 2016	1461263338	0	2319	2319	2312
Thu Apr 21 18:26:50 2016	1461263210	0	2654	2654	2649
Thu Apr 21 18:21:28 2016	1461262888	0	2673	2673	2667
Thu Apr 21 18:18:02 2016	1461262682	0	3334	3335	3328
Thu Apr 21 18:16:51 2016	1461262611	0	3606	3607	3598
Thu Apr 21 18:20:57 2016	1461262857	0	4475	4476	4467
Thu Apr 21 18:16:05 2016	1461262565	0	5000	5000	4990
Thu Apr 21 18:19:55 2016	1461262795	0	5988	5989	5982
Thu Apr 21 18:23:13 2016	1461262993	0	6462	6462	6457
Thu Apr 21 18:24:01 2016	1461263041	0	6702	6703	6696
Thu Apr 21 18:26:12 2016	1461263172	0	7508	7509	7504
Thu Apr 21 18:22:53 2016	1461262973	0	8906	8907	8900
Thu Apr 21 18:17:55 2016	1461262675	0	9977	9978	9969
Thu Apr 21 18:18:05 2016	1461262685	0	10174	10174	10167
Thu Apr 21 18:16:54 2016	1461262614	1	10174	10175	10168
Thu Apr 21 18:25:10 2016	1461263110	0	10242	10242	10234
Thu Apr 21 18:22:50 2016	1461262970	0	10954	10954	10948
Thu Apr 21 18:23:02 2016	1461262982	0	11022	11022	11014
Thu Apr 21 18:24:22 2016	1461263062	0	11541	11542	11533
Thu Apr 21 18:26:42 2016	1461263202	0	11855	11855	11849
Thu Apr 21 18:28:16 2016	1461263296	0	11925	11926	11918
Thu Apr 21 18:22:27 2016	1461262947	0	12082	12082	12071
Thu Apr 21 18:28:03 2016	1461263283	0	12150	12151	12143
Thu Apr 21 18:27:16 2016	1461263236	0	12200	12200	12191
Thu Apr 21 18:26:02 2016	1461263162	0	12271	12271	12262
Thu Apr 21 18:18:42 2016	1461262722	0	12273	12273	12263
Thu Apr 21 18:27:22 2016	1461263242	0	12279	12279	12271
Thu Apr 21 18:22:27 2016	1461262947	0	12293	12293	12284
Thu Apr 21 18:28:11 2016	1461263291	0	12296	12296	12285
Thu Apr 21 18:20:35 2016	1461262835	0	12306	12307	12297
Thu Apr 21 18:17:13 2016	1461262633	0	12333	12333	12325
Thu Apr 21 18:18:16 2016	1461262696	0	12371	12371	12366
Thu Apr 21 18:20:32 2016	1461262832	0	12401	12401	12393
Thu Apr 21 18:26:15 2016	1461263175	0	12429	12429	12421
Thu Apr 21 18:20:34 2016	1461262834	0	12470	12470	12461
Thu Apr 21 18:18:35 2016	1461262715	0	12541	12541	12533
Thu Apr 21 18:24:08 2016	1461263048	0	12545	12546	12539
Thu Apr 21 18:17:13 2016	1461262633	0	12547	12547	12537
Thu Apr 21 18:22:38 2016	1461262958	0	12548	12548	12542
Thu Apr 21 18:22:40 2016	1461262960	0	12566	12566	12558
Thu Apr 21 18:27:22 2016	1461263242	0	12639	12640	12630
Thu Apr 21 18:17:04 2016	1461262624	0	12652	12653	12646
Thu Apr 21 18:27:09 2016	1461263229	0	12662	12662	12654
Thu Apr 21 18:24:28 2016	1461263068	0	12718	12718	12711
Thu Apr 21 18:18:37 2016	1461262717	0	12741	12742	12731
Thu Apr 21 18:28:29 2016	1461263309	0	12745	12746	12735
Thu Apr 21 18:22:14 2016	1461262934	0	12789	12789	12783
Thu Apr 21 18:28:04 2016	1461263284	0	12817	12817	12809
Thu Apr 21 18:22:39 2016	1461262959	0	12830	12830	12822
Thu Apr 21 18:23:46 2016	1461263026	0	12832	12832	12827
Thu Apr 21 18:21:46 2016	1461262906	2	12836	12839	12826
Thu Apr 21 18:20:31 2016	1461262831	0	12848	12849	12843
Thu Apr 21 18:24:27 2016	1461263067	0	12853	12854	12847
