Percentage served,Time in ms
0,1005.295
1,1019.954
2,1040.769
3,1060.962
4,1070.424
5,1100.053
6,1126.234
7,1138.013
8,1151.078
9,1166.067
10,1216.481
11,1228.472
12,1238.279
13,1271.047
14,1276.562
15,1304.388
16,1322.651
17,2030.397
18,3339.735
19,3675.256
20,3749.257
21,3776.770
22,3809.445
23,3827.148
24,3834.772
25,3839.553
26,3851.467
27,3856.518
28,3882.850
29,3896.779
30,3926.313
31,3955.933
32,3965.770
33,3972.676
34,4002.523
35,4008.862
36,4013.348
37,4039.141
38,4058.127
39,4076.111
40,4082.801
41,4087.549
42,4109.443
43,4136.485
44,4152.685
45,4169.723
46,4197.681
47,4210.475
48,4247.931
49,4258.126
50,4268.701
51,4286.411
52,4292.394
53,4328.153
54,4332.618
55,4369.616
56,4378.919
57,4403.473
58,4409.477
59,4419.769
60,4430.207
61,4450.348
62,4460.795
63,4482.021
64,4500.883
65,4517.015
66,4520.556
67,4530.851
68,4555.839
69,4578.188
70,4585.992
71,4607.982
72,4618.518
73,4639.204
74,4669.656
75,4705.464
76,4733.140
77,4781.831
78,4841.149
79,4879.964
80,4923.335
81,5037.171
82,5054.253
83,5082.199
84,5119.103
85,5152.984
86,5175.921
87,5278.988
88,5388.979
89,5422.967
90,5456.204
91,5518.205
92,5538.299
93,5673.009
94,5748.982
95,5947.121
96,5992.910
97,6045.167
98,6478.896
99,6627.556
100,6970.490
