starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 21 18:53:57 2016	1461264837	0	1005	1005	995
Thu Apr 21 18:53:49 2016	1461264829	0	1006	1006	997
Thu Apr 21 18:53:45 2016	1461264825	0	1014	1014	1006
Thu Apr 21 18:53:50 2016	1461264830	0	1020	1020	1014
Thu Apr 21 18:53:49 2016	1461264829	0	1021	1021	1015
Thu Apr 21 18:53:54 2016	1461264834	0	1040	1041	1032
Thu Apr 21 18:53:47 2016	1461264827	0	1047	1048	1040
Thu Apr 21 18:53:48 2016	1461264828	0	1050	1050	1040
Thu Apr 21 18:53:56 2016	1461264836	0	1061	1061	1054
Thu Apr 21 18:53:52 2016	1461264832	0	1068	1068	1060
Thu Apr 21 18:53:57 2016	1461264837	0	1070	1070	1064
Thu Apr 21 18:53:58 2016	1461264838	0	1071	1071	1064
Thu Apr 21 18:53:51 2016	1461264831	0	1071	1071	1061
Thu Apr 21 18:53:56 2016	1461264836	0	1100	1100	1091
Thu Apr 21 18:53:48 2016	1461264828	1	1109	1109	1102
Thu Apr 21 18:53:51 2016	1461264831	0	1126	1126	1116
Thu Apr 21 18:53:53 2016	1461264833	0	1128	1128	1122
Thu Apr 21 18:53:47 2016	1461264827	0	1135	1135	1126
Thu Apr 21 18:53:52 2016	1461264832	0	1138	1138	1130
Thu Apr 21 18:53:55 2016	1461264835	0	1141	1141	1132
Thu Apr 21 18:53:55 2016	1461264835	0	1151	1151	1137
Thu Apr 21 18:53:45 2016	1461264825	0	1153	1153	1148
Thu Apr 21 18:53:54 2016	1461264834	0	1163	1164	1156
Thu Apr 21 18:53:52 2016	1461264832	0	1166	1166	1160
Thu Apr 21 18:53:45 2016	1461264825	0	1203	1204	1198
Thu Apr 21 18:53:52 2016	1461264832	0	1216	1216	1206
Thu Apr 21 18:53:56 2016	1461264836	0	1224	1224	1211
Thu Apr 21 18:53:45 2016	1461264825	0	1225	1226	1213
Thu Apr 21 18:53:51 2016	1461264831	0	1228	1228	1216
Thu Apr 21 18:53:48 2016	1461264828	0	1229	1229	1220
Thu Apr 21 18:53:53 2016	1461264833	0	1238	1238	1223
