Percentage served,Time in ms
0,1213.123
1,1213.612
2,1213.612
3,1228.311
4,1228.311
5,1229.458
6,1229.458
7,1229.958
8,1229.958
9,1236.975
10,1236.975
11,1237.795
12,1237.795
13,1240.757
14,1240.757
15,1245.775
16,1245.775
17,1247.518
18,1247.518
19,1254.873
20,1254.873
21,1255.100
22,1255.100
23,1264.835
24,1264.835
25,1267.284
26,1267.284
27,1295.334
28,1295.334
29,1296.171
30,1296.171
31,1297.342
32,1297.342
33,1347.521
34,1347.521
35,1357.677
36,1357.677
37,1369.178
38,1369.178
39,1386.222
40,1386.222
41,1391.953
42,1391.953
43,1397.645
44,1397.645
45,1407.367
46,1407.367
47,1408.519
48,1408.519
49,1409.355
50,1409.355
51,1411.717
52,1411.717
53,1420.195
54,1420.195
55,1425.578
56,1425.578
57,1436.535
58,1436.535
59,1439.204
60,1439.204
61,1451.089
62,1451.089
63,1472.094
64,1472.094
65,1482.883
66,1482.883
67,1499.435
68,1499.435
69,1540.254
70,1540.254
71,1541.436
72,1541.436
73,1554.857
74,1554.857
75,1648.511
76,1648.511
77,1656.170
78,1656.170
79,1662.342
80,1662.342
81,1827.224
82,1827.224
83,2010.114
84,2010.114
85,2280.897
86,2280.897
87,2495.670
88,2495.670
89,2521.427
90,2521.427
91,2594.821
92,2594.821
93,2604.159
94,2604.159
95,2723.494
96,2723.494
97,2866.028
98,2866.028
99,1.281
100,2866.028
