starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 01:13:13 2016	1461114793	0	1213	1213	1205
Wed Apr 20 01:13:04 2016	1461114784	0	1213	1214	1207
Wed Apr 20 01:13:12 2016	1461114792	0	1228	1228	1222
Wed Apr 20 01:13:13 2016	1461114793	0	1229	1229	1223
Wed Apr 20 01:13:11 2016	1461114791	0	1230	1230	1218
Wed Apr 20 01:13:03 2016	1461114783	0	1237	1237	1228
Wed Apr 20 01:13:10 2016	1461114790	0	1237	1238	1226
Wed Apr 20 01:13:08 2016	1461114788	0	1240	1241	1232
Wed Apr 20 01:13:10 2016	1461114790	0	1245	1246	1236
Wed Apr 20 01:13:13 2016	1461114793	0	1247	1248	1235
Wed Apr 20 01:13:12 2016	1461114792	0	1255	1255	1245
Wed Apr 20 01:13:13 2016	1461114793	1	1255	1255	1246
Wed Apr 20 01:12:58 2016	1461114778	0	1264	1265	1257
Wed Apr 20 01:13:11 2016	1461114791	1	1267	1267	1258
Wed Apr 20 01:13:07 2016	1461114787	0	1295	1295	1285
Wed Apr 20 01:13:11 2016	1461114791	0	1296	1296	1288
Wed Apr 20 01:12:58 2016	1461114778	0	1297	1297	1287
Wed Apr 20 01:13:09 2016	1461114789	0	1347	1348	1340
Wed Apr 20 01:13:06 2016	1461114786	0	1357	1358	1350
Wed Apr 20 01:13:12 2016	1461114792	0	1369	1369	1364
Wed Apr 20 01:12:57 2016	1461114777	0	1386	1386	1375
Wed Apr 20 01:12:57 2016	1461114777	0	1392	1392	1380
Wed Apr 20 01:13:08 2016	1461114788	0	1397	1398	1391
Wed Apr 20 01:13:07 2016	1461114787	0	1407	1407	1402
Wed Apr 20 01:13:09 2016	1461114789	0	1408	1409	1400
Wed Apr 20 01:13:05 2016	1461114785	0	1409	1409	1400
Wed Apr 20 01:12:57 2016	1461114777	0	1411	1412	1401
Wed Apr 20 01:12:59 2016	1461114779	0	1420	1420	1288
Wed Apr 20 01:13:04 2016	1461114784	0	1425	1426	1417
Wed Apr 20 01:13:05 2016	1461114785	0	1436	1437	1426
Wed Apr 20 01:13:07 2016	1461114787	0	1439	1439	1427
Wed Apr 20 01:13:06 2016	1461114786	0	1451	1451	1439
Wed Apr 20 01:13:09 2016	1461114789	0	1472	1472	1467
Wed Apr 20 01:13:06 2016	1461114786	0	1483	1483	1477
Wed Apr 20 01:13:09 2016	1461114789	0	1499	1499	1489
Wed Apr 20 01:12:57 2016	1461114777	0	1540	1540	1532
Wed Apr 20 01:13:06 2016	1461114786	0	1541	1541	1529
Wed Apr 20 01:13:02 2016	1461114782	0	1554	1555	1545
Wed Apr 20 01:13:02 2016	1461114782	0	1648	1649	1643
Wed Apr 20 01:13:04 2016	1461114784	0	1656	1656	1647
Wed Apr 20 01:13:02 2016	1461114782	0	1662	1662	1653
Wed Apr 20 01:13:02 2016	1461114782	0	1827	1827	1816
Wed Apr 20 01:12:55 2016	1461114775	1	2009	2010	2003
Wed Apr 20 01:12:55 2016	1461114775	7	2274	2281	2252
Wed Apr 20 01:13:00 2016	1461114780	0	2495	2496	2485
Wed Apr 20 01:12:55 2016	1461114775	29	2493	2521	2470
Wed Apr 20 01:13:00 2016	1461114780	1	2594	2595	2586
Wed Apr 20 01:12:59 2016	1461114779	0	2604	2604	2599
Wed Apr 20 01:12:55 2016	1461114775	51	2672	2723	2654
Wed Apr 20 01:12:59 2016	1461114779	0	2866	2866	2857
