Percentage served,Time in ms
0,3059.718
1,4772.789
2,5054.566
3,5766.566
4,6481.112
5,7000.424
6,8395.375
7,11514.770
8,12035.557
9,14069.746
10,14723.296
11,15162.342
12,15221.040
13,15335.901
14,15497.367
15,15566.386
16,15598.389
17,15677.515
18,15717.600
19,15789.833
20,15802.007
21,15806.430
22,15839.805
23,15870.093
24,15885.650
25,15957.715
26,15976.851
27,16112.618
28,16116.737
29,16141.642
30,16154.783
31,16164.343
32,16202.025
33,16232.982
34,16244.561
35,16268.786
36,16329.504
37,16351.645
38,16393.358
39,16407.949
40,16410.513
41,16449.546
42,16496.137
43,16521.603
44,16523.999
45,16553.404
46,16586.353
47,16635.271
48,16650.303
49,16716.583
50,16722.100
51,16791.793
52,16801.218
53,16839.596
54,16860.276
55,16892.130
56,16925.049
57,17018.620
58,17085.908
59,17138.118
60,17151.025
61,17202.767
62,17225.247
63,17263.696
64,17298.111
65,17324.766
66,17378.523
67,17432.799
68,17464.662
69,17482.974
70,17571.777
71,17625.475
72,17670.217
73,17755.910
74,17808.817
75,17834.885
76,17900.171
77,17959.457
78,17990.839
79,18009.606
80,18070.988
81,18130.227
82,18223.312
83,18283.207
84,18311.257
85,18385.212
86,18430.513
87,18494.830
88,18500.143
89,18663.859
90,18781.186
91,18866.705
92,18936.516
93,19048.440
94,19220.789
95,19391.263
96,19674.682
97,20381.403
98,20678.962
99,21158.153
100,24099.165
