starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 01:24:44 2016	1461115484	0	3677	3678	3668
Wed Apr 20 01:24:45 2016	1461115485	0	3693	3693	3685
Wed Apr 20 01:24:43 2016	1461115483	0	3706	3707	3701
Wed Apr 20 01:25:06 2016	1461115506	0	3713	3713	3702
Wed Apr 20 01:24:41 2016	1461115481	0	3723	3724	3715
Wed Apr 20 01:25:18 2016	1461115518	0	3739	3739	3730
Wed Apr 20 01:24:46 2016	1461115486	0	3762	3763	3752
Wed Apr 20 01:25:02 2016	1461115502	0	3768	3768	3760
Wed Apr 20 01:24:30 2016	1461115470	0	3842	3842	3830
Wed Apr 20 01:24:42 2016	1461115482	0	3852	3853	3847
Wed Apr 20 01:24:56 2016	1461115496	0	3857	3858	3849
Wed Apr 20 01:24:47 2016	1461115487	0	3879	3880	3870
Wed Apr 20 01:24:33 2016	1461115473	0	3879	3880	3873
Wed Apr 20 01:25:05 2016	1461115505	0	3913	3913	3905
Wed Apr 20 01:24:37 2016	1461115477	0	3934	3934	3926
Wed Apr 20 01:25:03 2016	1461115503	0	3989	3990	3982
Wed Apr 20 01:25:15 2016	1461115515	0	4015	4016	4008
Wed Apr 20 01:24:50 2016	1461115490	0	4032	4033	4023
Wed Apr 20 01:25:16 2016	1461115516	0	4094	4094	4086
Wed Apr 20 01:24:40 2016	1461115480	0	4133	4133	4124
Wed Apr 20 01:24:29 2016	1461115469	0	4171	4171	4162
Wed Apr 20 01:24:29 2016	1461115469	0	4230	4231	4218
Wed Apr 20 01:24:29 2016	1461115469	0	4250	4251	4243
Wed Apr 20 01:25:07 2016	1461115507	0	4253	4254	4245
Wed Apr 20 01:24:38 2016	1461115478	0	4272	4272	4265
Wed Apr 20 01:25:15 2016	1461115515	0	4355	4355	4347
Wed Apr 20 01:25:14 2016	1461115514	0	4368	4369	4360
Wed Apr 20 01:24:49 2016	1461115489	0	4460	4460	4451
Wed Apr 20 01:24:39 2016	1461115479	0	4503	4503	4492
Wed Apr 20 01:24:54 2016	1461115494	0	4561	4561	4551
Wed Apr 20 01:25:11 2016	1461115511	0	4609	4610	4598
Wed Apr 20 01:24:52 2016	1461115492	0	4627	4627	4620
Wed Apr 20 01:24:33 2016	1461115473	0	4628	4628	4615
Wed Apr 20 01:24:53 2016	1461115493	0	4638	4638	4631
Wed Apr 20 01:25:10 2016	1461115510	1	4644	4645	4631
Wed Apr 20 01:25:09 2016	1461115509	0	4667	4668	4656
Wed Apr 20 01:24:24 2016	1461115464	8	4666	4675	4643
Wed Apr 20 01:24:48 2016	1461115488	0	4702	4702	4693
Wed Apr 20 01:24:24 2016	1461115464	1	4896	4897	4888
Wed Apr 20 01:24:34 2016	1461115474	0	4960	4960	4954
Wed Apr 20 01:24:58 2016	1461115498	0	5073	5073	5065
Wed Apr 20 01:25:10 2016	1461115510	0	5192	5192	5182
Wed Apr 20 01:24:24 2016	1461115464	56	5154	5210	5133
Wed Apr 20 01:24:57 2016	1461115497	0	5256	5257	5248
Wed Apr 20 01:25:00 2016	1461115500	0	5314	5314	5306
Wed Apr 20 01:24:58 2016	1461115498	0	5342	5342	5336
Wed Apr 20 01:24:51 2016	1461115491	0	5418	5418	5410
Wed Apr 20 01:24:24 2016	1461115464	32	5702	5733	5677
Wed Apr 20 01:24:34 2016	1461115474	1	6064	6065	6042
Wed Apr 20 01:25:03 2016	1461115503	0	7196	7196	7191
