Percentage served,Time in ms
0,5045.395
1,7860.866
2,7860.866
3,12751.404
4,12751.404
5,12935.246
6,12935.246
7,14331.951
8,14331.951
9,14332.386
10,14332.386
11,14386.586
12,14386.586
13,14469.282
14,14469.282
15,14576.605
16,14576.605
17,15027.831
18,15027.831
19,15247.531
20,15247.531
21,15371.978
22,15371.978
23,15494.374
24,15494.374
25,15527.737
26,15527.737
27,15685.887
28,15685.887
29,15693.462
30,15693.462
31,15787.650
32,15787.650
33,15808.988
34,15808.988
35,15846.817
36,15846.817
37,15856.704
38,15856.704
39,15934.517
40,15934.517
41,16107.323
42,16107.323
43,16118.238
44,16118.238
45,16121.052
46,16121.052
47,16191.185
48,16191.185
49,16194.539
50,16194.539
51,16279.114
52,16279.114
53,16292.346
54,16292.346
55,16305.771
56,16305.771
57,16335.602
58,16335.602
59,16355.083
60,16355.083
61,16363.066
62,16363.066
63,16478.940
64,16478.940
65,16512.761
66,16512.761
67,16536.331
68,16536.331
69,16631.286
70,16631.286
71,16638.212
72,16638.212
73,16732.185
74,16732.185
75,16749.180
76,16749.180
77,16867.686
78,16867.686
79,16989.465
80,16989.465
81,17160.603
82,17160.603
83,17184.505
84,17184.505
85,17224.213
86,17224.213
87,17284.510
88,17284.510
89,17458.788
90,17458.788
91,17780.592
92,17780.592
93,18089.860
94,18089.860
95,18627.861
96,18627.861
97,20147.600
98,20147.600
99,1.281
100,20147.600
