starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 21 19:19:54 2016	1461266394	0	704	704	699
Thu Apr 21 19:19:45 2016	1461266385	0	706	707	696
Thu Apr 21 19:19:55 2016	1461266395	0	707	707	699
Thu Apr 21 19:19:46 2016	1461266386	0	709	709	698
Thu Apr 21 19:19:39 2016	1461266379	0	714	714	706
Thu Apr 21 19:19:41 2016	1461266381	0	715	715	708
Thu Apr 21 19:19:54 2016	1461266394	0	716	716	707
Thu Apr 21 19:19:43 2016	1461266383	0	726	727	717
Thu Apr 21 19:19:45 2016	1461266385	0	729	730	722
Thu Apr 21 19:19:55 2016	1461266395	0	739	739	733
Thu Apr 21 19:19:54 2016	1461266394	0	748	748	740
Thu Apr 21 19:19:54 2016	1461266394	0	752	753	746
Thu Apr 21 19:19:40 2016	1461266380	0	756	756	748
Thu Apr 21 19:19:53 2016	1461266393	0	768	769	761
Thu Apr 21 19:19:54 2016	1461266394	0	774	775	767
Thu Apr 21 19:19:55 2016	1461266395	0	779	780	774
Thu Apr 21 19:19:53 2016	1461266393	0	780	781	769
Thu Apr 21 19:19:43 2016	1461266383	0	780	781	772
Thu Apr 21 19:19:40 2016	1461266380	0	785	785	775
Thu Apr 21 19:19:58 2016	1461266398	0	786	786	778
Thu Apr 21 19:19:44 2016	1461266384	0	793	794	785
Thu Apr 21 19:19:42 2016	1461266382	0	794	795	789
Thu Apr 21 19:19:51 2016	1461266391	0	796	797	789
Thu Apr 21 19:19:59 2016	1461266399	0	799	799	788
Thu Apr 21 19:19:59 2016	1461266399	0	799	800	790
Thu Apr 21 19:19:58 2016	1461266398	0	800	800	795
Thu Apr 21 19:19:42 2016	1461266382	0	800	800	790
Thu Apr 21 19:19:50 2016	1461266390	0	802	802	797
Thu Apr 21 19:19:48 2016	1461266388	0	806	806	800
Thu Apr 21 19:19:38 2016	1461266378	0	810	811	802
Thu Apr 21 19:19:43 2016	1461266383	0	812	812	803
Thu Apr 21 19:19:50 2016	1461266390	0	812	813	805
Thu Apr 21 19:19:39 2016	1461266379	0	813	813	804
Thu Apr 21 19:19:57 2016	1461266397	0	813	813	807
Thu Apr 21 19:19:57 2016	1461266397	0	814	815	809
Thu Apr 21 19:20:03 2016	1461266403	0	818	818	807
Thu Apr 21 19:19:44 2016	1461266384	0	819	819	814
Thu Apr 21 19:19:39 2016	1461266379	0	820	820	812
Thu Apr 21 19:19:58 2016	1461266398	0	822	822	814
Thu Apr 21 19:19:53 2016	1461266393	0	823	823	812
Thu Apr 21 19:19:39 2016	1461266379	0	824	824	817
Thu Apr 21 19:19:56 2016	1461266396	0	824	824	807
Thu Apr 21 19:19:42 2016	1461266382	0	825	825	817
Thu Apr 21 19:19:56 2016	1461266396	0	825	825	818
Thu Apr 21 19:19:39 2016	1461266379	0	825	825	815
Thu Apr 21 19:19:54 2016	1461266394	0	827	827	810
Thu Apr 21 19:19:43 2016	1461266383	0	829	830	821
Thu Apr 21 19:19:37 2016	1461266377	0	834	834	825
Thu Apr 21 19:19:49 2016	1461266389	0	837	838	831
Thu Apr 21 19:19:53 2016	1461266393	0	839	839	832
Thu Apr 21 19:19:37 2016	1461266377	0	847	847	838
Thu Apr 21 19:19:44 2016	1461266384	0	851	851	842
Thu Apr 21 19:19:56 2016	1461266396	0	856	856	851
Thu Apr 21 19:19:49 2016	1461266389	1	855	856	844
Thu Apr 21 19:19:47 2016	1461266387	0	861	861	851
Thu Apr 21 19:19:52 2016	1461266392	0	863	863	849
Thu Apr 21 19:19:40 2016	1461266380	0	863	864	856
Thu Apr 21 19:19:46 2016	1461266386	0	863	864	856
Thu Apr 21 19:19:52 2016	1461266392	0	865	865	857
Thu Apr 21 19:19:41 2016	1461266381	0	871	871	856
Thu Apr 21 19:19:59 2016	1461266399	0	874	874	867
Thu Apr 21 19:19:40 2016	1461266380	0	876	876	866
Thu Apr 21 19:19:57 2016	1461266397	0	877	877	871
Thu Apr 21 19:19:43 2016	1461266383	0	878	878	872
Thu Apr 21 19:20:02 2016	1461266402	0	879	879	866
Thu Apr 21 19:19:44 2016	1461266384	1	880	880	864
Thu Apr 21 19:20:03 2016	1461266403	0	882	882	872
Thu Apr 21 19:19:55 2016	1461266395	0	883	883	877
Thu Apr 21 19:19:55 2016	1461266395	0	883	883	867
Thu Apr 21 19:19:45 2016	1461266385	0	883	883	860
Thu Apr 21 19:19:38 2016	1461266378	0	886	887	880
Thu Apr 21 19:19:56 2016	1461266396	1	887	888	877
Thu Apr 21 19:19:49 2016	1461266389	0	889	889	880
Thu Apr 21 19:19:56 2016	1461266396	0	890	890	880
Thu Apr 21 19:19:42 2016	1461266382	0	893	893	887
Thu Apr 21 19:19:38 2016	1461266378	0	893	893	883
Thu Apr 21 19:19:38 2016	1461266378	0	893	893	884
Thu Apr 21 19:19:58 2016	1461266398	0	895	896	883
Thu Apr 21 19:19:42 2016	1461266382	0	900	900	887
Thu Apr 21 19:19:40 2016	1461266380	0	905	905	898
Thu Apr 21 19:19:47 2016	1461266387	0	906	906	900
Thu Apr 21 19:19:45 2016	1461266385	0	906	907	898
Thu Apr 21 19:19:51 2016	1461266391	0	916	917	907
Thu Apr 21 19:19:52 2016	1461266392	0	917	918	903
Thu Apr 21 19:20:02 2016	1461266402	0	927	927	921
Thu Apr 21 19:20:02 2016	1461266402	0	929	930	921
Thu Apr 21 19:20:02 2016	1461266402	0	934	935	926
Thu Apr 21 19:19:48 2016	1461266388	0	937	937	928
Thu Apr 21 19:19:50 2016	1461266390	0	940	940	930
Thu Apr 21 19:19:46 2016	1461266386	0	941	941	932
Thu Apr 21 19:20:03 2016	1461266403	0	949	949	941
Thu Apr 21 19:20:03 2016	1461266403	0	962	962	956
Thu Apr 21 19:19:48 2016	1461266388	1	1000	1001	992
Thu Apr 21 19:19:46 2016	1461266386	0	1010	1010	1004
Thu Apr 21 19:19:49 2016	1461266389	0	1021	1021	1015
Thu Apr 21 19:19:52 2016	1461266392	0	1026	1026	1015
Thu Apr 21 19:19:50 2016	1461266390	0	1032	1032	1024
Thu Apr 21 19:20:01 2016	1461266401	0	1037	1037	1030
Thu Apr 21 19:19:41 2016	1461266381	0	1039	1039	1032
Thu Apr 21 19:19:48 2016	1461266388	0	1068	1068	1060
Thu Apr 21 19:19:41 2016	1461266381	0	1100	1100	1093
Thu Apr 21 19:19:51 2016	1461266391	0	1161	1161	1151
Thu Apr 21 19:19:51 2016	1461266391	0	1181	1181	1175
Thu Apr 21 19:19:51 2016	1461266391	0	1185	1185	1177
Thu Apr 21 19:19:47 2016	1461266387	1	1293	1294	1279
Thu Apr 21 19:19:59 2016	1461266399	0	1337	1337	1327
Thu Apr 21 19:19:45 2016	1461266385	0	1444	1444	1416
Thu Apr 21 19:19:47 2016	1461266387	1	1547	1548	1541
Thu Apr 21 19:19:57 2016	1461266397	0	1581	1581	1572
Thu Apr 21 19:20:03 2016	1461266403	0	1627	1627	1621
Thu Apr 21 19:19:59 2016	1461266399	0	1725	1726	1717
Thu Apr 21 19:20:00 2016	1461266400	0	1749	1749	1744
Thu Apr 21 19:20:00 2016	1461266400	0	1944	1944	1937
Thu Apr 21 19:18:59 2016	1461266339	0	1944	1945	1935
Thu Apr 21 19:13:59 2016	1461266039	0	2432	2432	2423
Thu Apr 21 19:20:00 2016	1461266400	0	2457	2457	2444
Thu Apr 21 19:17:40 2016	1461266260	0	2671	2672	2665
Thu Apr 21 19:16:58 2016	1461266218	0	2731	2731	2720
Thu Apr 21 19:19:35 2016	1461266375	0	2914	2914	2903
Thu Apr 21 19:17:08 2016	1461266228	1	3600	3600	3591
Thu Apr 21 19:13:51 2016	1461266031	0	4301	4301	4295
Thu Apr 21 19:19:33 2016	1461266373	0	4348	4349	4339
Thu Apr 21 19:18:09 2016	1461266289	0	4554	4554	4544
Thu Apr 21 19:17:47 2016	1461266267	0	5258	5258	5249
Thu Apr 21 19:13:55 2016	1461266035	0	5832	5832	5827
Thu Apr 21 19:13:49 2016	1461266029	0	6316	6316	6308
Thu Apr 21 19:17:45 2016	1461266265	0	7117	7118	7104
Thu Apr 21 19:15:53 2016	1461266153	0	8785	8785	8780
Thu Apr 21 19:16:49 2016	1461266209	0	9166	9167	9161
Thu Apr 21 19:18:02 2016	1461266282	0	10866	10867	10860
Thu Apr 21 19:19:26 2016	1461266366	0	11068	11069	11059
Thu Apr 21 19:17:00 2016	1461266220	0	11307	11308	11296
Thu Apr 21 19:12:34 2016	1461265954	1	11957	11957	11946
Thu Apr 21 19:10:49 2016	1461265849	1	12701	12702	12693
Thu Apr 21 19:18:46 2016	1461266326	0	13323	13323	13315
Thu Apr 21 19:19:06 2016	1461266346	0	14223	14224	14216
Thu Apr 21 19:17:19 2016	1461266239	0	14444	14444	14438
Thu Apr 21 19:17:11 2016	1461266231	0	14661	14662	14652
Thu Apr 21 19:16:18 2016	1461266178	0	14777	14778	14765
Thu Apr 21 19:16:19 2016	1461266179	0	14812	14812	14802
Thu Apr 21 19:19:06 2016	1461266346	0	15109	15109	15103
Thu Apr 21 19:13:34 2016	1461266014	0	15177	15177	15166
Thu Apr 21 19:14:13 2016	1461266053	0	15248	15248	15240
Thu Apr 21 19:13:22 2016	1461266002	0	15316	15317	15309
Thu Apr 21 19:13:20 2016	1461266000	0	15320	15321	15315
Thu Apr 21 19:14:13 2016	1461266053	0	15353	15353	15344
Thu Apr 21 19:13:26 2016	1461266006	0	15415	15415	15405
Thu Apr 21 19:17:12 2016	1461266232	0	15572	15572	15567
Thu Apr 21 19:19:20 2016	1461266360	0	15580	15581	15568
Thu Apr 21 19:13:18 2016	1461265998	0	15617	15617	15611
Thu Apr 21 19:13:10 2016	1461265990	0	15653	15653	15646
Thu Apr 21 19:11:43 2016	1461265903	0	15663	15664	15653
Thu Apr 21 19:13:35 2016	1461266015	0	15712	15712	15707
Thu Apr 21 19:19:21 2016	1461266361	0	15814	15814	15805
Thu Apr 21 19:16:17 2016	1461266177	0	15820	15820	15810
Thu Apr 21 19:17:25 2016	1461266245	0	15837	15837	15826
Thu Apr 21 19:19:10 2016	1461266350	0	15850	15850	15843
Thu Apr 21 19:16:11 2016	1461266171	0	15864	15864	15859
Thu Apr 21 19:19:01 2016	1461266341	0	15956	15957	15950
Thu Apr 21 19:12:26 2016	1461265946	0	15987	15988	15979
Thu Apr 21 19:16:33 2016	1461266193	0	16008	16008	16001
Thu Apr 21 19:12:42 2016	1461265962	0	16079	16079	16071
Thu Apr 21 19:16:27 2016	1461266187	0	16093	16093	16085
Thu Apr 21 19:15:43 2016	1461266143	0	16129	16130	16121
Thu Apr 21 19:14:45 2016	1461266085	0	16191	16192	16186
Thu Apr 21 19:19:17 2016	1461266357	0	16241	16242	16237
Thu Apr 21 19:15:09 2016	1461266109	0	16263	16264	16257
Thu Apr 21 19:15:27 2016	1461266127	0	16265	16265	16256
Thu Apr 21 19:17:08 2016	1461266228	0	16285	16285	16272
Thu Apr 21 19:18:10 2016	1461266290	0	16302	16302	16293
Thu Apr 21 19:15:36 2016	1461266136	0	16345	16346	16337
Thu Apr 21 19:18:14 2016	1461266294	3	16368	16371	16359
Thu Apr 21 19:16:33 2016	1461266193	0	16374	16375	16364
Thu Apr 21 19:14:36 2016	1461266076	0	16409	16409	16399
Thu Apr 21 19:14:35 2016	1461266075	0	16414	16414	16401
Thu Apr 21 19:15:37 2016	1461266137	0	16434	16435	16425
Thu Apr 21 19:16:33 2016	1461266193	0	16465	16465	16460
Thu Apr 21 19:18:31 2016	1461266311	0	16475	16475	16468
Thu Apr 21 19:11:35 2016	1461265895	0	16556	16556	16546
Thu Apr 21 19:12:10 2016	1461265930	0	16574	16574	16564
Thu Apr 21 19:15:20 2016	1461266120	0	16584	16584	16574
Thu Apr 21 19:14:47 2016	1461266087	0	16586	16587	16580
Thu Apr 21 19:14:01 2016	1461266041	0	16621	16622	16615
Thu Apr 21 19:14:18 2016	1461266058	0	16649	16650	16637
Thu Apr 21 19:11:01 2016	1461265861	0	16659	16660	16648
Thu Apr 21 19:15:42 2016	1461266142	0	16684	16685	16677
Thu Apr 21 19:14:02 2016	1461266042	0	16688	16688	16680
Thu Apr 21 19:13:38 2016	1461266018	0	16774	16774	16764
Thu Apr 21 19:11:06 2016	1461265866	0	16783	16783	16775
Thu Apr 21 19:15:25 2016	1461266125	0	16844	16844	16836
Thu Apr 21 19:11:41 2016	1461265901	0	16918	16918	16905
Thu Apr 21 19:16:43 2016	1461266203	0	16973	16973	16968
Thu Apr 21 19:14:28 2016	1461266068	0	17037	17038	17030
