Percentage served,Time in ms
0,3566.538
1,3575.299
2,3575.299
3,3609.281
4,3609.281
5,3626.363
6,3626.363
7,3648.650
8,3648.650
9,3824.666
10,3824.666
11,3865.712
12,3865.712
13,3872.641
14,3872.641
15,3898.029
16,3898.029
17,3919.020
18,3919.020
19,3933.942
20,3933.942
21,3938.635
22,3938.635
23,3959.131
24,3959.131
25,4004.437
26,4004.437
27,4043.554
28,4043.554
29,4052.094
30,4052.094
31,4061.477
32,4061.477
33,4079.765
34,4079.765
35,4088.260
36,4088.260
37,4109.970
38,4109.970
39,4118.544
40,4118.544
41,4123.492
42,4123.492
43,4140.673
44,4140.673
45,4160.135
46,4160.135
47,4199.441
48,4199.441
49,4215.807
50,4215.807
51,4224.334
52,4224.334
53,4247.612
54,4247.612
55,4278.874
56,4278.874
57,4303.928
58,4303.928
59,4324.920
60,4324.920
61,4350.752
62,4350.752
63,4353.803
64,4353.803
65,4370.115
66,4370.115
67,4436.730
68,4436.730
69,4476.352
70,4476.352
71,4532.482
72,4532.482
73,4544.701
74,4544.701
75,4555.714
76,4555.714
77,4577.429
78,4577.429
79,4582.151
80,4582.151
81,4667.112
82,4667.112
83,4677.332
84,4677.332
85,4879.064
86,4879.064
87,4881.048
88,4881.048
89,4996.617
90,4996.617
91,5000.401
92,5000.401
93,5120.912
94,5120.912
95,5284.647
96,5284.647
97,5709.714
98,5709.714
99,1.281
100,5709.714
