starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 21 19:29:54 2016	1461266994	0	979	980	972
Thu Apr 21 19:30:11 2016	1461267011	0	1004	1004	999
Thu Apr 21 19:30:34 2016	1461267034	0	1008	1008	1002
Thu Apr 21 19:29:59 2016	1461266999	0	1010	1010	1003
Thu Apr 21 19:29:56 2016	1461266996	0	1012	1013	1003
Thu Apr 21 19:29:44 2016	1461266984	0	1014	1015	1005
Thu Apr 21 19:30:27 2016	1461267027	0	1018	1018	1008
Thu Apr 21 19:30:14 2016	1461267014	0	1022	1022	1014
Thu Apr 21 19:30:10 2016	1461267010	0	1032	1033	1026
Thu Apr 21 19:29:42 2016	1461266982	0	1033	1033	1023
Thu Apr 21 19:30:08 2016	1461267008	1	1034	1035	1024
Thu Apr 21 19:30:24 2016	1461267024	0	1036	1036	1028
Thu Apr 21 19:30:28 2016	1461267028	5	1031	1036	1026
Thu Apr 21 19:30:23 2016	1461267023	0	1036	1036	1027
Thu Apr 21 19:30:09 2016	1461267009	0	1037	1037	1030
Thu Apr 21 19:30:29 2016	1461267029	0	1038	1038	1031
Thu Apr 21 19:29:50 2016	1461266990	0	1038	1038	1029
Thu Apr 21 19:29:38 2016	1461266978	0	1038	1038	1030
Thu Apr 21 19:30:26 2016	1461267026	0	1038	1038	1033
Thu Apr 21 19:29:59 2016	1461266999	0	1038	1038	1033
Thu Apr 21 19:29:41 2016	1461266981	0	1040	1040	1029
Thu Apr 21 19:29:52 2016	1461266992	0	1042	1042	1033
Thu Apr 21 19:30:10 2016	1461267010	0	1043	1043	1032
Thu Apr 21 19:30:25 2016	1461267025	0	1045	1046	1037
Thu Apr 21 19:30:25 2016	1461267025	0	1045	1046	1040
Thu Apr 21 19:30:24 2016	1461267024	0	1046	1046	1036
Thu Apr 21 19:30:17 2016	1461267017	0	1047	1048	1041
Thu Apr 21 19:29:42 2016	1461266982	0	1047	1048	1039
Thu Apr 21 19:29:43 2016	1461266983	0	1051	1052	1046
Thu Apr 21 19:30:07 2016	1461267007	0	1052	1053	1032
Thu Apr 21 19:29:58 2016	1461266998	0	1053	1053	1044
Thu Apr 21 19:29:28 2016	1461266968	0	1053	1054	1043
Thu Apr 21 19:30:16 2016	1461267016	0	1055	1055	1046
Thu Apr 21 19:30:18 2016	1461267018	0	1058	1058	1050
Thu Apr 21 19:29:33 2016	1461266973	0	1059	1059	1052
Thu Apr 21 19:30:15 2016	1461267015	0	1061	1061	1054
Thu Apr 21 19:30:12 2016	1461267012	0	1063	1063	1057
Thu Apr 21 19:30:32 2016	1461267032	0	1066	1066	1057
Thu Apr 21 19:30:20 2016	1461267020	0	1067	1067	1060
Thu Apr 21 19:30:37 2016	1461267037	0	1069	1070	1062
Thu Apr 21 19:29:31 2016	1461266971	0	1071	1071	1061
Thu Apr 21 19:29:49 2016	1461266989	0	1072	1072	1061
Thu Apr 21 19:29:26 2016	1461266966	0	1073	1074	1062
Thu Apr 21 19:29:25 2016	1461266965	0	1076	1076	1070
Thu Apr 21 19:29:27 2016	1461266967	0	1082	1082	1074
Thu Apr 21 19:30:25 2016	1461267025	0	1086	1086	1077
Thu Apr 21 19:29:24 2016	1461266964	0	1088	1089	1079
Thu Apr 21 19:30:27 2016	1461267027	1	1092	1092	1079
Thu Apr 21 19:29:44 2016	1461266984	0	1093	1094	1080
Thu Apr 21 19:30:08 2016	1461267008	0	1094	1094	1089
Thu Apr 21 19:30:17 2016	1461267017	0	1096	1096	1088
Thu Apr 21 19:30:13 2016	1461267013	0	1100	1100	1094
Thu Apr 21 19:30:06 2016	1461267006	0	1100	1101	1094
Thu Apr 21 19:29:34 2016	1461266974	0	1107	1108	1082
Thu Apr 21 19:30:26 2016	1461267026	0	1108	1109	1100
Thu Apr 21 19:29:39 2016	1461266979	0	1113	1113	1107
Thu Apr 21 19:29:30 2016	1461266970	1	1114	1115	1107
Thu Apr 21 19:30:07 2016	1461267007	0	1119	1119	1107
Thu Apr 21 19:30:36 2016	1461267036	0	1121	1121	1113
Thu Apr 21 19:29:44 2016	1461266984	0	1125	1125	1117
Thu Apr 21 19:30:24 2016	1461267024	0	1129	1129	1119
Thu Apr 21 19:29:45 2016	1461266985	0	1129	1129	1118
Thu Apr 21 19:30:22 2016	1461267022	0	1131	1131	1126
Thu Apr 21 19:30:35 2016	1461267035	0	1133	1134	1123
Thu Apr 21 19:30:29 2016	1461267029	0	1134	1134	1126
Thu Apr 21 19:30:03 2016	1461267003	0	1134	1134	1123
Thu Apr 21 19:29:37 2016	1461266977	0	1135	1135	1128
Thu Apr 21 19:30:12 2016	1461267012	0	1136	1136	1128
Thu Apr 21 19:29:34 2016	1461266974	0	1137	1137	1128
Thu Apr 21 19:29:53 2016	1461266993	0	1137	1137	1127
Thu Apr 21 19:29:33 2016	1461266973	0	1139	1139	1130
Thu Apr 21 19:30:12 2016	1461267012	0	1140	1141	1128
Thu Apr 21 19:30:25 2016	1461267025	0	1140	1141	1134
Thu Apr 21 19:29:53 2016	1461266993	1	1141	1141	1131
Thu Apr 21 19:29:43 2016	1461266983	0	1141	1142	1131
Thu Apr 21 19:29:58 2016	1461266998	0	1143	1143	1131
Thu Apr 21 19:29:55 2016	1461266995	0	1147	1147	1128
Thu Apr 21 19:29:24 2016	1461266964	0	1149	1149	1144
Thu Apr 21 19:29:43 2016	1461266983	0	1151	1152	1141
Thu Apr 21 19:30:31 2016	1461267031	0	1153	1153	1147
Thu Apr 21 19:29:32 2016	1461266972	0	1153	1153	1146
Thu Apr 21 19:29:43 2016	1461266983	0	1153	1154	1142
Thu Apr 21 19:29:58 2016	1461266998	0	1154	1154	1147
Thu Apr 21 19:29:40 2016	1461266980	0	1154	1154	1145
Thu Apr 21 19:30:21 2016	1461267021	0	1154	1155	1147
Thu Apr 21 19:29:29 2016	1461266969	0	1156	1156	1148
Thu Apr 21 19:29:27 2016	1461266967	0	1156	1156	1146
Thu Apr 21 19:30:37 2016	1461267037	0	1159	1160	1154
Thu Apr 21 19:30:13 2016	1461267013	0	1160	1160	1150
Thu Apr 21 19:29:45 2016	1461266985	0	1161	1162	1154
Thu Apr 21 19:29:34 2016	1461266974	0	1162	1163	1152
Thu Apr 21 19:30:14 2016	1461267014	0	1170	1170	1162
Thu Apr 21 19:29:41 2016	1461266981	0	1170	1171	1162
Thu Apr 21 19:29:48 2016	1461266988	0	1172	1172	1156
Thu Apr 21 19:29:36 2016	1461266976	0	1173	1174	1165
Thu Apr 21 19:29:57 2016	1461266997	0	1174	1174	1166
Thu Apr 21 19:30:30 2016	1461267030	0	1176	1177	1167
Thu Apr 21 19:30:30 2016	1461267030	0	1182	1183	1171
Thu Apr 21 19:30:17 2016	1461267017	0	1183	1184	1178
Thu Apr 21 19:29:38 2016	1461266978	0	1184	1184	1173
Thu Apr 21 19:30:04 2016	1461267004	0	1185	1185	1172
Thu Apr 21 19:30:27 2016	1461267027	1	1186	1187	970
Thu Apr 21 19:29:38 2016	1461266978	0	1187	1187	1179
Thu Apr 21 19:29:48 2016	1461266988	0	1187	1188	1179
Thu Apr 21 19:29:26 2016	1461266966	0	1188	1188	1168
Thu Apr 21 19:29:41 2016	1461266981	0	1188	1188	1176
Thu Apr 21 19:29:48 2016	1461266988	0	1188	1188	1181
Thu Apr 21 19:30:28 2016	1461267028	0	1189	1189	1181
Thu Apr 21 19:29:25 2016	1461266965	0	1189	1190	1178
Thu Apr 21 19:30:26 2016	1461267026	0	1191	1191	1183
Thu Apr 21 19:29:37 2016	1461266977	0	1192	1193	1183
Thu Apr 21 19:29:51 2016	1461266991	0	1195	1195	1188
Thu Apr 21 19:29:45 2016	1461266985	0	1195	1196	1188
Thu Apr 21 19:30:31 2016	1461267031	0	1197	1197	1185
Thu Apr 21 19:29:57 2016	1461266997	0	1198	1198	1191
Thu Apr 21 19:29:29 2016	1461266969	0	1200	1200	1192
Thu Apr 21 19:29:26 2016	1461266966	1	1203	1203	1195
Thu Apr 21 19:30:32 2016	1461267032	0	1206	1206	1192
Thu Apr 21 19:30:06 2016	1461267006	0	1207	1208	1203
Thu Apr 21 19:30:19 2016	1461267019	0	1208	1209	1202
Thu Apr 21 19:29:44 2016	1461266984	1	1210	1211	1169
Thu Apr 21 19:30:29 2016	1461267029	0	1211	1211	1203
Thu Apr 21 19:29:50 2016	1461266990	0	1213	1214	1206
Thu Apr 21 19:30:23 2016	1461267023	0	1218	1218	1004
Thu Apr 21 19:29:30 2016	1461266970	0	1224	1225	1217
Thu Apr 21 19:29:52 2016	1461266992	0	1231	1231	1225
Thu Apr 21 19:30:14 2016	1461267014	0	1242	1242	1236
Thu Apr 21 19:29:57 2016	1461266997	0	1247	1247	1241
Thu Apr 21 19:30:04 2016	1461267004	0	1249	1250	1243
Thu Apr 21 19:30:30 2016	1461267030	0	1250	1250	1240
Thu Apr 21 19:29:26 2016	1461266966	0	1250	1250	1242
Thu Apr 21 19:30:13 2016	1461267013	0	1250	1250	1239
Thu Apr 21 19:30:14 2016	1461267014	0	1251	1252	1243
Thu Apr 21 19:29:31 2016	1461266971	0	1254	1254	1244
Thu Apr 21 19:29:28 2016	1461266968	0	1255	1256	1228
Thu Apr 21 19:30:18 2016	1461267018	0	1260	1260	1242
Thu Apr 21 19:29:38 2016	1461266978	0	1265	1265	1252
Thu Apr 21 19:29:29 2016	1461266969	0	1266	1267	1254
Thu Apr 21 19:30:27 2016	1461267027	0	1270	1270	1047
Thu Apr 21 19:29:57 2016	1461266997	0	1271	1272	1261
Thu Apr 21 19:29:25 2016	1461266965	0	1279	1280	1271
Thu Apr 21 19:30:29 2016	1461267029	0	1289	1290	1281
Thu Apr 21 19:30:23 2016	1461267023	0	1289	1290	1284
Thu Apr 21 19:30:10 2016	1461267010	0	1290	1290	1274
Thu Apr 21 19:29:23 2016	1461266963	0	1290	1291	1284
Thu Apr 21 19:29:49 2016	1461266989	0	1300	1301	1289
Thu Apr 21 19:29:52 2016	1461266992	0	1300	1301	1270
Thu Apr 21 19:30:36 2016	1461267036	0	1303	1304	1254
Thu Apr 21 19:30:07 2016	1461267007	0	1314	1314	1305
Thu Apr 21 19:30:22 2016	1461267022	0	1321	1321	1315
Thu Apr 21 19:29:45 2016	1461266985	0	1321	1321	1313
Thu Apr 21 19:30:23 2016	1461267023	0	1321	1322	1315
Thu Apr 21 19:29:47 2016	1461266987	0	1322	1322	1308
Thu Apr 21 19:30:11 2016	1461267011	1	1322	1323	1316
Thu Apr 21 19:30:31 2016	1461267031	0	1323	1323	1314
Thu Apr 21 19:29:46 2016	1461266986	0	1323	1324	1314
Thu Apr 21 19:29:51 2016	1461266991	0	1327	1328	1316
Thu Apr 21 19:30:21 2016	1461267021	0	1330	1331	1312
Thu Apr 21 19:30:04 2016	1461267004	0	1334	1334	1326
Thu Apr 21 19:29:40 2016	1461266980	0	1337	1338	1329
Thu Apr 21 19:30:20 2016	1461267020	0	1339	1340	1331
Thu Apr 21 19:30:21 2016	1461267021	0	1341	1342	1332
Thu Apr 21 19:30:21 2016	1461267021	1	1341	1342	1335
Thu Apr 21 19:29:46 2016	1461266986	0	1343	1344	1335
Thu Apr 21 19:29:35 2016	1461266975	0	1343	1344	1336
Thu Apr 21 19:29:39 2016	1461266979	0	1348	1348	1342
Thu Apr 21 19:29:50 2016	1461266990	0	1348	1348	1339
Thu Apr 21 19:29:47 2016	1461266987	0	1353	1353	1343
Thu Apr 21 19:30:15 2016	1461267015	0	1355	1355	1335
Thu Apr 21 19:30:33 2016	1461267033	0	1356	1356	1341
Thu Apr 21 19:29:37 2016	1461266977	0	1358	1358	1139
Thu Apr 21 19:30:09 2016	1461267009	0	1359	1360	1331
Thu Apr 21 19:29:25 2016	1461266965	0	1362	1362	1350
Thu Apr 21 19:29:27 2016	1461266967	2	1364	1366	1149
Thu Apr 21 19:30:18 2016	1461267018	0	1371	1371	1363
Thu Apr 21 19:29:30 2016	1461266970	0	1374	1375	1369
Thu Apr 21 19:29:41 2016	1461266981	0	1380	1380	1339
Thu Apr 21 19:30:15 2016	1461267015	0	1387	1387	1365
Thu Apr 21 19:30:19 2016	1461267019	0	1389	1389	1383
Thu Apr 21 19:30:15 2016	1461267015	0	1393	1393	1388
Thu Apr 21 19:30:09 2016	1461267009	0	1393	1394	1380
Thu Apr 21 19:30:36 2016	1461267036	0	1401	1401	1391
Thu Apr 21 19:29:36 2016	1461266976	1	1412	1413	1403
Thu Apr 21 19:29:49 2016	1461266989	0	1420	1420	1400
Thu Apr 21 19:29:55 2016	1461266995	0	1432	1433	1424
Thu Apr 21 19:30:04 2016	1461267004	0	1438	1439	1433
Thu Apr 21 19:29:31 2016	1461266971	0	1442	1443	1436
Thu Apr 21 19:29:31 2016	1461266971	0	1446	1446	1438
Thu Apr 21 19:30:11 2016	1461267011	1	1448	1448	1227
Thu Apr 21 19:30:07 2016	1461267007	0	1449	1449	1433
Thu Apr 21 19:29:55 2016	1461266995	0	1449	1450	1406
Thu Apr 21 19:29:34 2016	1461266974	0	1452	1452	1441
Thu Apr 21 19:30:02 2016	1461267002	0	1452	1452	1445
Thu Apr 21 19:30:36 2016	1461267036	0	1455	1455	1446
Thu Apr 21 19:30:28 2016	1461267028	0	1460	1460	1454
Thu Apr 21 19:30:09 2016	1461267009	0	1463	1463	1453
Thu Apr 21 19:30:35 2016	1461267035	0	1470	1470	1423
Thu Apr 21 19:30:33 2016	1461267033	0	1481	1481	1475
Thu Apr 21 19:29:52 2016	1461266992	0	1503	1503	1497
Thu Apr 21 19:30:12 2016	1461267012	0	1513	1513	1504
Thu Apr 21 19:29:39 2016	1461266979	0	1515	1515	1503
Thu Apr 21 19:29:28 2016	1461266968	0	1528	1528	1505
Thu Apr 21 19:30:33 2016	1461267033	0	1531	1531	1255
Thu Apr 21 19:29:46 2016	1461266986	0	1546	1546	1541
Thu Apr 21 19:30:34 2016	1461267034	0	1563	1564	1554
Thu Apr 21 19:29:35 2016	1461266975	0	1565	1565	1557
Thu Apr 21 19:30:33 2016	1461267033	1	1584	1584	1569
Thu Apr 21 19:29:55 2016	1461266995	0	1592	1592	1586
Thu Apr 21 19:30:31 2016	1461267031	0	1597	1598	1575
Thu Apr 21 19:30:19 2016	1461267019	0	1605	1605	1598
Thu Apr 21 19:29:35 2016	1461266975	0	1615	1616	1593
Thu Apr 21 19:29:33 2016	1461266973	0	1644	1644	1639
Thu Apr 21 19:29:58 2016	1461266998	0	1675	1675	1669
Thu Apr 21 19:29:39 2016	1461266979	0	1698	1698	1670
Thu Apr 21 19:30:16 2016	1461267016	0	1741	1741	1734
Thu Apr 21 19:30:34 2016	1461267034	3	1858	1862	1847
Thu Apr 21 19:30:18 2016	1461267018	0	1885	1886	1877
Thu Apr 21 19:30:02 2016	1461267002	0	1945	1945	1902
Thu Apr 21 19:29:53 2016	1461266993	0	1946	1946	1941
Thu Apr 21 19:30:02 2016	1461267002	0	1959	1959	1954
Thu Apr 21 19:30:02 2016	1461267002	0	2014	2015	2010
Thu Apr 21 19:30:00 2016	1461267000	0	2014	2015	2009
Thu Apr 21 19:29:49 2016	1461266989	0	2062	2063	2056
Thu Apr 21 19:30:05 2016	1461267005	0	2066	2066	2058
Thu Apr 21 19:30:00 2016	1461267000	0	2137	2137	2131
Thu Apr 21 19:30:05 2016	1461267005	0	2167	2167	2156
Thu Apr 21 19:30:00 2016	1461267000	0	2192	2193	2187
Thu Apr 21 19:29:32 2016	1461266972	0	2245	2246	2234
Thu Apr 21 19:29:22 2016	1461266962	0	2381	2381	2373
Thu Apr 21 19:29:53 2016	1461266993	0	2445	2445	2433
Thu Apr 21 19:29:59 2016	1461266999	0	2505	2505	2499
Thu Apr 21 19:29:21 2016	1461266961	0	3424	3424	3414
Thu Apr 21 19:29:09 2016	1461266949	0	3425	3425	3416
Thu Apr 21 19:29:08 2016	1461266948	0	3440	3440	3426
Thu Apr 21 19:29:09 2016	1461266949	0	3470	3470	3459
Thu Apr 21 19:29:20 2016	1461266960	0	3702	3703	3695
Thu Apr 21 19:29:20 2016	1461266960	0	3766	3766	3756
Thu Apr 21 19:29:12 2016	1461266952	0	3775	3776	3767
Thu Apr 21 19:29:16 2016	1461266956	0	3795	3796	3786
Thu Apr 21 19:29:18 2016	1461266958	0	3812	3812	3805
Thu Apr 21 19:29:17 2016	1461266957	0	3956	3957	3947
Thu Apr 21 19:29:09 2016	1461266949	0	4051	4052	4040
Thu Apr 21 19:29:16 2016	1461266956	0	4151	4151	4142
Thu Apr 21 19:29:12 2016	1461266952	0	4172	4173	4164
Thu Apr 21 19:29:13 2016	1461266953	0	4553	4554	4548
Thu Apr 21 19:29:04 2016	1461266944	8	4598	4606	4568
Thu Apr 21 19:29:12 2016	1461266952	0	4728	4728	4722
Thu Apr 21 19:29:04 2016	1461266944	57	5135	5192	5109
Thu Apr 21 19:29:04 2016	1461266944	1	5450	5450	5442
Thu Apr 21 19:29:04 2016	1461266944	38	5692	5730	5673
