Percentage served,Time in ms
0,939.522
1,946.547
2,946.547
3,956.265
4,956.265
5,966.093
6,966.093
7,983.991
8,983.991
9,986.182
10,986.182
11,988.551
12,988.551
13,995.620
14,995.620
15,1018.615
16,1018.615
17,1025.819
18,1025.819
19,1041.817
20,1041.817
21,1043.615
22,1043.615
23,1063.125
24,1063.125
25,1066.293
26,1066.293
27,1067.851
28,1067.851
29,1068.012
30,1068.012
31,1069.485
32,1069.485
33,1072.988
34,1072.988
35,1076.398
36,1076.398
37,1081.327
38,1081.327
39,1081.519
40,1081.519
41,1084.977
42,1084.977
43,1110.196
44,1110.196
45,1110.813
46,1110.813
47,1125.570
48,1125.570
49,1140.908
50,1140.908
51,1148.632
52,1148.632
53,1151.201
54,1151.201
55,1160.050
56,1160.050
57,1166.367
58,1166.367
59,1168.607
60,1168.607
61,1177.918
62,1177.918
63,1219.557
64,1219.557
65,1239.231
66,1239.231
67,1259.185
68,1259.185
69,1278.095
70,1278.095
71,1284.497
72,1284.497
73,1288.303
74,1288.303
75,1303.225
76,1303.225
77,1426.102
78,1426.102
79,1442.299
80,1442.299
81,1449.393
82,1449.393
83,1473.828
84,1473.828
85,1486.659
86,1486.659
87,1502.702
88,1502.702
89,1631.680
90,1631.680
91,2061.107
92,2061.107
93,2302.196
94,2302.196
95,2452.992
96,2452.992
97,2631.920
98,2631.920
99,1.281
100,2631.920
