Percentage served,Time in ms
0,3538.748
1,3621.139
2,3621.139
3,3696.675
4,3696.675
5,3707.691
6,3707.691
7,3754.530
8,3754.530
9,3780.204
10,3780.204
11,3840.016
12,3840.016
13,3877.141
14,3877.141
15,3880.495
16,3880.495
17,3908.819
18,3908.819
19,3925.855
20,3925.855
21,3938.844
22,3938.844
23,3964.691
24,3964.691
25,3979.781
26,3979.781
27,3990.821
28,3990.821
29,3998.517
30,3998.517
31,4008.715
32,4008.715
33,4062.666
34,4062.666
35,4085.508
36,4085.508
37,4126.374
38,4126.374
39,4126.799
40,4126.799
41,4135.456
42,4135.456
43,4180.433
44,4180.433
45,4235.372
46,4235.372
47,4252.550
48,4252.550
49,4323.179
50,4323.179
51,4330.816
52,4330.816
53,4423.391
54,4423.391
55,4437.118
56,4437.118
57,4532.058
58,4532.058
59,4551.654
60,4551.654
61,4653.228
62,4653.228
63,4713.097
64,4713.097
65,4717.090
66,4717.090
67,4804.046
68,4804.046
69,4827.828
70,4827.828
71,4943.155
72,4943.155
73,4944.210
74,4944.210
75,5058.491
76,5058.491
77,5175.359
78,5175.359
79,5199.891
80,5199.891
81,5372.387
82,5372.387
83,5479.964
84,5479.964
85,5553.965
86,5553.965
87,5579.081
88,5579.081
89,5765.889
90,5765.889
91,6097.440
92,6097.440
93,6279.064
94,6279.064
95,6493.463
96,6493.463
97,6757.731
98,6757.731
99,1.281
100,6757.731
