Percentage served,Time in ms
0,3677.839
1,3693.038
2,3693.038
3,3706.652
4,3706.652
5,3713.381
6,3713.381
7,3723.736
8,3723.736
9,3738.927
10,3738.927
11,3762.773
12,3762.773
13,3767.972
14,3767.972
15,3842.448
16,3842.448
17,3852.808
18,3852.808
19,3857.666
20,3857.666
21,3879.655
22,3879.655
23,3879.774
24,3879.774
25,3913.116
26,3913.116
27,3934.128
28,3934.128
29,3989.680
30,3989.680
31,4015.828
32,4015.828
33,4032.701
34,4032.701
35,4094.026
36,4094.026
37,4133.031
38,4133.031
39,4171.396
40,4171.396
41,4230.745
42,4230.745
43,4250.730
44,4250.730
45,4253.524
46,4253.524
47,4271.909
48,4271.909
49,4355.091
50,4355.091
51,4368.657
52,4368.657
53,4460.418
54,4460.418
55,4503.347
56,4503.347
57,4561.255
58,4561.255
59,4609.576
60,4609.576
61,4627.481
62,4627.481
63,4628.095
64,4628.095
65,4637.891
66,4637.891
67,4644.927
68,4644.927
69,4667.835
70,4667.835
71,4674.656
72,4674.656
73,4701.899
74,4701.899
75,4897.001
76,4897.001
77,4960.358
78,4960.358
79,5073.076
80,5073.076
81,5191.940
82,5191.940
83,5210.133
84,5210.133
85,5256.519
86,5256.519
87,5314.018
88,5314.018
89,5342.387
90,5342.387
91,5418.177
92,5418.177
93,5733.426
94,5733.426
95,6064.996
96,6064.996
97,7196.317
98,7196.317
99,1.281
100,7196.317
