Percentage served,Time in ms
0,1173.413
1,1185.966
2,1185.966
3,1212.843
4,1212.843
5,1223.761
6,1223.761
7,1229.062
8,1229.062
9,1242.881
10,1242.881
11,1249.775
12,1249.775
13,1251.161
14,1251.161
15,1262.282
16,1262.282
17,1265.620
18,1265.620
19,1268.387
20,1268.387
21,1268.767
22,1268.767
23,1294.028
24,1294.028
25,1298.439
26,1298.439
27,1306.523
28,1306.523
29,1315.037
30,1315.037
31,1315.125
32,1315.125
33,1319.931
34,1319.931
35,1333.827
36,1333.827
37,1346.219
38,1346.219
39,1361.140
40,1361.140
41,1368.854
42,1368.854
43,1376.503
44,1376.503
45,1394.279
46,1394.279
47,1396.757
48,1396.757
49,1414.649
50,1414.649
51,1425.638
52,1425.638
53,1426.704
54,1426.704
55,1470.514
56,1470.514
57,1481.941
58,1481.941
59,1517.857
60,1517.857
61,1522.452
62,1522.452
63,1528.395
64,1528.395
65,1532.448
66,1532.448
67,1635.677
68,1635.677
69,1666.453
70,1666.453
71,1708.191
72,1708.191
73,1847.586
74,1847.586
75,1850.021
76,1850.021
77,1890.280
78,1890.280
79,2025.055
80,2025.055
81,2156.959
82,2156.959
83,2255.256
84,2255.256
85,2276.805
86,2276.805
87,2487.077
88,2487.077
89,2525.078
90,2525.078
91,2693.369
92,2693.369
93,2754.478
94,2754.478
95,2951.236
96,2951.236
97,3112.059
98,3112.059
99,1.281
100,3112.059
