starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 01:56:49 2016	1461117409	0	5045	5045	5038
Wed Apr 20 01:55:57 2016	1461117357	0	7861	7861	7854
Wed Apr 20 01:56:20 2016	1461117380	0	12751	12751	12743
Wed Apr 20 01:54:48 2016	1461117288	0	12935	12935	12924
Wed Apr 20 01:53:59 2016	1461117239	32	14300	14332	14269
Wed Apr 20 01:57:11 2016	1461117431	0	14332	14332	14326
Wed Apr 20 01:56:10 2016	1461117370	0	14386	14387	14377
Wed Apr 20 01:53:59 2016	1461117239	10	14459	14469	14437
Wed Apr 20 01:54:34 2016	1461117274	0	14576	14577	14568
Wed Apr 20 01:54:20 2016	1461117260	0	15027	15028	15019
Wed Apr 20 01:54:35 2016	1461117275	0	15247	15248	15239
Wed Apr 20 01:56:05 2016	1461117365	0	15372	15372	15365
Wed Apr 20 01:55:02 2016	1461117302	0	15494	15494	15487
Wed Apr 20 01:54:14 2016	1461117254	0	15527	15528	15520
Wed Apr 20 01:56:25 2016	1461117385	0	15686	15686	15676
Wed Apr 20 01:55:18 2016	1461117318	0	15693	15693	15687
Wed Apr 20 01:56:58 2016	1461117418	0	15787	15788	15779
Wed Apr 20 01:54:18 2016	1461117258	0	15809	15809	15798
Wed Apr 20 01:55:01 2016	1461117301	0	15846	15847	15839
Wed Apr 20 01:55:17 2016	1461117317	0	15856	15857	15850
Wed Apr 20 01:55:04 2016	1461117304	0	15934	15935	15929
Wed Apr 20 01:56:41 2016	1461117401	0	16107	16107	16099
Wed Apr 20 01:56:07 2016	1461117367	1	16118	16118	16102
Wed Apr 20 01:56:23 2016	1461117383	0	16121	16121	16115
Wed Apr 20 01:54:46 2016	1461117286	0	16191	16191	16185
Wed Apr 20 01:55:20 2016	1461117320	0	16194	16195	16187
Wed Apr 20 01:56:33 2016	1461117393	0	16279	16279	16274
Wed Apr 20 01:54:14 2016	1461117254	0	16292	16292	16281
Wed Apr 20 01:54:30 2016	1461117270	0	16305	16306	16297
Wed Apr 20 01:56:40 2016	1461117400	0	16335	16336	16329
Wed Apr 20 01:54:50 2016	1461117290	0	16355	16355	16346
Wed Apr 20 01:55:06 2016	1461117306	0	16363	16363	16356
Wed Apr 20 01:55:37 2016	1461117337	0	16479	16479	16470
Wed Apr 20 01:56:57 2016	1461117417	0	16512	16513	16505
Wed Apr 20 01:55:34 2016	1461117334	0	16536	16536	16526
Wed Apr 20 01:55:53 2016	1461117353	0	16631	16631	16625
Wed Apr 20 01:56:56 2016	1461117416	0	16638	16638	16631
Wed Apr 20 01:56:54 2016	1461117414	0	16732	16732	16722
Wed Apr 20 01:54:29 2016	1461117269	0	16749	16749	16742
Wed Apr 20 01:56:08 2016	1461117368	0	16867	16868	16857
Wed Apr 20 01:55:50 2016	1461117350	0	16989	16989	16982
Wed Apr 20 01:55:23 2016	1461117323	0	17160	17161	17155
Wed Apr 20 01:55:40 2016	1461117340	0	17184	17185	17176
Wed Apr 20 01:56:24 2016	1461117384	0	17224	17224	17214
Wed Apr 20 01:55:33 2016	1461117333	0	17284	17285	17274
Wed Apr 20 01:56:40 2016	1461117400	0	17458	17459	17451
Wed Apr 20 01:55:50 2016	1461117350	0	17780	17781	17774
Wed Apr 20 01:54:46 2016	1461117286	0	18089	18090	18083
Wed Apr 20 01:53:59 2016	1461117239	63	18565	18628	18545
Wed Apr 20 01:53:59 2016	1461117239	1	20147	20148	20120
