starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 01:58:14 2016	1461117494	0	3566	3567	3559
Wed Apr 20 01:58:28 2016	1461117508	0	3575	3575	3569
Wed Apr 20 01:58:31 2016	1461117511	0	3609	3609	3599
Wed Apr 20 01:58:14 2016	1461117494	0	3626	3626	3620
Wed Apr 20 01:58:24 2016	1461117504	1	3648	3649	3640
Wed Apr 20 01:58:35 2016	1461117515	0	3824	3825	3814
Wed Apr 20 01:58:06 2016	1461117486	0	3865	3866	3856
Wed Apr 20 01:58:23 2016	1461117503	0	3872	3873	3868
Wed Apr 20 01:58:26 2016	1461117506	0	3898	3898	3887
Wed Apr 20 01:58:27 2016	1461117507	0	3919	3919	3909
Wed Apr 20 01:58:27 2016	1461117507	0	3934	3934	3924
Wed Apr 20 01:58:51 2016	1461117531	0	3938	3939	3926
Wed Apr 20 01:58:39 2016	1461117519	0	3959	3959	3953
Wed Apr 20 01:58:39 2016	1461117519	0	4004	4004	3999
Wed Apr 20 01:58:05 2016	1461117485	0	4043	4044	4028
Wed Apr 20 01:58:35 2016	1461117515	0	4052	4052	4039
Wed Apr 20 01:58:47 2016	1461117527	0	4061	4061	4051
Wed Apr 20 01:58:06 2016	1461117486	0	4079	4080	4070
Wed Apr 20 01:58:39 2016	1461117519	0	4088	4088	4079
Wed Apr 20 01:58:31 2016	1461117511	0	4110	4110	4098
Wed Apr 20 01:58:05 2016	1461117485	0	4118	4119	4110
Wed Apr 20 01:58:31 2016	1461117511	0	4123	4123	4107
Wed Apr 20 01:58:17 2016	1461117497	0	4140	4141	4132
Wed Apr 20 01:58:14 2016	1461117494	0	4160	4160	4151
Wed Apr 20 01:58:39 2016	1461117519	0	4199	4199	4193
Wed Apr 20 01:58:44 2016	1461117524	0	4215	4216	4206
Wed Apr 20 01:58:43 2016	1461117523	0	4224	4224	4216
Wed Apr 20 01:58:18 2016	1461117498	0	4247	4248	4240
Wed Apr 20 01:58:35 2016	1461117515	0	4279	4279	4269
Wed Apr 20 01:58:43 2016	1461117523	0	4304	4304	4295
Wed Apr 20 01:58:43 2016	1461117523	0	4325	4325	4316
Wed Apr 20 01:58:34 2016	1461117514	0	4350	4351	4344
Wed Apr 20 01:58:10 2016	1461117490	0	4353	4354	4346
Wed Apr 20 01:58:22 2016	1461117502	0	4370	4370	4362
Wed Apr 20 01:58:51 2016	1461117531	0	4436	4437	4431
Wed Apr 20 01:58:19 2016	1461117499	0	4476	4476	4468
Wed Apr 20 01:58:15 2016	1461117495	0	4532	4532	4523
Wed Apr 20 01:58:19 2016	1461117499	0	4544	4545	4539
Wed Apr 20 01:58:47 2016	1461117527	0	4555	4556	4547
Wed Apr 20 01:58:48 2016	1461117528	0	4577	4577	4567
Wed Apr 20 01:58:10 2016	1461117490	0	4582	4582	4570
Wed Apr 20 01:58:00 2016	1461117480	29	4638	4667	4624
Wed Apr 20 01:58:22 2016	1461117502	0	4677	4677	4670
Wed Apr 20 01:58:30 2016	1461117510	0	4879	4879	4871
Wed Apr 20 01:58:10 2016	1461117490	0	4881	4881	4873
Wed Apr 20 01:58:00 2016	1461117480	1	4996	4997	4987
Wed Apr 20 01:58:09 2016	1461117489	0	5000	5000	4989
Wed Apr 20 01:58:47 2016	1461117527	0	5121	5121	5112
Wed Apr 20 01:58:00 2016	1461117480	43	5241	5285	5218
Wed Apr 20 01:58:00 2016	1461117480	9	5700	5710	5680
