starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 22 04:15:12 2016	1461298512	0	17985	17985	17975
Fri Apr 22 04:05:06 2016	1461297906	0	18874	18874	18865
Fri Apr 22 04:15:07 2016	1461298507	0	19093	19093	19085
Fri Apr 22 04:10:12 2016	1461298212	0	19134	19134	19128
Fri Apr 22 04:06:35 2016	1461297995	0	19284	19284	19278
Fri Apr 22 04:13:08 2016	1461298388	0	19285	19286	19277
Fri Apr 22 04:11:18 2016	1461298278	0	19366	19366	19353
Fri Apr 22 04:05:55 2016	1461297955	0	19514	19514	19506
Fri Apr 22 04:06:28 2016	1461297988	0	19866	19866	19861
Fri Apr 22 04:15:08 2016	1461298508	0	19954	19954	19944
Fri Apr 22 04:08:59 2016	1461298139	0	20111	20112	20104
Fri Apr 22 04:10:25 2016	1461298225	0	20156	20156	20150
Fri Apr 22 04:06:15 2016	1461297975	0	20228	20228	20222
Fri Apr 22 04:05:50 2016	1461297950	0	20327	20327	20319
Fri Apr 22 04:10:28 2016	1461298228	0	20602	20602	20592
Fri Apr 22 04:06:08 2016	1461297968	0	20622	20623	20616
Fri Apr 22 04:11:17 2016	1461298277	0	20679	20680	20672
Fri Apr 22 04:09:46 2016	1461298186	0	20825	20825	20817
Fri Apr 22 04:14:28 2016	1461298468	0	20829	20830	20823
Fri Apr 22 04:14:25 2016	1461298465	0	20907	20907	20901
Fri Apr 22 04:08:58 2016	1461298138	0	20979	20979	20964
Fri Apr 22 04:05:07 2016	1461297907	0	20994	20994	20986
Fri Apr 22 04:08:27 2016	1461298107	0	21014	21014	21008
Fri Apr 22 04:10:45 2016	1461298245	0	21047	21047	21040
Fri Apr 22 04:12:12 2016	1461298332	0	21140	21140	21131
Fri Apr 22 04:09:19 2016	1461298159	0	21148	21148	21143
Fri Apr 22 04:13:43 2016	1461298423	0	21213	21213	21206
Fri Apr 22 04:12:55 2016	1461298375	0	21215	21216	21207
Fri Apr 22 04:06:48 2016	1461298008	0	21225	21225	21218
Fri Apr 22 04:11:06 2016	1461298266	0	21296	21296	21280
Fri Apr 22 04:04:48 2016	1461297888	0	21313	21314	21306
Fri Apr 22 04:10:55 2016	1461298255	0	21365	21365	21353
Fri Apr 22 04:10:49 2016	1461298249	0	21380	21381	21373
Fri Apr 22 04:07:17 2016	1461298037	0	21457	21457	21449
Fri Apr 22 04:11:28 2016	1461298288	0	21490	21490	21479
Fri Apr 22 04:12:33 2016	1461298353	0	21554	21554	21546
Fri Apr 22 04:05:47 2016	1461297947	0	21597	21597	21587
Fri Apr 22 04:10:07 2016	1461298207	0	21682	21682	21677
Fri Apr 22 03:55:18 2016	1461297318	1	21787	21788	21776
Fri Apr 22 04:14:45 2016	1461298485	1	21880	21881	21872
Fri Apr 22 04:06:35 2016	1461297995	0	21899	21899	21890
Fri Apr 22 03:52:39 2016	1461297159	0	21924	21924	21916
Fri Apr 22 04:07:47 2016	1461298067	0	21981	21981	21975
Fri Apr 22 04:14:46 2016	1461298486	0	22017	22017	22010
Fri Apr 22 04:10:06 2016	1461298206	0	22070	22070	22061
Fri Apr 22 04:05:28 2016	1461297928	0	22136	22137	22131
Fri Apr 22 04:14:29 2016	1461298469	0	22144	22145	22138
