Percentage served,Time in ms
0,3714.193
1,3833.138
2,3846.817
3,3858.268
4,3866.734
5,3890.131
6,3905.082
7,3922.492
8,3926.839
9,3939.562
10,3951.918
11,3960.108
12,3965.220
13,3984.115
14,3988.558
15,4000.131
16,4004.443
17,4010.256
18,4012.015
19,4020.359
20,4022.208
21,4029.223
22,4036.372
23,4042.631
24,4046.642
25,4053.884
26,4065.187
27,4068.427
28,4074.435
29,4078.148
30,4078.592
31,4090.842
32,4097.367
33,4104.706
34,4107.963
35,4112.219
36,4113.461
37,4120.058
38,4126.071
39,4128.144
40,4128.414
41,4133.320
42,4144.745
43,4151.483
44,4154.448
45,4158.201
46,4159.174
47,4160.946
48,4162.644
49,4169.344
50,4169.538
51,4178.461
52,4180.305
53,4181.948
54,4184.464
55,4186.677
56,4197.430
57,4199.570
58,4201.336
59,4212.411
60,4213.106
61,4226.630
62,4231.100
63,4243.042
64,4252.453
65,4263.607
66,4270.250
67,4280.721
68,4281.836
69,4286.811
70,4290.252
71,4292.693
72,4302.810
73,4310.961
74,4313.453
75,4324.539
76,4329.533
77,4336.265
78,4342.726
79,4347.737
80,4363.407
81,4370.805
82,4372.138
83,4377.613
84,4385.966
85,4394.045
86,4418.069
87,4429.701
88,4437.733
89,4451.003
90,4456.934
91,4462.853
92,4492.951
93,4521.477
94,4529.743
95,4582.185
96,4663.068
97,4829.559
98,4898.872
99,5227.748
100,5240.444
