starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 01:21:24 2016	1461115284	0	3534	3534	3524
Wed Apr 20 01:23:49 2016	1461115429	0	3557	3558	3552
Wed Apr 20 01:21:52 2016	1461115312	0	3568	3568	3560
Wed Apr 20 01:21:06 2016	1461115266	0	3744	3745	3734
Wed Apr 20 01:24:23 2016	1461115463	0	3757	3758	3749
Wed Apr 20 01:23:20 2016	1461115400	0	3777	3777	3767
Wed Apr 20 01:23:31 2016	1461115411	0	3845	3846	3839
Wed Apr 20 01:24:02 2016	1461115442	0	3868	3868	3861
Wed Apr 20 01:22:42 2016	1461115362	0	3874	3874	3865
Wed Apr 20 01:22:10 2016	1461115330	0	3876	3877	3865
Wed Apr 20 01:22:55 2016	1461115375	0	3908	3909	3897
Wed Apr 20 01:21:33 2016	1461115293	0	3929	3930	3920
Wed Apr 20 01:23:23 2016	1461115403	0	3935	3935	3928
Wed Apr 20 01:23:27 2016	1461115407	0	4081	4082	4074
Wed Apr 20 01:23:11 2016	1461115391	0	4084	4084	4073
Wed Apr 20 01:21:15 2016	1461115275	0	4108	4109	4103
Wed Apr 20 01:21:02 2016	1461115262	0	4128	4129	4122
Wed Apr 20 01:22:06 2016	1461115326	0	4191	4191	4181
Wed Apr 20 01:20:53 2016	1461115253	1	4232	4233	4218
Wed Apr 20 01:22:33 2016	1461115353	0	4423	4424	4417
Wed Apr 20 01:22:01 2016	1461115321	0	4435	4435	4428
Wed Apr 20 01:22:24 2016	1461115344	0	4456	4457	4444
Wed Apr 20 01:22:51 2016	1461115371	0	4473	4473	4462
Wed Apr 20 01:23:40 2016	1461115420	0	4509	4509	4498
Wed Apr 20 01:22:46 2016	1461115366	0	4533	4534	4528
Wed Apr 20 01:23:58 2016	1461115438	0	4551	4551	4539
Wed Apr 20 01:21:43 2016	1461115303	0	4604	4605	4592
Wed Apr 20 01:23:44 2016	1461115424	0	4624	4625	4617
Wed Apr 20 01:23:35 2016	1461115415	0	4662	4663	4652
Wed Apr 20 01:20:57 2016	1461115257	0	4668	4669	4660
Wed Apr 20 01:22:28 2016	1461115348	0	4676	4677	4669
Wed Apr 20 01:21:20 2016	1461115280	0	4710	4711	4700
Wed Apr 20 01:23:15 2016	1461115395	0	4717	4717	4706
Wed Apr 20 01:21:48 2016	1461115308	0	4819	4819	4811
Wed Apr 20 01:22:14 2016	1461115334	0	4939	4939	4928
Wed Apr 20 01:23:53 2016	1461115433	0	5001	5001	4989
Wed Apr 20 01:22:37 2016	1461115357	0	5029	5030	5020
Wed Apr 20 01:24:06 2016	1461115446	0	5059	5059	5051
Wed Apr 20 01:21:56 2016	1461115316	0	5113	5114	5105
Wed Apr 20 01:22:19 2016	1461115339	0	5135	5135	5125
Wed Apr 20 01:24:11 2016	1461115451	1	5150	5150	5139
Wed Apr 20 01:21:28 2016	1461115288	0	5409	5410	5401
Wed Apr 20 01:22:59 2016	1461115379	0	5774	5774	5767
Wed Apr 20 01:21:37 2016	1461115297	0	5867	5867	5856
Wed Apr 20 01:21:10 2016	1461115270	0	5915	5915	5907
Wed Apr 20 01:23:05 2016	1461115385	0	6016	6016	6005
Wed Apr 20 01:24:16 2016	1461115456	0	6512	6513	6505
Wed Apr 20 01:20:53 2016	1461115253	54	240574	240628	240557
Wed Apr 20 01:20:53 2016	1461115253	15	240614	240629	240596
Wed Apr 20 01:20:53 2016	1461115253	33	244936	244969	244915
