Percentage served,Time in ms
0,1166.565
1,1191.780
2,1200.400
3,1218.765
4,1226.897
5,1230.766
6,1233.877
7,1238.004
8,1243.533
9,1250.349
10,1250.947
11,1254.838
12,1258.163
13,1263.807
14,1271.849
15,1272.898
16,1275.925
17,1277.383
18,1279.134
19,1285.887
20,1286.222
21,1288.132
22,1288.872
23,1289.967
24,1296.780
25,1298.805
26,1299.563
27,1303.821
28,1306.213
29,1308.710
30,1310.883
31,1314.067
32,1314.794
33,1318.459
34,1319.146
35,1320.081
36,1320.882
37,1322.582
38,1329.976
39,1331.378
40,1331.967
41,1334.881
42,1337.481
43,1339.075
44,1339.478
45,1341.996
46,1343.373
47,1347.073
48,1348.152
49,1353.253
50,1353.663
51,1360.861
52,1362.590
53,1364.683
54,1365.701
55,1368.052
56,1369.396
57,1372.279
58,1372.667
59,1378.624
60,1379.533
61,1384.093
62,1384.593
63,1388.868
64,1391.503
65,1393.800
66,1394.108
67,1396.615
68,1398.113
69,1402.141
70,1404.674
71,1406.184
72,1407.326
73,1410.723
74,1412.469
75,1420.606
76,1424.580
77,1427.011
78,1427.936
79,1433.892
80,1439.685
81,1454.646
82,1459.568
83,1471.545
84,1475.417
85,1486.753
86,1494.495
87,1510.542
88,1523.077
89,1530.002
90,1545.937
91,1561.623
92,1567.220
93,1580.820
94,1588.075
95,1652.392
96,1683.534
97,1766.696
98,1989.107
99,2339.985
100,2372.146
