Percentage served,Time in ms
0,17223.409
1,19094.717
2,19873.423
3,20593.220
4,20828.756
5,21149.665
6,21493.873
7,21806.052
8,22309.332
9,22454.454
10,22617.393
11,22925.499
12,23030.367
13,23174.899
14,23218.812
15,23292.318
16,23384.769
17,23774.201
18,23931.720
19,24136.701
20,24274.962
21,24304.749
22,24388.343
23,24470.304
24,24538.806
25,24754.828
26,24961.141
27,25126.761
28,25169.592
29,25512.235
30,25694.671
31,25985.586
32,26527.405
33,26958.907
34,27024.218
35,27219.915
36,27304.810
37,27398.618
38,27592.672
39,27733.771
40,27806.040
41,27993.435
42,28200.283
43,28399.808
44,28431.175
45,28597.699
46,28656.759
47,28823.816
48,28853.642
49,29018.987
50,29027.067
51,29101.682
52,29165.333
53,29285.040
54,29333.129
55,29413.598
56,29442.904
57,29495.437
58,29504.238
59,29663.151
60,29705.225
61,29732.609
62,29815.668
63,30034.390
64,30048.766
65,30068.274
66,30122.817
67,30214.747
68,30320.242
69,30445.277
70,30453.221
71,30523.780
72,30549.944
73,30686.679
74,30737.610
75,30820.618
76,30876.368
77,30955.680
78,30968.141
79,31120.805
80,31155.860
81,31321.671
82,31523.642
83,31589.419
84,31639.355
85,31802.358
86,31827.546
87,31994.021
88,32073.855
89,32567.288
90,32933.768
91,34530.600
92,34997.135
93,35606.533
94,35691.670
95,36183.292
96,36539.629
97,37168.220
98,37204.404
99,38184.658
100,38202.016
