starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 22 04:48:34 2016	1461300514	1	17222	17223	17208
Fri Apr 22 04:48:34 2016	1461300514	15	17367	17382	17348
Fri Apr 22 04:48:34 2016	1461300514	60	17543	17603	17516
Fri Apr 22 04:49:27 2016	1461300567	0	19094	19095	19086
Fri Apr 22 04:50:15 2016	1461300615	0	19786	19786	19772
Fri Apr 22 04:49:28 2016	1461300568	0	19873	19873	19867
Fri Apr 22 04:58:37 2016	1461301117	0	20110	20111	20103
Fri Apr 22 04:52:40 2016	1461300760	0	20439	20439	20432
Fri Apr 22 04:53:39 2016	1461300819	0	20593	20593	20582
Fri Apr 22 05:00:15 2016	1461301215	0	20758	20759	20751
Fri Apr 22 04:48:34 2016	1461300514	33	20795	20829	20768
Fri Apr 22 04:49:55 2016	1461300595	0	20830	20831	20822
Fri Apr 22 04:53:26 2016	1461300806	0	20895	20895	20883
Fri Apr 22 04:54:36 2016	1461300876	0	21149	21150	21138
Fri Apr 22 04:57:48 2016	1461301068	0	21441	21441	21432
Fri Apr 22 04:56:55 2016	1461301015	0	21494	21494	21483
Fri Apr 22 04:50:16 2016	1461300616	0	21529	21530	21518
Fri Apr 22 04:50:56 2016	1461300656	0	21712	21713	21705
Fri Apr 22 05:17:46 2016	1461302266	0	21806	21806	21797
Fri Apr 22 04:50:35 2016	1461300635	6	21899	21904	21888
Fri Apr 22 04:59:27 2016	1461301167	0	22309	22309	22303
Fri Apr 22 05:00:13 2016	1461301213	0	22323	22323	22314
Fri Apr 22 04:51:18 2016	1461300678	0	22434	22434	22422
Fri Apr 22 04:50:16 2016	1461300616	0	22454	22454	22423
Fri Apr 22 04:51:23 2016	1461300683	0	22559	22559	22550
Fri Apr 22 04:54:27 2016	1461300867	0	22617	22617	22610
Fri Apr 22 04:51:06 2016	1461300666	0	22781	22781	22772
Fri Apr 22 04:55:56 2016	1461300956	0	22789	22789	22782
Fri Apr 22 04:53:47 2016	1461300827	0	22925	22925	22914
Fri Apr 22 04:58:57 2016	1461301137	0	22952	22953	22944
Fri Apr 22 04:51:01 2016	1461300661	0	23030	23030	23023
Fri Apr 22 04:56:03 2016	1461300963	0	23044	23045	23034
Fri Apr 22 04:56:26 2016	1461300986	0	23159	23160	23151
Fri Apr 22 04:51:24 2016	1461300684	0	23175	23175	23167
Fri Apr 22 04:59:26 2016	1461301166	0	23199	23200	23189
Fri Apr 22 05:11:56 2016	1461301916	0	23218	23219	23213
Fri Apr 22 04:59:47 2016	1461301187	0	23231	23231	23218
Fri Apr 22 04:54:24 2016	1461300864	0	23264	23265	23254
Fri Apr 22 04:55:12 2016	1461300912	0	23292	23292	23284
Fri Apr 22 04:50:38 2016	1461300638	1	23338	23339	23327
Fri Apr 22 04:52:25 2016	1461300745	0	23384	23385	23374
Fri Apr 22 04:52:34 2016	1461300754	0	23658	23658	23649
Fri Apr 22 04:49:45 2016	1461300585	0	23753	23754	23746
Fri Apr 22 04:59:02 2016	1461301142	0	23774	23774	23765
Fri Apr 22 04:57:44 2016	1461301064	0	23806	23806	23795
Fri Apr 22 05:00:16 2016	1461301216	0	23931	23932	23926
Fri Apr 22 04:51:47 2016	1461300707	0	23954	23954	23940
Fri Apr 22 05:00:10 2016	1461301210	0	24038	24038	24029
Fri Apr 22 04:58:08 2016	1461301088	0	24136	24137	24128
Fri Apr 22 04:48:51 2016	1461300531	0	24245	24246	24235
Fri Apr 22 04:53:05 2016	1461300785	0	24275	24275	24268
Fri Apr 22 04:53:15 2016	1461300795	0	24300	24300	24292
Fri Apr 22 04:50:09 2016	1461300609	0	24301	24302	24291
Fri Apr 22 05:08:45 2016	1461301725	0	24304	24305	24296
Fri Apr 22 05:01:06 2016	1461301266	5	24304	24308	24293
Fri Apr 22 04:50:33 2016	1461300633	0	24388	24388	24380
