Percentage served,Time in ms
0,3623.952
1,3682.951
2,3708.281
3,3734.696
4,3740.369
5,3762.663
6,3771.144
7,3781.540
8,3795.479
9,3805.250
10,3818.437
11,3826.730
12,3828.539
13,3832.522
14,3841.469
15,3848.343
16,3851.323
17,3856.280
18,3857.942
19,3863.243
20,3863.606
21,3868.457
22,3872.112
23,3882.216
24,3885.054
25,3897.995
26,3903.017
27,3910.960
28,3916.849
29,3923.347
30,3927.187
31,3931.163
32,3933.146
33,3942.296
34,3946.800
35,3952.889
36,3955.547
37,3959.438
38,3962.167
39,3967.778
40,3974.221
41,3975.209
42,3983.208
43,3994.431
44,3997.184
45,4006.773
46,4007.414
47,4009.066
48,4009.575
49,4011.158
50,4013.695
51,4025.195
52,4028.323
53,4041.106
54,4047.877
55,4052.265
56,4054.558
57,4059.567
58,4061.948
59,4069.767
60,4073.117
61,4080.381
62,4083.184
63,4087.726
64,4089.642
65,4092.960
66,4095.442
67,4101.199
68,4115.301
69,4120.470
70,4123.287
71,4131.385
72,4142.490
73,4146.801
74,4151.206
75,4159.898
76,4163.632
77,4177.475
78,4188.399
79,4198.636
80,4205.474
81,4226.226
82,4246.154
83,4261.226
84,4264.154
85,4283.181
86,4305.077
87,4312.442
88,4317.544
89,4330.047
90,4363.221
91,4379.026
92,4440.156
93,4599.592
94,4642.545
95,4786.267
96,4955.999
97,5155.152
98,5753.174
99,6851.235
100,7584.418
