Percentage served,Time in ms
0,1614.439
1,2047.862
2,2176.949
3,2209.151
4,2266.181
5,2319.233
6,2354.097
7,2527.871
8,2561.225
9,2612.345
10,2664.199
11,2688.216
12,2715.407
13,2742.063
14,2792.406
15,2869.362
16,2907.107
17,2961.805
18,2986.325
19,3009.962
20,3043.456
21,3060.219
22,3075.203
23,3089.052
24,3100.274
25,3111.977
26,3134.253
27,3148.424
28,3152.590
29,3165.927
30,3169.874
31,3177.567
32,3188.622
33,3203.535
34,3208.767
35,3215.701
36,3220.547
37,3226.166
38,3226.389
39,3233.085
40,3244.411
41,3248.516
42,3262.395
43,3271.233
44,3274.191
45,3286.088
46,3291.192
47,3308.149
48,3315.929
49,3327.016
50,3348.576
51,3357.306
52,3359.413
53,3366.768
54,3367.853
55,3369.893
56,3373.441
57,3382.613
58,3387.049
59,3391.971
60,3393.921
61,3401.166
62,3419.945
63,3428.744
64,3435.135
65,3438.695
66,3442.938
67,3460.991
68,3468.291
69,3473.288
70,3475.527
71,3483.236
72,3490.487
73,3504.107
74,3508.653
75,3517.018
76,3519.591
77,3524.857
78,3531.191
79,3538.788
80,3544.704
81,3566.116
82,3583.112
83,3623.927
84,3628.612
85,3654.964
86,3668.317
87,3672.371
88,3680.406
89,3719.188
90,3793.294
91,3847.830
92,3879.314
93,3947.550
94,3976.056
95,4088.719
96,4122.977
97,4252.851
98,4535.433
99,4579.913
100,4808.599
