starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 22 02:37:51 2016	1461292671	0	1614	1614	1607
Fri Apr 22 02:37:51 2016	1461292671	0	1616	1617	1603
Fri Apr 22 02:34:30 2016	1461292470	0	1923	1923	1909
Fri Apr 22 02:34:29 2016	1461292469	0	2047	2048	2040
Fri Apr 22 02:34:30 2016	1461292470	0	2080	2080	2072
Fri Apr 22 02:34:32 2016	1461292472	0	2177	2177	2169
Fri Apr 22 02:37:49 2016	1461292669	0	2195	2196	2190
Fri Apr 22 02:34:27 2016	1461292467	13	2191	2204	2180
Fri Apr 22 02:37:49 2016	1461292669	0	2209	2209	2186
Fri Apr 22 02:37:49 2016	1461292669	0	2226	2226	2220
Fri Apr 22 02:37:49 2016	1461292669	0	2266	2266	2253
Fri Apr 22 02:34:32 2016	1461292472	0	2289	2289	2280
Fri Apr 22 02:34:31 2016	1461292471	0	2315	2316	2305
Fri Apr 22 02:34:31 2016	1461292471	0	2319	2319	2308
Fri Apr 22 02:34:29 2016	1461292469	0	2351	2351	2228
Fri Apr 22 02:34:27 2016	1461292467	57	2297	2354	2284
Fri Apr 22 02:34:50 2016	1461292490	0	2483	2483	2476
Fri Apr 22 02:34:27 2016	1461292467	23	2467	2491	2433
Fri Apr 22 02:34:49 2016	1461292489	0	2528	2528	2520
Fri Apr 22 02:34:49 2016	1461292489	0	2557	2558	2551
Fri Apr 22 02:34:49 2016	1461292489	0	2561	2561	2555
Fri Apr 22 02:36:44 2016	1461292604	0	2562	2563	2556
Fri Apr 22 02:36:45 2016	1461292605	0	2589	2589	2581
Fri Apr 22 02:34:40 2016	1461292480	0	2612	2612	2602
Fri Apr 22 02:34:40 2016	1461292480	0	2618	2618	2610
Fri Apr 22 02:35:09 2016	1461292509	0	2664	2664	2658
Fri Apr 22 02:34:27 2016	1461292467	1	2664	2665	2652
Fri Apr 22 02:36:51 2016	1461292611	0	2671	2671	2659
Fri Apr 22 02:36:51 2016	1461292611	0	2688	2688	2679
Fri Apr 22 02:34:40 2016	1461292480	0	2688	2689	2681
Fri Apr 22 02:34:40 2016	1461292480	0	2715	2715	2705
Fri Apr 22 02:36:44 2016	1461292604	0	2717	2717	2711
Fri Apr 22 02:34:34 2016	1461292474	0	2724	2725	2716
Fri Apr 22 02:36:51 2016	1461292611	0	2742	2742	2735
Fri Apr 22 02:36:51 2016	1461292611	0	2790	2791	2779
Fri Apr 22 02:34:34 2016	1461292474	0	2792	2792	2786
Fri Apr 22 02:35:09 2016	1461292509	10	2788	2798	2774
Fri Apr 22 02:34:34 2016	1461292474	0	2855	2855	2802
Fri Apr 22 02:36:44 2016	1461292604	0	2869	2869	2856
Fri Apr 22 02:34:34 2016	1461292474	0	2874	2874	2860
Fri Apr 22 02:36:32 2016	1461292592	0	2907	2907	2898
Fri Apr 22 02:36:29 2016	1461292589	0	2930	2930	2922
Fri Apr 22 02:35:36 2016	1461292536	0	2948	2948	2928
Fri Apr 22 02:35:59 2016	1461292559	0	2961	2962	2951
Fri Apr 22 02:36:31 2016	1461292591	0	2963	2963	2953
Fri Apr 22 02:35:09 2016	1461292509	1	2986	2986	2976
Fri Apr 22 02:35:33 2016	1461292533	0	2987	2988	2978
Fri Apr 22 02:35:12 2016	1461292512	0	3010	3010	2990
Fri Apr 22 02:35:36 2016	1461292536	0	3010	3010	3002
Fri Apr 22 02:35:15 2016	1461292515	0	3041	3041	3035
Fri Apr 22 02:35:12 2016	1461292512	0	3043	3043	3038
Fri Apr 22 02:35:09 2016	1461292509	24	3021	3045	2971
Fri Apr 22 02:35:15 2016	1461292515	0	3046	3046	3037
Fri Apr 22 02:35:36 2016	1461292536	0	3060	3060	3049
Fri Apr 22 02:35:59 2016	1461292559	0	3072	3072	3064
Fri Apr 22 02:35:15 2016	1461292515	0	3075	3075	3051
Fri Apr 22 02:35:56 2016	1461292556	1	3075	3076	3055
Fri Apr 22 02:36:34 2016	1461292594	0	3076	3076	3066
Fri Apr 22 02:36:35 2016	1461292595	0	3089	3089	3080
Fri Apr 22 02:36:35 2016	1461292595	0	3095	3095	3088
Fri Apr 22 02:36:20 2016	1461292580	0	3100	3100	3076
Fri Apr 22 02:36:35 2016	1461292595	0	3100	3100	3081
Fri Apr 22 02:36:32 2016	1461292592	0	3106	3107	3100
Fri Apr 22 02:34:46 2016	1461292486	0	3112	3112	3105
Fri Apr 22 02:35:15 2016	1461292515	0	3119	3120	3062
Fri Apr 22 02:35:22 2016	1461292522	0	3134	3134	3128
Fri Apr 22 02:35:33 2016	1461292533	0	3144	3145	3136
Fri Apr 22 02:37:08 2016	1461292628	0	3144	3145	3137
Fri Apr 22 02:34:42 2016	1461292482	0	3148	3148	3141
Fri Apr 22 02:35:42 2016	1461292542	0	3149	3149	3144
Fri Apr 22 02:35:43 2016	1461292543	0	3152	3153	3140
Fri Apr 22 02:35:59 2016	1461292559	0	3159	3160	3148
Fri Apr 22 02:35:56 2016	1461292556	0	3165	3165	3156
Fri Apr 22 02:35:42 2016	1461292542	1	3165	3166	3154
Fri Apr 22 02:35:12 2016	1461292512	0	3168	3168	3147
Fri Apr 22 02:37:05 2016	1461292625	0	3170	3170	3162
Fri Apr 22 02:35:33 2016	1461292533	0	3175	3175	3169
Fri Apr 22 02:34:59 2016	1461292499	0	3177	3177	3161
Fri Apr 22 02:35:59 2016	1461292559	0	3177	3178	3166
Fri Apr 22 02:35:33 2016	1461292533	0	3178	3178	3170
Fri Apr 22 02:34:52 2016	1461292492	0	3188	3189	3183
Fri Apr 22 02:34:52 2016	1461292492	0	3192	3193	3185
Fri Apr 22 02:35:52 2016	1461292552	0	3199	3200	3188
Fri Apr 22 02:34:43 2016	1461292483	0	3203	3204	3197
Fri Apr 22 02:37:11 2016	1461292631	0	3206	3207	3199
Fri Apr 22 02:34:52 2016	1461292492	0	3208	3209	3199
Fri Apr 22 02:35:36 2016	1461292536	0	3210	3210	3201
Fri Apr 22 02:37:18 2016	1461292638	0	3211	3212	3199
Fri Apr 22 02:35:22 2016	1461292522	0	3215	3216	3205
Fri Apr 22 02:34:52 2016	1461292492	0	3218	3218	3208
Fri Apr 22 02:37:18 2016	1461292638	0	3220	3221	3211
Fri Apr 22 02:37:18 2016	1461292638	0	3222	3222	3214
Fri Apr 22 02:35:29 2016	1461292529	0	3223	3223	3217
Fri Apr 22 02:35:30 2016	1461292530	0	3226	3226	3218
Fri Apr 22 02:35:30 2016	1461292530	0	3226	3226	3205
Fri Apr 22 02:34:43 2016	1461292483	0	3226	3226	3209
Fri Apr 22 02:37:14 2016	1461292634	0	3228	3228	3221
Fri Apr 22 02:35:43 2016	1461292543	0	3230	3231	3195
Fri Apr 22 02:37:21 2016	1461292641	0	3233	3233	3224
Fri Apr 22 02:35:06 2016	1461292506	0	3241	3241	3235
Fri Apr 22 02:34:37 2016	1461292477	0	3244	3244	3234
Fri Apr 22 02:35:22 2016	1461292522	0	3245	3245	3234
Fri Apr 22 02:37:08 2016	1461292628	0	3247	3248	3236
Fri Apr 22 02:35:49 2016	1461292549	0	3248	3249	3241
Fri Apr 22 02:37:11 2016	1461292631	0	3259	3259	3244
Fri Apr 22 02:37:11 2016	1461292631	0	3262	3262	3252
Fri Apr 22 02:34:37 2016	1461292477	0	3265	3266	3256
Fri Apr 22 02:34:43 2016	1461292483	0	3267	3267	3249
Fri Apr 22 02:37:42 2016	1461292662	0	3271	3271	3263
Fri Apr 22 02:37:15 2016	1461292635	0	3273	3273	3260
Fri Apr 22 02:36:20 2016	1461292580	0	3274	3274	3261
Fri Apr 22 02:35:56 2016	1461292556	0	3280	3280	3273
Fri Apr 22 02:37:21 2016	1461292641	1	3282	3282	3262
Fri Apr 22 02:36:07 2016	1461292567	0	3286	3286	3280
Fri Apr 22 02:34:59 2016	1461292499	0	3288	3288	3278
Fri Apr 22 02:35:12 2016	1461292512	0	3291	3291	3281
Fri Apr 22 02:37:11 2016	1461292631	0	3294	3294	3287
Fri Apr 22 02:35:02 2016	1461292502	1	3294	3295	3282
Fri Apr 22 02:36:38 2016	1461292598	0	3308	3308	3300
Fri Apr 22 02:36:37 2016	1461292597	0	3315	3315	3309
Fri Apr 22 02:37:01 2016	1461292621	0	3316	3316	3307
Fri Apr 22 02:37:08 2016	1461292628	0	3317	3317	3309
Fri Apr 22 02:36:41 2016	1461292601	0	3322	3322	3311
Fri Apr 22 02:35:56 2016	1461292556	0	3327	3327	3316
Fri Apr 22 02:35:39 2016	1461292539	0	3335	3335	3324
Fri Apr 22 02:37:42 2016	1461292662	0	3348	3349	3341
Fri Apr 22 02:37:24 2016	1461292644	0	3353	3353	3340
Fri Apr 22 02:36:38 2016	1461292598	0	3356	3356	3317
Fri Apr 22 02:37:04 2016	1461292624	0	3357	3357	3350
Fri Apr 22 02:37:24 2016	1461292644	1	3358	3359	3350
Fri Apr 22 02:37:14 2016	1461292634	0	3359	3359	3353
Fri Apr 22 02:35:49 2016	1461292549	0	3361	3361	3354
Fri Apr 22 02:34:59 2016	1461292499	0	3362	3362	3353
Fri Apr 22 02:35:22 2016	1461292522	0	3366	3367	3360
Fri Apr 22 02:37:25 2016	1461292645	0	3367	3367	3341
Fri Apr 22 02:37:14 2016	1461292634	0	3367	3368	3360
Fri Apr 22 02:35:45 2016	1461292545	0	3368	3368	3359
Fri Apr 22 02:35:30 2016	1461292530	0	3368	3368	3359
Fri Apr 22 02:35:49 2016	1461292549	0	3370	3370	3360
Fri Apr 22 02:37:21 2016	1461292641	0	3370	3370	3359
Fri Apr 22 02:37:24 2016	1461292644	0	3373	3373	3360
Fri Apr 22 02:34:36 2016	1461292476	0	3380	3381	3375
Fri Apr 22 02:35:52 2016	1461292552	0	3381	3382	3372
Fri Apr 22 02:36:38 2016	1461292598	0	3382	3383	3375
Fri Apr 22 02:36:41 2016	1461292601	0	3383	3383	3377
Fri Apr 22 02:35:46 2016	1461292546	0	3387	3387	3377
Fri Apr 22 02:36:41 2016	1461292601	0	3390	3390	3380
Fri Apr 22 02:35:39 2016	1461292539	0	3391	3391	3383
Fri Apr 22 02:35:46 2016	1461292546	0	3392	3392	3384
Fri Apr 22 02:36:31 2016	1461292591	0	3393	3394	3387
Fri Apr 22 02:35:49 2016	1461292549	0	3394	3394	3388
Fri Apr 22 02:35:53 2016	1461292553	0	3399	3399	3391
Fri Apr 22 02:36:17 2016	1461292577	0	3400	3401	3390
Fri Apr 22 02:34:37 2016	1461292477	0	3401	3401	3391
Fri Apr 22 02:35:39 2016	1461292539	0	3406	3406	3398
Fri Apr 22 02:36:53 2016	1461292613	0	3420	3420	3408
Fri Apr 22 02:36:54 2016	1461292614	0	3420	3420	3412
Fri Apr 22 02:37:21 2016	1461292641	0	3426	3426	3416
Fri Apr 22 02:37:04 2016	1461292624	0	3428	3429	3423
Fri Apr 22 02:36:10 2016	1461292570	0	3431	3432	3420
Fri Apr 22 02:37:01 2016	1461292621	0	3435	3435	3418
Fri Apr 22 02:34:59 2016	1461292499	0	3435	3435	3427
Fri Apr 22 02:35:02 2016	1461292502	0	3437	3437	3428
Fri Apr 22 02:36:20 2016	1461292580	0	3438	3439	3427
