Percentage served,Time in ms
0,20838.840
1,21743.386
2,22146.979
3,22642.306
4,22762.800
5,22873.591
6,23015.547
7,23115.124
8,23169.833
9,23269.468
10,23341.079
11,23371.742
12,23400.928
13,23504.388
14,23543.262
15,23669.213
16,23706.186
17,23864.900
18,23929.244
19,24069.184
20,24202.740
21,24338.056
22,24430.050
23,24473.097
24,24512.617
25,24665.672
26,24695.359
27,24756.047
28,24853.770
29,25000.890
30,25068.828
31,25154.005
32,25236.226
33,25300.907
34,25382.158
35,25532.328
36,25652.964
37,25713.390
38,25743.417
39,25789.607
40,25898.692
41,25962.642
42,25998.067
43,26090.030
44,26122.870
45,26151.985
46,26182.299
47,26242.106
48,26309.627
49,26366.362
50,26414.905
51,26482.629
52,26565.684
53,26584.644
54,26655.977
55,26692.982
56,26721.294
57,26782.613
58,26850.579
59,26865.615
60,26897.201
61,26985.643
62,27002.296
63,27073.581
64,27080.979
65,27216.677
66,27234.304
67,27320.758
68,27350.740
69,27450.780
70,27522.890
71,27579.575
72,27606.001
73,27812.575
74,27826.869
75,27944.272
76,28011.943
77,28079.628
78,28194.562
79,28291.900
80,28426.719
81,28480.941
82,28512.785
83,28702.679
84,28833.353
85,28920.112
86,29066.882
87,29369.065
88,29486.940
89,29582.594
90,29645.804
91,29828.101
92,29890.139
93,30173.940
94,30502.314
95,30590.869
96,30766.467
97,31452.937
98,31767.009
99,35436.081
100,35624.701
