Percentage served,Time in ms
0,25895.014
1,27062.437
2,27423.868
3,28044.839
4,28312.968
5,28699.902
6,28757.121
7,28921.243
8,29266.886
9,29350.626
10,29447.688
11,29647.962
12,29658.510
13,29900.565
14,29948.330
15,30035.218
16,30082.316
17,30166.998
18,30269.415
19,30421.924
20,30484.389
21,30644.827
22,30664.279
23,30749.976
24,30802.181
25,30897.620
26,30936.589
27,30967.959
28,30993.554
29,31074.060
30,31102.405
31,31140.957
32,31199.359
33,31309.922
34,31392.044
35,31508.965
36,31582.029
37,31611.149
38,31659.344
39,31776.362
40,31802.002
41,31848.695
42,31880.095
43,31945.557
44,31956.237
45,32069.900
46,32179.147
47,32261.346
48,32282.776
49,32294.214
50,32383.159
51,32427.357
52,32450.494
53,32480.835
54,32510.004
55,32559.959
56,32597.223
57,32625.404
58,32687.014
59,32725.531
60,32740.609
61,32896.892
62,32925.135
63,32989.702
64,33066.126
65,33115.122
66,33166.992
67,33310.038
68,33338.524
69,33415.922
70,33531.988
71,33634.953
72,33686.264
73,33886.391
74,34044.246
75,34210.732
76,34289.112
77,34322.897
78,34432.445
79,34515.463
80,34609.270
81,34682.084
82,34709.126
83,34775.532
84,34850.412
85,35405.432
86,35438.745
87,35565.209
88,35653.359
89,35720.035
90,35799.921
91,36116.183
92,36208.686
93,36942.626
94,37315.030
95,37415.013
96,37671.369
97,39493.435
98,40645.802
99,42896.084
100,43308.754
