starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 22 05:52:25 2016	1461304345	7	19936	19942	19901
Fri Apr 22 05:52:25 2016	1461304345	1	20328	20329	20322
Fri Apr 22 05:52:25 2016	1461304345	41	20640	20681	20619
Fri Apr 22 05:52:25 2016	1461304345	62	21722	21785	21691
Fri Apr 22 05:54:47 2016	1461304487	0	22315	22316	22305
Fri Apr 22 05:54:54 2016	1461304494	0	23039	23040	23029
Fri Apr 22 06:02:35 2016	1461304955	0	23098	23099	23092
Fri Apr 22 05:54:16 2016	1461304456	0	23949	23950	23939
Fri Apr 22 05:55:35 2016	1461304535	0	24145	24145	24135
Fri Apr 22 06:21:16 2016	1461306076	0	24316	24316	24303
Fri Apr 22 06:12:35 2016	1461305555	0	24358	24358	24349
Fri Apr 22 06:11:35 2016	1461305495	0	24577	24577	24571
Fri Apr 22 06:04:35 2016	1461305075	0	24650	24650	24640
Fri Apr 22 06:03:45 2016	1461305025	0	24890	24891	24879
Fri Apr 22 05:54:40 2016	1461304480	0	25068	25068	25059
Fri Apr 22 06:07:45 2016	1461305265	0	25328	25329	25320
Fri Apr 22 06:06:35 2016	1461305195	0	25515	25515	25508
Fri Apr 22 05:58:25 2016	1461304705	0	25590	25590	25583
Fri Apr 22 05:54:29 2016	1461304469	0	25659	25659	25648
Fri Apr 22 06:23:50 2016	1461306230	0	25721	25722	25713
Fri Apr 22 06:11:04 2016	1461305464	0	25756	25757	25751
Fri Apr 22 06:23:45 2016	1461306225	0	26292	26293	26285
Fri Apr 22 06:01:15 2016	1461304875	0	26427	26427	26421
Fri Apr 22 06:06:08 2016	1461305168	0	27233	27233	27227
Fri Apr 22 05:55:38 2016	1461304538	0	27249	27250	27243
Fri Apr 22 06:01:59 2016	1461304919	0	27481	27482	27474
Fri Apr 22 06:06:09 2016	1461305169	0	27632	27632	27624
Fri Apr 22 06:00:47 2016	1461304847	0	27847	27847	27837
Fri Apr 22 06:18:01 2016	1461305881	0	27885	27885	27877
Fri Apr 22 06:07:30 2016	1461305250	0	27906	27907	27895
Fri Apr 22 06:13:28 2016	1461305608	0	27982	27982	27973
Fri Apr 22 06:10:59 2016	1461305459	0	28092	28092	28084
Fri Apr 22 06:23:09 2016	1461306189	0	28126	28126	28118
Fri Apr 22 06:13:30 2016	1461305610	0	28143	28143	28134
Fri Apr 22 06:13:59 2016	1461305639	0	28236	28236	28225
Fri Apr 22 06:22:09 2016	1461306129	0	28245	28246	28234
Fri Apr 22 05:55:59 2016	1461304559	0	28285	28286	28266
Fri Apr 22 06:18:29 2016	1461305909	0	28313	28314	28305
Fri Apr 22 06:07:30 2016	1461305250	0	28329	28329	28321
Fri Apr 22 06:21:38 2016	1461306098	0	28349	28349	28343
